chinese_word,english_translation,chinese_sentence,english_sentence
剩,to remain,饭还剩很多。,There's still a lot of food left.
失望,disappointed,他对考试结果很失望。,He was disappointed with the test results.
十,ten,我有十本书。,I have ten books.
十分,very,这个电影十分有趣。,This movie is very interesting.
食品,food,超市卖很多食品。,The supermarket sells many food items.
使,to make; to cause,这件事使我很开心。,This matter makes me very happy.
使用,to use,你会使用筷子吗？,Do you know how to use chopsticks?
是,to be; is,他是我的朋友。,He is my friend.
适合,suitable; to suit,这件衣服很适合你。,This clothes suits you very well.
世界,world,我想环游世界。,I want to travel around the world.
事情,matter; thing,这件事情很重要。,This matter is very important.
收,to receive,我收到了你的信。,I received your letter.
收入,income,他的月收入很高。,His monthly income is high.
收拾,to tidy up,请帮我收拾房间。,Please help me tidy up the room.
手表,wristwatch,这是一块新手表。,This is a new wristwatch.
手机,mobile phone,我忘带手机了。,I forgot to bring my mobile phone.
首都,capital city,北京是中国的首都。,Beijing is the capital of China.
首先,first; firstly,首先，我们要制定计划。,"First, we need to make a plan."
瘦,thin; skinny,她最近变瘦了。,She has become thinner recently.
受不了,can't stand,我受不了这么热的天气。,I can't stand such hot weather.
受到,to receive,他受到了大家的欢迎。,He received everyone's welcome.
舒服,comfortable,这张床很舒服。,This bed is very comfortable.
叔叔,uncle,这是我的叔叔。,This is my uncle.
熟悉,familiar with,我很熟悉这个地方。,I'm very familiar with this place.
数量,quantity,商品的数量不够。,The quantity of goods is not enough.
数学,mathematics,我的儿子最喜欢数学课,My son loves math class the most
数字,number,请输入你的电话数字,Please enter your phone number
双,pair,我买了一双新鞋子,I bought a new pair of shoes
水,water,每天要喝八杯水,You should drink eight glasses of water every day
水果,fruit,超市的水果很新鲜,The fruit at the supermarket is very fresh
水平,level,他的汉语水平很高,His Chinese level is very high
司机,driver,我爸爸是出租车司机,My father is a taxi driver
死,die,这条路是死胡同,This road is a dead end
四,four,我家在四楼,My home is on the fourth floor
送,to give,他送了我一本书,He gave me a book
速度,speed,这辆车的速度很快,This car's speed is very fast
塑料袋,plastic bag,请给我一个塑料袋,Please give me a plastic bag
酸,sour,这个柠檬很酸,This lemon is very sour
算,to calculate,让我算一下价格,Let me calculate the price
虽然,although,虽然下雨了，我们还是去公园,"Although it's raining, we're still going to the park"
随便,casual; as you like,你随便坐吧，不用客气。,"Please sit wherever you like, don't be formal."
随着,along with; following,随着时间的推移，他的中文越来越好。,"As time passes, his Chinese is getting better and better."
所以,therefore; so,他生病了，所以没来上课。,"He was sick, so he didn't come to class."
所有,all; every,所有的学生都通过了考试。,All the students passed the exam.
他,he; him,他是我的好朋友。,He is my good friend.
她,she; her,她喜欢唱中文歌。,She likes singing Chinese songs.
它,it,这只猫很可爱，我很喜欢它。,"This cat is cute, I like it very much."
台,platform; unit,我家有一台电脑。,We have a computer at home.
抬,to lift; to raise,请帮我抬一下这个箱子。,Please help me lift this box.
太,too; very,今天天气太热了。,The weather is too hot today.
太阳,sun,今天太阳很大。,The sun is very strong today.
趟,trip; time,他今天去超市跑了两趟。,He made two trips to the supermarket today.
糖,sugar; candy,我不喜欢吃太多糖。,I don't like eating too much sugar.
特别,especially; particularly,这个餐厅的菜特别好吃。,The food at this restaurant is especially delicious.
特点,characteristic; feature,他的特点是说话很幽默。,His characteristic is that he speaks very humorously.
踢足球,play soccer/football,我每个周末都去踢足球,I play soccer every weekend
提高,"to increase, to improve",他想提高自己的中文水平,He wants to improve his Chinese level
提供,"to provide, to supply",超市提供送货服务,The supermarket provides delivery service
提前,"ahead of time, in advance",我们需要提前到机场,We need to arrive at the airport early
提醒,to remind,请提醒我明天买牛奶,Please remind me to buy milk tomorrow
体育,"sports, physical education",我的孩子很喜欢体育课,My child really likes PE class
天气,weather,今天的天气真好,The weather is really nice today
甜,sweet,这个蛋糕太甜了,This cake is too sweet
填空,to fill in the blank,请在表格上填空,Please fill in the blanks on the form
条,"strip, item",我买了两条裤子,I bought two pairs of pants
条件,"condition, requirement",这份工作的条件很好,The conditions for this job are good
跳舞,to dance,她喜欢跳舞,She likes to dance
听,"to listen, to hear",请仔细听老师的话,Please listen carefully to the teacher
停止,"to stop, to cease",雨已经停止了,The rain has stopped
通知,"to notify, notice",老师发了一个通知,The teacher sent out a notice
同情,sympathy,我很同情他失去工作的处境。,I sympathize with his situation of losing his job.
同事,colleague,我和我的同事关系很好。,I have a good relationship with my colleagues.
同学,classmate,他是我高中的同学。,He was my high school classmate.
同意,agree,我完全同意你的想法。,I completely agree with your idea.
突然,sudden,他突然站起来离开了房间。,He suddenly stood up and left the room.
推,push,请推门进来。,Please push the door to come in.
脱,take off,进门前请脱鞋。,Please take off your shoes before entering.
袜子,socks,天冷了要穿暖和的袜子。,Wear warm socks when it's cold.
外,outside,外面在下雨。,It's raining outside.
玩,play,孩子们在公园里玩。,The children are playing in the park.
完,finish,我已经把作业做完了。,I have finished my homework.
完成,complete,他终于完成了这个项目。,He finally completed this project.
完全,completely,我完全明白你的意思。,I completely understand what you mean.
碗,bowl,请给我一个碗。,Please give me a bowl.
晚上,evening,晚上我们去看电影吧。,Let's go watch a movie in the evening.
万,ten thousand,这个城市有十万人口。,"This city has a population of 100,000."
往,towards,他往学校走去。,He walked towards school.
往往,often,他往往迟到。,He is often late.
网球,tennis,我喜欢打网球。,I like playing tennis.
网站,website,这个网站很有用。,This website is very useful.
喂,hello,喂，你好吗？,"Hello, how are you?"
位,classifier for people,这三位是我的老师。,These three people are my teachers.
味道,flavor; taste,这个菜的味道很好。,This dish tastes very good.
文化,culture,我对中国文化很感兴趣。,I'm very interested in Chinese culture.
文章,article,他写了一篇很好的文章。,He wrote a very good article.
我,I; me,我是学生。,I am a student.
握手,to shake hands,他们友好地握手。,They shook hands in a friendly way.
无,without; -less,这里无人。,There's nobody here.
无聊,boring,这个电影很无聊。,This movie is very boring.
五,five,我有五本书。,I have five books.
西,west,我家在火车站西边,My house is west of the train station
西瓜,watermelon,夏天吃西瓜很舒服,It's refreshing to eat watermelon in summer
希望,hope,我希望明天会是晴天,I hope tomorrow will be sunny
吸引,attract,这家店的美食吸引了很多人,The food at this restaurant attracts many people
洗,wash,我需要洗这件衣服,I need to wash this piece of clothing
洗衣机,washing machine,我买了一台新洗衣机,I bought a new washing machine
洗澡,take a shower,每天早上我都要洗澡,I take a shower every morning
夏,summer,夏天北京很热,Beijing is very hot in summer
下,down,请把书放在下面,Please put the book down below
下午,afternoon,下午我们去公园,We're going to the park in the afternoon
下雨,rain,今天可能会下雨,It might rain today
先,first,你先走，我随后来,"You go first, I'll come later"
先生,Mr.,王先生是我们的老师,Mr. Wang is our teacher
咸,salty,这个汤太咸了,This soup is too salty
羡慕,envy,我很羡慕你的新工作,I envy your new job
限制,to restrict; to limit,政府限制了汽车的数量,The government restricted the number of cars
香,fragrant; aromatic,这个面包很香,This bread smells fragrant
香蕉,banana,我每天早上吃一根香蕉,I eat a banana every morning
相反,opposite,他的想法和我的相反,His thinking is opposite to mine
相同,identical; same,我们的想法是相同的,Our thoughts are the same
相信,to believe,我相信你会成功的,I believe you will succeed
响,to sound; loud,门铃响了,The doorbell rang
想,to think; to want,我想去中国旅游,I want to travel to China
向,towards; to face,他向学校走去,He walked towards the school
像,like; similar to,她长得像她妈妈,She looks like her mother
消息,news; information,我收到了好消息,I received good news
小,small; little,这是一个小房间,This is a small room
小姐,Miss; young lady,王小姐在开会,Miss Wang is in a meeting
小心,be careful,过马路要小心,Be careful when crossing the road
笑,to laugh; to smile,听到笑话他笑了,He laughed when he heard the joke
效果,"effect, result",这个新药的效果很好,The effect of this new medicine is very good
些,"some, few",请给我一些水,Please give me some water
鞋,shoes,这双鞋很舒服,These shoes are very comfortable
写,to write,我正在写作业,I am writing homework
新,new,这是一家新餐厅,This is a new restaurant
辛苦,"hard, tiring",你工作很辛苦,You work very hard
心情,mood,今天我的心情很好,I'm in a good mood today
信,"letter, mail",我收到了一封信,I received a letter
信任,to trust,我完全信任你,I trust you completely
信心,confidence,他对自己很有信心,He has a lot of confidence in himself
信用卡,credit card,我用信用卡付款,I paid with my credit card
星期,week,下星期我去北京,I'm going to Beijing next week
行,"to walk, to go",我们走路去学校吧,Let's walk to school
行李箱,suitcase,我的行李箱很重,My suitcase is very heavy
醒,to wake up,我每天七点醒,I wake up at seven every day
姓,surname,你贵姓什么？,What is your surname?
性别,gender,请在表格上填写你的性别。,Please fill in your gender on the form.
性格,personality,他的性格很开朗。,He has a cheerful personality.
幸福,happy; happiness,他们是一个幸福的家庭。,They are a happy family.
兴趣,interest,我对画画很有兴趣。,I'm very interested in painting.
熊猫,panda,我们去动物园看熊猫了。,We went to see pandas at the zoo.
修,to repair,我需要修一下我的自行车。,I need to repair my bicycle.
休息,to rest,工作了一天，该休息了。,"After working all day, it's time to rest."
需要,to need,我需要买些新衣服。,I need to buy some new clothes.
学生,student,教室里有很多学生。,There are many students in the classroom.
学校,school,我的学校在市中心。,My school is in the city center.
雪,snow,今天早上下雪了。,It snowed this morning.
血,blood,他的血型是A型。,His blood type is A.
研究生,graduate student,他现在是北大的研究生。,He is now a graduate student at Peking University.
演出,performance,这个演出很精彩。,This performance was excellent.
眼睛,eyes,他的眼睛很大很漂亮,His eyes are big and beautiful
阳光,sunlight,今天的阳光真好,Today's sunlight is really nice
羊肉,mutton,这家餐厅的羊肉很好吃,The mutton at this restaurant is delicious
养成,to develop/form (a habit),我要养成每天运动的习惯,I want to develop a habit of exercising daily
要求,to require/demand,老师要求我们完成作业,The teacher requires us to complete the homework
要,want to/will,我要去超市买东西,I want to go to the supermarket to buy things
也,also/too,我也喜欢看电影,I also like watching movies
叶子,leaf,树上的叶子变黄了,The leaves on the tree have turned yellow
一,one,我只有一本书,I only have one book
衣服,clothes,这件衣服很适合你,These clothes suit you very well
医生,doctor,这位医生很有经验,This doctor is very experienced
医院,hospital,医院就在前面,The hospital is just ahead
一定,certainly/surely,我一定会准时到,I will certainly arrive on time
一共,altogether/in total,苹果一共五个,There are five apples in total
一会儿,a while/a moment,我一会儿就回来,I'll be back in a while
一切,everything; all,一切都准备好了,Everything is ready
以,by means of; according to,以这种方式学习很有效,Learning by this method is very effective
以后,after; later,以后我想去中国旅游,I want to travel to China later
以前,before; previously,他以前住在北京,He previously lived in Beijing
椅子,chair,这把椅子很舒服,This chair is very comfortable
一般,ordinary; common,他的汉语水平一般,His Chinese level is average
一起,together,我们一起去吃饭吧,Let's go eat together
一直,always; continuously,他一直很努力学习,He has always studied hard
意思,meaning; idea,这个词的意思是什么？,What's the meaning of this word?
阴,cloudy; overcast,今天天气很阴,The weather is cloudy today
因此,therefore; thus,他生病了，因此没来上课,"He was sick, therefore he didn't come to class"
引起,to cause; to lead to,这个问题引起了很多讨论,This issue caused a lot of discussion
印象,impression,我对这个城市印象很好,I have a good impression of this city
影响,influence; effect,熬夜会影响健康,Staying up late affects health
硬,hard; firm,这个面包太硬了,This bread is too hard
勇敢,"brave, courageous",他是一个勇敢的消防员。,He is a brave firefighter.
用,to use,我们用筷子吃饭。,We use chopsticks to eat.
幽默,humorous,他很幽默，总是让大家笑。,He is humorous and always makes everyone laugh.
由,"from, by",这本书由王老师写的。,This book was written by Teacher Wang.
由于,"because of, due to",由于下雨，比赛取消了。,"Due to the rain, the game was canceled."
尤其,especially,我喜欢水果，尤其是苹果。,"I like fruits, especially apples."
游泳,to swim,夏天我常去游泳。,I often go swimming in summer.
有,"to have, there is",我有一本新书。,I have a new book.
有名,famous,这家餐馆很有名。,This restaurant is very famous.
有趣,interesting,这个故事很有趣。,This story is very interesting.
友好,friendly,他们是友好的邻居。,They are friendly neighbors.
又,again,他又迟到了。,He was late again.
愉快,"happy, pleasant",祝你周末愉快！,Have a pleasant weekend!
于是,"therefore, thus",天很晚了，于是我们回家了。,"It was late, therefore we went home."
与,"with, and",他与她是好朋友。,He and she are good friends.
羽毛球,badminton,我每周都打羽毛球,I play badminton every week
遇到,"to meet, to encounter",我在超市遇到了我的老师,I met my teacher at the supermarket
元,yuan (Chinese currency),这本书二十元,This book costs twenty yuan
原来,"originally, so that's why",原来你住在这里,"Oh, so you live here"
原因,"reason, cause",请告诉我迟到的原因,Please tell me the reason for being late
愿意,willing to,我愿意帮助你,I am willing to help you
越,more and more,他跑得越来越快,He runs faster and faster
月,month,一年有十二个月,There are twelve months in a year
月亮,moon,今晚的月亮很圆,The moon is very full tonight
云,cloud,天上有白云,There are white clouds in the sky
在,"at, in",我在学校学习,I study at school
再,again,请再说一遍,Please say it again
早上,morning,早上好！,Good morning!
怎么,"how, why",你怎么这么晚才来？,Why did you come so late?
增加,to increase,工资增加了,The salary has increased
窄,narrow,这条路太窄了，车子开不进去。,This road is too narrow for cars to enter.
站,to stand; station,请在这里站一会儿等我。,Please stand here and wait for me.
丈夫,husband,我丈夫在医院工作。,My husband works at the hospital.
招聘,to recruit,这家公司正在招聘新员工。,This company is recruiting new employees.
着急,to worry; anxious,别着急，我们还有时间。,"Don't worry, we still have time."
找,to look for,我在找我的钱包。,I'm looking for my wallet.
照片,photograph,这是我去年拍的照片。,This is a photo I took last year.
照相机,camera,我买了一个新照相机。,I bought a new camera.
着,in progress,他正在看着电视。,He is watching TV.
真,really; truly,这个故事真有意思。,This story is really interesting.
真正,genuine; real,这是真正的中国茶。,This is genuine Chinese tea.
整理,to organize,我要整理我的房间。,I need to organize my room.
正常,normal,一切都很正常。,Everything is normal.
正好,just right,这件衣服正好合适。,This clothes fits just right.
正确,correct,你的答案是正确的。,Your answer is correct.
正式,"formal, official",我们明天正式开始新工作,We officially start our new job tomorrow
正在,in the process of,他正在看书,He is reading a book
之,possessive particle,天空之星,Stars of the sky
只,classifier for animals,一只猫在睡觉,A cat is sleeping
支持,to support,我完全支持你的决定,I fully support your decision
知道,to know,我知道他住在北京,I know he lives in Beijing
直接,direct,请直接告诉我结果,Please tell me the result directly
植物,plant,这些植物需要更多水,These plants need more water
指,"to point, finger",他指着黑板说明,He pointed at the blackboard to explain
只,"only, just",我只有一本书,I only have one book
只好,"have to, forced to",天太晚了，我只好回家,"It's too late, I have to go home"
只要,as long as,只要你努力，就能成功,"As long as you work hard, you can succeed"
至少,at least,我至少需要三天时间,I need at least three days
制造,to manufacture,这台电脑是在中国制造的,This computer was manufactured in China
中国,China,我很喜欢中国文化,I really like Chinese culture
中文,Chinese language,我正在学习中文。,I am learning Chinese.
中午,noon,中午我们一起吃饭吧。,Let's have lunch together at noon.
种,to plant; type,我们在花园里种了很多花。,We planted many flowers in the garden.
重点,key point,这是考试的重点内容。,This is the key content for the exam.
重要,important,健康是最重要的。,Health is the most important thing.
周末,weekend,周末你想做什么？,What do you want to do on the weekend?
猪,pig,那只小猪很可爱。,That little pig is very cute.
主要,main,这是主要问题。,This is the main issue.
主意,idea,我有一个好主意。,I have a good idea.
住,to live,我住在北京。,I live in Beijing.
祝,to wish,祝你生日快乐！,Wish you a happy birthday!
著名,famous,这是一个著名的景点。,This is a famous tourist spot.
注意,pay attention,请注意安全。,Please pay attention to safety.
撞,to crash; bump,我的车撞到了树。,My car crashed into a tree.
准确,accurate,这个答案很准确。,This answer is very accurate.
桌子,"table, desk",请把书放在桌子上。,Please put the book on the table.
字,"character, word",这个汉字很难写。,This Chinese character is difficult to write.
字典,dictionary,我需要查字典学习生词。,I need to check the dictionary to learn new words.
自己,"self, oneself",我喜欢自己做饭。,I like to cook for myself.
自然,"nature, natural",这里的自然风景很美。,The natural scenery here is beautiful.
走,"to walk, to go",我们一起走路去学校吧。,Let's walk to school together.
租,to rent,我想租一套公寓。,I want to rent an apartment.
嘴,mouth,吃饭前要擦干净嘴。,You should wipe your mouth clean before eating.
最,most,这是最贵的商品。,This is the most expensive product.
最好,"best, had better",你最好早点去睡觉。,You'd better go to bed early.
最后,"final, last",他最后一个到达。,He arrived last.
最近,"recently, lately",最近天气变冷了。,The weather has gotten cold recently.
尊重,respect,我们要尊重老师。,We should respect our teachers.
昨天,yesterday,昨天我去看电影了。,I went to watch a movie yesterday.
坐,to sit,请坐在这里等我。,Please sit here and wait for me.
做,to do; to make,妈妈正在做饭。,Mom is cooking.
做生意,to do business,他在中国做生意已经十年了。,He has been doing business in China for ten years.
座,seat; classifier for buildings/mountains,这座山很高。,This mountain is very tall.
座位,seat,这个电影院有两百个座位。,This movie theater has 200 seats.
作用,effect; function,运动对健康有好的作用。,Exercise has a good effect on health.
作者,author; writer,这本书的作者是谁？,Who is the author of this book?
