chinese_word,english_translation,chinese_sentence,english_sentence
面包,bread 袋[dài]塊|[kuài],我喜欢这个面包。,I like this bread 袋[dài]塊|[kuài].
面条,noodles,我喜欢这个面条。,I like this noodles.
民族,nationality ethnic group,这个民族很漂亮。,This nationality ethnic group is beautiful.
明白,clear obvious unequivocal to understand to,我有一个明白。,I have a clear obvious unequivocal to understand to.
明天,tomorrow,这个明天很贵。,This tomorrow is expensive.
名字,name,这个名字很漂亮。,This name is beautiful.
目的,purpose aim goal target objective,我有一个目的。,I have a purpose aim goal target objective.
拿,to hold to seize to catch to apprehend to take,我喜欢这个拿。,I like this to hold to seize to catch to apprehend to take.
哪,how which,这个哪很好。,This how which is good.
哪儿,where? wherever anywhere,这个哪儿很好。,This where? wherever anywhere is good.
那,that those then  commonly pr. nèi,这个那很好。,This that those then  commonly pr. nèi is good.
那儿,there,我喜欢这个那儿。,I like this there.
奶奶,father's mother paternal grandmother,这个奶奶很漂亮。,This father's mother paternal grandmother is beautiful.
耐心,patient,这个耐心很好。,This patient is good.
南,south,这个南很贵。,This south is expensive.
男人,a man a male men,我有一个男人。,I have a a man a male men.
呢,,我喜欢这个呢。,I like this .
内,inside inner internal within interior,这个内很漂亮。,This inside inner internal within interior is beautiful.
内容,content substance details 項|,我有一个内容。,I have a content substance details 項|.
能,to be able to to be capable of ability capability,这个能很贵。,This to be able to to be capable of ability capability is expensive.
能力,capability capable able ability,我有一个能力。,I have a capability capable able ability.
你,you,我喜欢这个你。,I like this you.
年,year,我有一个年。,I have a year.
您,you,我有一个您。,I have a you.
牛奶,cow's milk 杯[bēi],这个牛奶很漂亮。,This cow's milk 杯[bēi] is beautiful.
弄,to do to manage to handle to play with to fool,这个弄很好。,This to do to manage to handle to play with to fool is good.
努力,great effort to strive to try hard,这个努力很贵。,This great effort to strive to try hard is expensive.
暖和,warm nice and warm,这个暖和很好。,This warm nice and warm is good.
女儿,daughter,这个女儿很好。,This daughter is good.
女人,woman,这个女人很贵。,This woman is expensive.
偶尔,occasionally once in a while sometimes,我喜欢这个偶尔。,I like this occasionally once in a while sometimes.
爬山,to climb a mountain to mountaineer hiking,我有一个爬山。,I have a to climb a mountain to mountaineer hiking.
排列,array arrangement permutation (i.e. ordered,我有一个排列。,I have a array arrangement permutation (i.e. ordered.
判断,to decide to determine,这个判断很漂亮。,This to decide to determine is beautiful.
胖,fat plump,这个胖很贵。,This fat plump is expensive.
跑步,to walk quickly to march to run,这个跑步很好。,This to walk quickly to march to run is good.
陪,to accompany to keep sb company,我有一个陪。,I have a to accompany to keep sb company.
朋友,friend 位[wèi],我喜欢这个朋友。,I like this friend 位[wèi].
皮肤,skin,我喜欢这个皮肤。,I like this skin.
啤酒,beer 瓶[píng]罐[guàn]桶[tǒng]缸,这个啤酒很漂亮。,This beer 瓶[píng]罐[guàn]桶[tǒng]缸 is beautiful.
脾气,temperament disposition temper,这个脾气很漂亮。,This temperament disposition temper is beautiful.
便宜,small advantages to let sb off lightly cheap,我喜欢这个便宜。,I like this small advantages to let sb off lightly cheap.
票,ticket ballot bank note  person,这个票很好。,This ticket ballot bank note  person is good.
漂亮,pretty beautiful,我有一个漂亮。,I have a pretty beautiful.
苹果,apple 顆|[kē],这个苹果很好。,This apple 顆|[kē] is good.
瓶子,bottle,这个瓶子很漂亮。,This bottle is beautiful.
破,broken damaged worn out to break split or,这个破很贵。,This broken damaged worn out to break split or is expensive.
葡萄,grape,我有一个葡萄。,I have a grape.
普遍,universal general widespread common,这个普遍很贵。,This universal general widespread common is expensive.
七,seven 7,这个七很好。,This seven 7 is good.
妻子,wife,这个妻子很好。,This wife is good.
其次,next secondly,这个其次很漂亮。,This next secondly is beautiful.
其他,other the others else other than  in,这个其他很好。,This other the others else other than  in is good.
其中,among in included among these,这个其中很漂亮。,This among in included among these is beautiful.
奇怪,strange odd,这个奇怪很好。,This strange odd is good.
起床,to get up,这个起床很贵。,This to get up is expensive.
起来,beginning or continuing an action upward,我喜欢这个起来。,I like this beginning or continuing an action upward.
气候,climate atmosphere situation,这个气候很好。,This climate atmosphere situation is good.
千,thousand,我喜欢这个千。,I like this thousand.
千万,ten million countless many one must by all,这个千万很贵。,This ten million countless many one must by all is expensive.
前面,ahead in front preceding above,这个前面很贵。,This ahead in front preceding above is expensive.
敲,extort knock to strike to knock  to hit,这个敲很贵。,This extort knock to strike to knock  to hit is expensive.
巧克力,chocolate,这个巧克力很贵。,This chocolate is expensive.
清楚,clear clearly understood distinct,这个清楚很漂亮。,This clear clearly understood distinct is beautiful.
晴,clear fine,这个晴很漂亮。,This clear fine is beautiful.
情况,circumstances state of affairs situation CL:個|个,这个情况很贵。,This circumstances state of affairs situation CL:個|个 is expensive.
秋,autumn fall harvest time a swing surname Qiu,我喜欢这个秋。,I like this autumn fall harvest time a swing surname Qiu.
区别,difference to distinguish to discriminate to make,我有一个区别。,I have a difference to distinguish to discriminate to make.
取,to take to get to choose to fetch,这个取很好。,This to take to get to choose to fetch is good.
去,to go to go to  to cause to go or send,这个去很漂亮。,This to go to go to  to cause to go or send is beautiful.
去年,last year,我喜欢这个去年。,I like this last year.
全部,whole entire complete,我喜欢这个全部。,I like this whole entire complete.
缺点,weak point fault shortcoming,这个缺点很漂亮。,This weak point fault shortcoming is beautiful.
缺少,lack shortage of shortfall to be short  to lack,这个缺少很漂亮。,This lack shortage of shortfall to be short  to lack is beautiful.
却,but yet however while to go back to decline to,我喜欢这个却。,I like this but yet however while to go back to decline to.
群,group crowd flock herd pack etc,这个群很贵。,This group crowd flock herd pack etc is expensive.
裙子,skirt,我有一个裙子。,I have a skirt.
然而,however yet but,我有一个然而。,I have a however yet but.
然后,after then  after that afterwards,我有一个然后。,I have a after then  after that afterwards.
人,man person people 位[wèi],这个人很漂亮。,This man person people 位[wèi] is beautiful.
任何,any whatever whichever whatsoever,我有一个任何。,I have a any whatever whichever whatsoever.
仍然,still yet,我喜欢这个仍然。,I like this still yet.
日,sun day date day of the month abbr. for 日本|,我有一个日。,I have a sun day date day of the month abbr. for 日本|.
容易,easy likely liable,我有一个容易。,I have a easy likely liable.
如果,if in case in the event that,我喜欢这个如果。,I like this if in case in the event that.
入口,entrance,这个入口很好。,This entrance is good.
三,three 3,这个三很漂亮。,This three 3 is beautiful.
散步,to take a walk to go for a walk,我喜欢这个散步。,I like this to take a walk to go for a walk.
森林,forest,我喜欢这个森林。,I like this forest.
商店,store shop 個|个[gè],这个商店很漂亮。,This store shop 個|个[gè] is beautiful.
商量,to consult to talk over to discuss,这个商量很好。,This to consult to talk over to discuss is good.
上,on on top upon first,我喜欢这个上。,I like this on on top upon first.
上班,to go to work to be on duty to start work to go,这个上班很漂亮。,This to go to work to be on duty to start work to go is beautiful.
上网,to be on the internet to stretch a net (in a sports,这个上网很贵。,This to be on the internet to stretch a net (in a sports is expensive.
上午,morning,我喜欢这个上午。,I like this morning.
稍微,a little bit,我有一个稍微。,I have a a little bit.
少,few little lack,这个少很漂亮。,This few little lack is beautiful.
社会,society,我有一个社会。,I have a society.
深,close deep late profound dark (of color water,这个深很好。,This close deep late profound dark (of color water is good.
身体,body health,我有一个身体。,I have a body health.
什么,what? who? something anything,我喜欢这个什么。,I like this what? who? something anything.
甚至,even so much so that,这个甚至很好。,This even so much so that is good.
生病,to fall ill to sicken,我有一个生病。,I have a to fall ill to sicken.
生活,life activity to live livelihood,这个生活很好。,This life activity to live livelihood is good.
生命,life living biological,我喜欢这个生命。,I like this life living biological.
生气,angry mad offended animated to get angry to,这个生气很好。,This angry mad offended animated to get angry to is good.
生日,birthday,这个生日很贵。,This birthday is expensive.
声音,voice sound,我有一个声音。,I have a voice sound.
省,to save to economize to do without to omit to,我有一个省。,I have a to save to economize to do without to omit to.
剩,to remain to be left to have as remainder,这个剩很好。,This to remain to be left to have as remainder is good.
失望,disappointed to lose hope to despair,这个失望很好。,This disappointed to lose hope to despair is good.
十,ten 1,这个十很漂亮。,This ten 1 is beautiful.
十分,to divide into ten equal parts very hundred,这个十分很好。,This to divide into ten equal parts very hundred is good.
食品,foodstuff food provisions,这个食品很漂亮。,This foodstuff food provisions is beautiful.
使,to make to cause to enable to use to employ to,这个使很好。,This to make to cause to enable to use to employ to is good.
使用,to use to employ to apply to make use of,这个使用很漂亮。,This to use to employ to apply to make use of is beautiful.
是,is are am yes to be,这个是很好。,This is are am yes to be is good.
适合,to fit to suit,这个适合很贵。,This to fit to suit is expensive.
世界,world,这个世界很好。,This world is good.
事情,affair matter thing business 樁|,这个事情很贵。,This affair matter thing business 樁| is expensive.
收,to receive to accept to collect in care of (used on,我有一个收。,I have a to receive to accept to collect in care of (used on.
收入,to take in income revenue 個|个,这个收入很贵。,This to take in income revenue 個|个 is expensive.
收拾,to put in order to tidy up to pack to repair to,我喜欢这个收拾。,I like this to put in order to tidy up to pack to repair to.
手表,wrist watch 隻|只[zhī]個|个[gè],这个手表很好。,This wrist watch 隻|只[zhī]個|个[gè] is good.
手机,cell phone cellular phone mobile phone CL:部,这个手机很贵。,This cell phone cellular phone mobile phone CL:部 is expensive.
首都,capital,这个首都很好。,This capital is good.
首先,first  in the first place,这个首先很漂亮。,This first  in the first place is beautiful.
瘦,tight thin lean,我有一个瘦。,I have a tight thin lean.
受不了,unbearable unable to endure can't stand,这个受不了很好。,This unbearable unable to endure can't stand is good.
受到,to receive to suffer obtained given,这个受到很漂亮。,This to receive to suffer obtained given is beautiful.
舒服,comfortable feeling well,我有一个舒服。,I have a comfortable feeling well.
叔叔,father's younger brother uncle Taiwan pr. shú,我喜欢这个叔叔。,I like this father's younger brother uncle Taiwan pr. shú.
熟悉,to be familiar with to know well,这个熟悉很好。,This to be familiar with to know well is good.
数量,amount quantity,这个数量很漂亮。,This amount quantity is beautiful.
数学,mathematics mathematical,我喜欢这个数学。,I like this mathematics mathematical.
数字,numeral digit number figure amount digital,这个数字很好。,This numeral digit number figure amount digital is good.
双,two double pair both,这个双很漂亮。,This two double pair both is beautiful.
水,water river liquid beverage additional charges,这个水很贵。,This water river liquid beverage additional charges is expensive.
水果,fruit,我喜欢这个水果。,I like this fruit.
水平,level  standard horizontal,我喜欢这个水平。,I like this level  standard horizontal.
司机,chauffeur driver,我喜欢这个司机。,I like this chauffeur driver.
死,to die impassable uncrossable inflexible rigid,这个死很贵。,This to die impassable uncrossable inflexible rigid is expensive.
四,four 4,我喜欢这个四。,I like this four 4.
送,to deliver to carry to give  to,我喜欢这个送。,I like this to deliver to carry to give  to.
速度,speed rate velocity,这个速度很贵。,This speed rate velocity is expensive.
塑料袋,plastic bag,我喜欢这个塑料袋。,I like this plastic bag.
酸,sour sore ache acid,这个酸很贵。,This sour sore ache acid is expensive.
算,regard as to figure to calculate to compute,这个算很漂亮。,This regard as to figure to calculate to compute is beautiful.
虽然,although even though even if,这个虽然很漂亮。,This although even though even if is beautiful.
随便,as one wishes as one pleases at random,我有一个随便。,I have a as one wishes as one pleases at random.
随着,along with in the wake of following,这个随着很漂亮。,This along with in the wake of following is beautiful.
所以,therefore as a result so,这个所以很好。,This therefore as a result so is good.
所有,all to have to possess to own,我喜欢这个所有。,I like this all to have to possess to own.
他,he or him (used for either sex when the sex is,我有一个他。,I have a he or him (used for either sex when the sex is.
她,she,这个她很漂亮。,This she is beautiful.
它,it,这个它很贵。,This it is expensive.
台,desk platform stage terrace stand support desk,这个台很好。,This desk platform stage terrace stand support desk is good.
抬,to lift to raise  to carry,这个抬很漂亮。,This to lift to raise  to carry is beautiful.
太,highest greatest too  very extremely,这个太很漂亮。,This highest greatest too  very extremely is beautiful.
太阳,sun,我喜欢这个太阳。,I like this sun.
趟,to wade to trample to turn the soil,这个趟很漂亮。,This to wade to trample to turn the soil is beautiful.
糖,sugar sweets candy 塊|[kuài],这个糖很漂亮。,This sugar sweets candy 塊|[kuài] is beautiful.
特别,especially special particular unusual,这个特别很贵。,This especially special particular unusual is expensive.
特点,characteristic  trait feature,我喜欢这个特点。,I like this characteristic  trait feature.
踢足球,play soccer,这个踢足球很好。,This play soccer is good.
提高,to raise to increase,我喜欢这个提高。,I like this to raise to increase.
提供,to offer to supply to provide to furnish,这个提供很漂亮。,This to offer to supply to provide to furnish is beautiful.
提前,to shift to an earlier date to bring forward to,这个提前很漂亮。,This to shift to an earlier date to bring forward to is beautiful.
提醒,to remind to call attention to to warn of,我有一个提醒。,I have a to remind to call attention to to warn of.
体育,sports physical education,这个体育很好。,This sports physical education is good.
天气,weather,我喜欢这个天气。,I like this weather.
甜,sweet,我喜欢这个甜。,I like this sweet.
填空,to fill a job vacancy to fill in a blank (e.g. on,我喜欢这个填空。,I like this to fill a job vacancy to fill in a blank (e.g. on.
条,strip item article clause,这个条很贵。,This strip item article clause is expensive.
条件,condition circumstances term factor,这个条件很好。,This condition circumstances term factor is good.
跳舞,to dance,这个跳舞很好。,This to dance is good.
听,to listen to hear to obey a can (loanword from,这个听很贵。,This to listen to hear to obey a can (loanword from is expensive.
停止,to stop to halt to cease,这个停止很好。,This to stop to halt to cease is good.
通知,to notify to inform notice notification CL:個|个,这个通知很好。,This to notify to inform notice notification CL:個|个 is good.
同情,compassion relent sympathize sympathy,这个同情很漂亮。,This compassion relent sympathize sympathy is beautiful.
同事,colleague co-worker 位[wèi],我喜欢这个同事。,I like this colleague co-worker 位[wèi].
同学,classmate 個|个[gè],这个同学很漂亮。,This classmate 個|个[gè] is beautiful.
同意,to agree to consent to approve,这个同意很好。,This to agree to consent to approve is good.
突然,sudden abrupt unexpected,这个突然很好。,This sudden abrupt unexpected is good.
推,to push to cut to refuse to reject to decline to,这个推很好。,This to push to cut to refuse to reject to decline to is good.
脱,to shed to take off to escape to get away from,我有一个脱。,I have a to shed to take off to escape to get away from.
袜子,socks stockings 對|[duì]雙|双,这个袜子很漂亮。,This socks stockings 對|[duì]雙|双 is beautiful.
外,outside in addition foreign external,这个外很贵。,This outside in addition foreign external is expensive.
玩,toy sth used for amusement curio or antique,我有一个玩。,I have a toy sth used for amusement curio or antique.
完,to finish to be over whole complete entire,这个完很好。,This to finish to be over whole complete entire is good.
完成,complete accomplish perfect tense,这个完成很好。,This complete accomplish perfect tense is good.
完全,complete whole totally entirely,这个完全很好。,This complete whole totally entirely is good.
碗,bowl cup 個|个[gè],这个碗很好。,This bowl cup 個|个[gè] is good.
晚上,in the evening,我喜欢这个晚上。,I like this in the evening.
万,ten thousand a great number,这个万很好。,This ten thousand a great number is good.
往,to go  to towards,这个往很贵。,This to go  to towards is expensive.
往往,often frequently,这个往往很漂亮。,This often frequently is beautiful.
网球,tennis,我喜欢这个网球。,I like this tennis.
网站,website network station node,我有一个网站。,I have a website network station node.
喂,hello  hey to feed (sb,我有一个喂。,I have a hello  hey to feed (sb.
位,position location place seat classifier for people,这个位很贵。,This position location place seat classifier for people is expensive.
味道,flavor smell hint of,我喜欢这个味道。,I like this flavor smell hint of.
文化,culture civilization cultural 種|种,这个文化很好。,This culture civilization cultural 種|种 is good.
文章,article essay literary works writings hidden,这个文章很贵。,This article essay literary works writings hidden is expensive.
我,I me my,我喜欢这个我。,I like this I me my.
握手,to shake hands,这个握手很贵。,This to shake hands is expensive.
无,-less not to have no none not to lack un-,这个无很贵。,This -less not to have no none not to lack un- is expensive.
无聊,nonsense bored,这个无聊很漂亮。,This nonsense bored is beautiful.
五,five 5,这个五很好。,This five 5 is good.
西,west,这个西很贵。,This west is expensive.
西瓜,watermelon,这个西瓜很漂亮。,This watermelon is beautiful.
希望,to wish for to desire hope,我有一个希望。,I have a to wish for to desire hope.
吸引,to attract,我喜欢这个吸引。,I like this to attract.
洗,to wash to bathe,我有一个洗。,I have a to wash to bathe.
洗衣机,washer washing machine,这个洗衣机很漂亮。,This washer washing machine is beautiful.
洗澡,to bathe to take a shower,我喜欢这个洗澡。,I like this to bathe to take a shower.
夏,summer,这个夏很好。,This summer is good.
下,down downwards below lower later next,这个下很贵。,This down downwards below lower later next is expensive.
下午,afternoon p.m.,我有一个下午。,I have a afternoon p.m..
下雨,to rain rainy,这个下雨很贵。,This to rain rainy is expensive.
先,early prior former in advance first,这个先很贵。,This early prior former in advance first is expensive.
先生,teacher Mister  husband doctor,这个先生很漂亮。,This teacher Mister  husband doctor is beautiful.
咸,salted salty stingy miserly,这个咸很贵。,This salted salty stingy miserly is expensive.
羡慕,envious envy to admire,这个羡慕很漂亮。,This envious envy to admire is beautiful.
限制,to restrict to limit to confine restriction limit,我有一个限制。,I have a to restrict to limit to confine restriction limit.
香,fragrant sweet smelling aromatic savory or,我有一个香。,I have a fragrant sweet smelling aromatic savory or.
香蕉,banana 根[gēn]個|个[gè]把[bǎ],我有一个香蕉。,I have a banana 根[gēn]個|个[gè]把[bǎ].
相反,opposite contrary,我有一个相反。,I have a opposite contrary.
相同,identical same,这个相同很贵。,This identical same is expensive.
相信,be convinced  believe to,这个相信很贵。,This be convinced  believe to is expensive.
响,to make a sound to sound to ring loud classifier,这个响很漂亮。,This to make a sound to sound to ring loud classifier is beautiful.
想,to think to believe to suppose to wish to want,这个想很漂亮。,This to think to believe to suppose to wish to want is beautiful.
向,direction orientation to face to turn toward to,这个向很漂亮。,This direction orientation to face to turn toward to is beautiful.
像,like similar  appearance to appear to,这个像很漂亮。,This like similar  appearance to appear to is beautiful.
消息,news information,这个消息很漂亮。,This news information is beautiful.
小,small tiny few young,这个小很贵。,This small tiny few young is expensive.
小姐,young lady miss 位[wèi],这个小姐很贵。,This young lady miss 位[wèi] is expensive.
小心,to be careful to take care,这个小心很漂亮。,This to be careful to take care is beautiful.
笑,laugh smile,这个笑很贵。,This laugh smile is expensive.
效果,result effect quality,我喜欢这个效果。,I like this result effect quality.
些,some few several,这个些很贵。,This some few several is expensive.
鞋,shoe 隻|只[zhī],这个鞋很漂亮。,This shoe 隻|只[zhī] is beautiful.
写,to write,这个写很贵。,This to write is expensive.
新,new newly meso-,我喜欢这个新。,I like this new newly meso-.
辛苦,hard exhausting with much toil thanks for your,我有一个辛苦。,I have a hard exhausting with much toil thanks for your.
心情,mood frame of mind,我有一个心情。,I have a mood frame of mind.
信,letter mail to trust to believe to profess faith in,这个信很漂亮。,This letter mail to trust to believe to profess faith in is beautiful.
信任,to trust to have confidence in,我喜欢这个信任。,I like this to trust to have confidence in.
信心,confidence faith,这个信心很好。,This confidence faith is good.
信用卡,credit card,我有一个信用卡。,I have a credit card.
星期,week,这个星期很好。,This week is good.
行,to walk to go to travel a visit temporary,这个行很好。,This to walk to go to travel a visit temporary is good.
行李箱,suitcase,这个行李箱很好。,This suitcase is good.
醒,to wake up to awaken to be awake,我有一个醒。,I have a to wake up to awaken to be awake.
姓,family name surname name,这个姓很漂亮。,This family name surname name is beautiful.
性别,gender sex distinguishing between the sexes,这个性别很好。,This gender sex distinguishing between the sexes is good.
性格,nature disposition temperament character CL:,这个性格很好。,This nature disposition temperament character CL: is good.
幸福,blessed happiness happy,我有一个幸福。,I have a blessed happiness happy.
兴趣,interest in,这个兴趣很贵。,This interest in is expensive.
熊猫,panda,我喜欢这个熊猫。,I like this panda.
修,to decorate to embellish to repair to build to,这个修很贵。,This to decorate to embellish to repair to build to is expensive.
休息,rest to rest,我喜欢这个休息。,I like this rest to rest.
需要,to need to want to demand needs to require,这个需要很好。,This to need to want to demand needs to require is good.
学生,student school child,我喜欢这个学生。,I like this student school child.
学校,school,我有一个学校。,I have a school.
雪,snow snowfall  to have the,我有一个雪。,I have a snow snowfall  to have the.
血,blood informal colloquial and Taiwan pr. xiě,这个血很漂亮。,This blood informal colloquial and Taiwan pr. xiě is beautiful.
研究生,graduate student postgraduate student research,我有一个研究生。,I have a graduate student postgraduate student research.
演出,to act  to perform to put on (a,这个演出很漂亮。,This to act  to perform to put on (a is beautiful.
眼睛,eye 雙|双[shuāng],这个眼睛很好。,This eye 雙|双[shuāng] is good.
阳光,sunshine,这个阳光很好。,This sunshine is good.
羊肉,mutton,这个羊肉很贵。,This mutton is expensive.
养成,to cultivate to raise to form  to acquire,我喜欢这个养成。,I like this to cultivate to raise to form  to acquire.
要求,to request to require to stake a claim to ask to,这个要求很漂亮。,This to request to require to stake a claim to ask to is beautiful.
要,important vital to want will going to (as future,这个要很贵。,This important vital to want will going to (as future is expensive.
也,also too  final particle,我喜欢这个也。,I like this also too  final particle.
叶子,foliage leaf,我有一个叶子。,I have a foliage leaf.
一,one 1 single a  as soon as entire whole,这个一很好。,This one 1 single a  as soon as entire whole is good.
衣服,clothes 套[tào],这个衣服很贵。,This clothes 套[tào] is expensive.
医生,doctor 位[wèi]名[míng],我有一个医生。,I have a doctor 位[wèi]名[míng].
医院,hospital 家[jiā]座[zuò],这个医院很贵。,This hospital 家[jiā]座[zuò] is expensive.
一定,surely certainly necessarily fixed a certain,这个一定很好。,This surely certainly necessarily fixed a certain is good.
一共,altogether,这个一共很好。,This altogether is good.
一会儿,a while,我喜欢这个一会儿。,I like this a while.
一切,everything every all,我喜欢这个一切。,I like this everything every all.
以,to use according to so as to by means of in,我喜欢这个以。,I like this to use according to so as to by means of in.
以后,after later afterwards following later on in the,我喜欢这个以后。,I like this after later afterwards following later on in the.
以前,before formerly previous ago,这个以前很好。,This before formerly previous ago is good.
椅子,chair 套[tào],我有一个椅子。,I have a chair 套[tào].
一般,same ordinary common general generally in,这个一般很好。,This same ordinary common general generally in is good.
一起,in the same place together with altogether (in,这个一起很漂亮。,This in the same place together with altogether (in is beautiful.
一直,straight  continuously always,我喜欢这个一直。,I like this straight  continuously always.
意思,idea opinion meaning wish desire CL:個|个,我喜欢这个意思。,I like this idea opinion meaning wish desire CL:個|个.
阴,overcast  cloudy shady Yin (the,我有一个阴。,I have a overcast  cloudy shady Yin (the.
因此,thus consequently as a result,这个因此很贵。,This thus consequently as a result is expensive.
引起,to give rise to to lead to to cause to arouse,这个引起很漂亮。,This to give rise to to lead to to cause to arouse is beautiful.
印象,impression reflection perception,这个印象很好。,This impression reflection perception is good.
影响,an influence an effect to influence to affect,这个影响很贵。,This an influence an effect to influence to affect is expensive.
硬,hard stiff strong firm to manage to do sth with,这个硬很漂亮。,This hard stiff strong firm to manage to do sth with is beautiful.
勇敢,brave courageous,这个勇敢很漂亮。,This brave courageous is beautiful.
用,to use to employ to have to to eat or drink,这个用很贵。,This to use to employ to have to to eat or drink is expensive.
幽默,humor humorous,这个幽默很漂亮。,This humor humorous is beautiful.
由,to follow from it is for...to reason cause,我有一个由。,I have a to follow from it is for...to reason cause.
由于,due to as a result of thanks to owing to since,我有一个由于。,I have a due to as a result of thanks to owing to since.
尤其,especially particularly,这个尤其很漂亮。,This especially particularly is beautiful.
游泳,swim,这个游泳很好。,This swim is good.
有,to have there is there are to exist to be,我有一个有。,I have a to have there is there are to exist to be.
有名,famous well-known,我有一个有名。,I have a famous well-known.
有趣,interesting fascinating amusing,我喜欢这个有趣。,I like this interesting fascinating amusing.
友好,friendly,这个友好很漂亮。,This friendly is beautiful.
又,again also both... and... again,这个又很好。,This again also both... and... again is good.
愉快,cheerful cheerily delightful pleasant pleasantly,这个愉快很好。,This cheerful cheerily delightful pleasant pleasantly is good.
于是,thereupon as a result consequently thus hence,这个于是很漂亮。,This thereupon as a result consequently thus hence is beautiful.
与,(same as 歟|欤 final particle expression doubt or,我有一个与。,I have a (same as 歟|欤 final particle expression doubt or.
羽毛球,shuttlecock badminton,我有一个羽毛球。,I have a shuttlecock badminton.
遇到,to meet to run into to come across,我喜欢这个遇到。,I like this to meet to run into to come across.
元,Chinese monetary unit dollar primary first the,这个元很贵。,This Chinese monetary unit dollar primary first the is expensive.
原来,original former originally formerly at first so...,我喜欢这个原来。,I like this original former originally formerly at first so....
原因,cause origin root cause reason,我喜欢这个原因。,I like this cause origin root cause reason.
愿意,to wish to want ready willing,这个愿意很好。,This to wish to want ready willing is good.
越,to exceed to climb over to surpass the more...,这个越很漂亮。,This to exceed to climb over to surpass the more... is beautiful.
月,moon month 輪|[lún],我喜欢这个月。,I like this moon month 輪|[lún].
月亮,moon,我喜欢这个月亮。,I like this moon.
云,to say,我有一个云。,I have a to say.
在,at  in to exist in the middle of,我有一个在。,I have a at  in to exist in the middle of.
再,again once more re- second another then (after,这个再很漂亮。,This again once more re- second another then (after is beautiful.
早上,early morning  Good morning!,这个早上很好。,This early morning  Good morning! is good.
怎么,how? what? why?,这个怎么很贵。,This how? what? why? is expensive.
增加,to raise to increase,这个增加很好。,This to raise to increase is good.
窄,narrow narrow-minded badly off,我喜欢这个窄。,I like this narrow narrow-minded badly off.
站,station to stand to halt to stop branch of a,这个站很漂亮。,This station to stand to halt to stop branch of a is beautiful.
丈夫,husband,这个丈夫很漂亮。,This husband is beautiful.
招聘,recruitment to invite applications for a job,我喜欢这个招聘。,I like this recruitment to invite applications for a job.
着急,to worry to feel anxious,我喜欢这个着急。,I like this to worry to feel anxious.
找,to try to find to look for to call on sb to find to,这个找很好。,This to try to find to look for to call on sb to find to is good.
照片,photo photograph picture 套,我喜欢这个照片。,I like this photo photograph picture 套.
照相机,camera 架[jià]部[bù]台[tái]隻|只,我有一个照相机。,I have a camera 架[jià]部[bù]台[tái]隻|只.
着,particle attached after verb to indicate action in,这个着很漂亮。,This particle attached after verb to indicate action in is beautiful.
真,really truly indeed real true genuine,这个真很好。,This really truly indeed real true genuine is good.
真正,genuine real true genuinely,这个真正很漂亮。,This genuine real true genuinely is beautiful.
整理,to arrange to tidy up to sort out to straighten,我有一个整理。,I have a to arrange to tidy up to sort out to straighten.
正常,regular normal ordinary,这个正常很贵。,This regular normal ordinary is expensive.
正好,just  just right just enough to happen to,我喜欢这个正好。,I like this just  just right just enough to happen to.
正确,correct proper,这个正确很漂亮。,This correct proper is beautiful.
正式,formal official,我喜欢这个正式。,I like this formal official.
正在,in the process of,我喜欢这个正在。,I like this in the process of.
之,,我有一个之。,I have a .
只,classifier for birds and certain animals one of a,这个只很漂亮。,This classifier for birds and certain animals one of a is beautiful.
支持,to be in favor of to support to back support,这个支持很好。,This to be in favor of to support to back support is good.
知道,to know to be aware of,这个知道很贵。,This to know to be aware of is expensive.
直接,direct opposite: indirect 間接|接 immediate,这个直接很贵。,This direct opposite: indirect 間接|接 immediate is expensive.
植物,botanical plant vegetation,这个植物很漂亮。,This botanical plant vegetation is beautiful.
指,finger to point at or to to indicate or refer to to,这个指很贵。,This finger to point at or to to indicate or refer to to is expensive.
只,only merely just but,这个只很漂亮。,This only merely just but is beautiful.
只好,without any better option to have to to be forced,这个只好很贵。,This without any better option to have to to be forced is expensive.
只要,if only so long as,这个只要很漂亮。,This if only so long as is beautiful.
至少,at least  least,我有一个至少。,I have a at least  least.
制造,to manufacture to make,我喜欢这个制造。,I like this to manufacture to make.
中国,China Middle Kingdom,这个中国很贵。,This China Middle Kingdom is expensive.
中文,Chinese Chinese written language Chinese,这个中文很好。,This Chinese Chinese written language Chinese is good.
中午,noon midday,这个中午很漂亮。,This noon midday is beautiful.
种,abbr. for 物種|物种 genus race seed breed,我有一个种。,I have a abbr. for 物種|物种 genus race seed breed.
重点,emphasis focal point priority key with the,这个重点很漂亮。,This emphasis focal point priority key with the is beautiful.
重要,important significant major,我喜欢这个重要。,I like this important significant major.
周末,weekend,这个周末很贵。,This weekend is expensive.
猪,hog pig swine 頭|[tóu],这个猪很好。,This hog pig swine 頭|[tóu] is good.
主要,main principal major primary,这个主要很漂亮。,This main principal major primary is beautiful.
主意,plan idea decision,这个主意很贵。,This plan idea decision is expensive.
住,to live to dwell to stay to reside to stop,这个住很贵。,This to live to dwell to stay to reside to stop is expensive.
祝,invoke pray to wish to express good wishes,我有一个祝。,I have a invoke pray to wish to express good wishes.
著名,famous noted well-known celebrated,我喜欢这个著名。,I like this famous noted well-known celebrated.
注意,to take note of to pay attention to,这个注意很漂亮。,This to take note of to pay attention to is beautiful.
