chinese_word,english_translation,chinese_sentence,english_sentence
怎么,how? what? why?,这个怎么很贵。,This how? what? why? is expensive.
站,station to stand to halt to stop branch of a,这个站很漂亮。,This station to stand to halt to stop branch of a is beautiful.
丈夫,husband,这个丈夫很漂亮。,This husband is beautiful.
着急,to worry to feel anxious,我喜欢这个着急。,I like this to worry to feel anxious.
找,to try to find to look for to call on sb to find to,这个找很好。,This to try to find to look for to call on sb to find to is good.
照片,photo photograph picture 套,我喜欢这个照片。,I like this photo photograph picture 套.
照相机,camera 架[jià]部[bù]台[tái]隻|只,我有一个照相机。,I have a camera 架[jià]部[bù]台[tái]隻|只.
着,particle attached after verb to indicate action in,这个着很漂亮。,This particle attached after verb to indicate action in is beautiful.
真,really truly indeed real true genuine,这个真很好。,This really truly indeed real true genuine is good.
正在,in the process of,我喜欢这个正在。,I like this in the process of.
知道,to know to be aware of,这个知道很贵。,This to know to be aware of is expensive.
只,only merely just but,这个只很漂亮。,This only merely just but is beautiful.
中国,China Middle Kingdom,这个中国很贵。,This China Middle Kingdom is expensive.
中午,noon midday,这个中午很漂亮。,This noon midday is beautiful.
种,abbr. for 物種|物种 genus race seed breed,我有一个种。,I have a abbr. for 物種|物种 genus race seed breed.
重要,important significant major,我喜欢这个重要。,I like this important significant major.
周末,weekend,这个周末很贵。,This weekend is expensive.
主要,main principal major primary,这个主要很漂亮。,This main principal major primary is beautiful.
住,to live to dwell to stay to reside to stop,这个住很贵。,This to live to dwell to stay to reside to stop is expensive.
祝,invoke pray to wish to express good wishes,我有一个祝。,I have a invoke pray to wish to express good wishes.
注意,to take note of to pay attention to,这个注意很漂亮。,This to take note of to pay attention to is beautiful.
桌子,table desk 套[tào],这个桌子很贵。,This table desk 套[tào] is expensive.
字,letter symbol character word,我有一个字。,I have a letter symbol character word.
字典,dictionary character dictionary,这个字典很贵。,This dictionary character dictionary is expensive.
自己,self  own,这个自己很漂亮。,This self  own is beautiful.
走,to walk to go to run to move  to visit,这个走很贵。,This to walk to go to run to move  to visit is expensive.
最,most the most -est,这个最很漂亮。,This most the most -est is beautiful.
最近,recent recently these days latest soon nearest (of,这个最近很贵。,This recent recently these days latest soon nearest (of is expensive.
昨天,yesterday,我有一个昨天。,I have a yesterday.
坐,to sit to take a seat to take  to,这个坐很贵。,This to sit to take a seat to take  to is expensive.
做,to do to make to produce to write to compose to,这个做很好。,This to do to make to produce to write to compose to is good.
作用,to act on to affect action function activity,这个作用很漂亮。,This to act on to affect action function activity is beautiful.
