german_word,english_translation,german_sentence,english_sentence
"das Kraftfahrzeug, -e",motor vehicle,Mein Bruder ist KFZ- Mechaniker.,My brother is a car mechanic.
krank,ill,Ich war zwei Wochen krank.,I was ill for two weeks.
"krankschreiben, schreibt krank, schrieb krank, hat krankgeschrieben",sick leave,Der Arzt hat mich krankgeschrieben.,The doctor wrote me off sick.
"krankmelden, meldet krank, meldete krank, hat krankgemeldet",report sick,Er hat sich für heute krankgemeldet.,He has been sick for today.
"der Kranke, -n","sick-person, invalid",Kranke brauchen viel Ruhe.,Sick people need a lot of rest.
"das Krankenhaus, -""er",hospital,Mein Onkel musste ins Krankenhaus.,My uncle had to go to the hospital.
"die Krankenkasse, -n",health insurance,Bei welcher Krankenkasse sind Sie versichert?,At which company are you medically insured?
"der Krankenpfleger, -",male nurse,Mein Bruder arbeitet als Krankenpfleger im Krankenhaus.,My brother works as a nurse in the hospital.
"die Krankenschwester, -n",female nurse,Meine Cousine möchte gern Krankenschwester werden.,My cousin wants to become a nurse.
"der Krankenwagen, -",ambulance,Wir müssen einen Krankenwagen rufen.,We have to call an ambulance.
"die Krankheit, -en",illness,Gegen welche Krankheiten sollte ich mich impfen lassen?,Which diseases should I get vaccinated against?
"der Kredit, -e","credit, loan",Ich habe den Wagen auf Kredit gekauft.,I bought the car on credit.
"die Kreditkarte, -n",credit card,Kann ich mit Kreditkarte zahlen?,Can I pay by credit card?
"der Kreis, -e",circle,Die Kinder sitzen im Kindergarten im Kreis.,The children are sitting in the kindergarten in a circle.
"das Kreuz, -e",cross,Was bedeutet dieses Kreuz hier?,What does this cross mean here?
"die Kreuzung, -en","crossing, junction",Fahren Sie an der nächsten Kreuzung rechts.,"At the next intersection, turn right."
"kriegen, kriegt, kriegte, hat gekriegt","to get, receive",Haben Sie meinen Brief gekriegt?,Did you get my letter?
"die Kriminalpolizei, -en / Kriminal-",Criminal Investigation Department,Ein Nachbar von uns arbeitet bei der Kriminalpolizei.,A neighbor of ours works at the Kriminalpolizei.
"der Krimi, -s","thriller, crime film or TV programme",Heute Abend kommt ein spannender Krimi im Fernsehen.,Tonight comes an exciting thriller on TV.
kritisieren,to criticise,Kritisier mich nicht so oft.,Do not criticize me so often.
"die Kritik, -en",criticism,Es gibt viel Kritik an der Politik der Regierung.,There is much criticism of the government's policy.
kritisch,critical,Es gab eine Diskussion über die Lebensmittelpreise. Ein Journalist hat kritische Fragen gestellt.,There was a discussion about food prices. A journalist asked critical questions.
"die Küche, -n",kitchen,"Ich suche eine Wohnung mit 3 Zimmern, Küche und Bad.","I'm looking for an apartment with 3 rooms, kitchen and bathroom."
"der Kuchen, -",cake,Ich habe einen Kuchen gebacken.,I baked a cake.
"der Kugelschreiber, -","ball-point pen, biro",Mein Kugelschreiber ist weg.,My pen is gone.
"der Kuli, -s",Biro,Hast du einen Kuli für mich?,Do you have a pen for me?
"die Kuh, -""e",cow,Mein Großvater hatte noch Schafe und Kühe.,My grandfather still had sheep and cows.
kühl,cool,Es ist kühl draußen. Zieh dir eine Jacke an.,It's cool outside. Put on a jacket.
"der Kühlschrank, -""e",fridge,Stell die Milch in den Kühlschrank!,Put the milk in the fridge!
"die Kultur, -en",culture,Ich interessiere mich für andere Länder und Kulturen.,I am interested in other countries and cultures.
kulturell,cultural,Es gibt große kulturelle Unterschiede zwischen den Ländern.,There are big cultural differences between the countries.
"kümmern, kümmert, kümmerte, hat gekümmert",to look after,Ich kann nicht arbeiten. Ich muss mich um die Kinder kümmern.,I cant work. I have to take care of the children.
"der Kunde, -n",customer,Herr Sommer ist schon lange bei mir Kunde. Ich habe ihm einen Sonderpreis gegeben.,Mr. Sommer has been a customer of mine for a long time. I gave him a special prize.
"kündigen, kündigt, kündigte, hat gekündigt",to give one's notice,Ich war mit meiner Stelle nicht zufrieden und habe gekündigt.,I was not satisfied with my job and quit.
"die Kündigung, -en",notice,Ich habe die Kündigung bekommen. Jetzt bin ich arbeitslos.,I got the notice. Now I am unemployed.
"die Kunst, -""e",art,Ich verstehe nichts von moderner Kunst.,I do not understand modern art.
"der Künstler, -",artist,In diesem Stadtteil wohnen viele Künstler. Neben uns wohnt ein Musiker.,Many artists live in this district. Next to us lives a musician.
künstlich,artificial,Ich mag kein künstliches Licht.,I do not like artificial light.
"der Kunststoff, -e",artificial material,Der Stuhl ist aus Kunststoff.,The chair is made of plastic.
"der Kurs, -e",course,Ich besuche regelmäßig einen Deutschkurs.,I regularly attend a German course.
"der Kursleiter / -in, - / -innen",course leader,Die Kursleiterin geht mit unserem Kurs manchmal in den Computerraum .,The trainer sometimes goes to the computer room with our course.
"die Kurve, -n",curve,Fahr bitte nicht so schnell in die Kurven.,Please do not drive so fast in the curves.
kurz,short,Ricardo hat kurze Haare.,Ricardo has short hair.
"küssen, küsst, küsste, hat geküsst",to kiss,Zum Abschied haben wir uns alle geküsst.,As a farewell we all kissed.
"der Kuss, -""e",kiss,Gib der Mama einen Kuss.,Give mom a kiss.
"die Küste, -n",coast,Unser Dorf liegt direkt an der Küste.,Our village is located directly on the coast.
"das Labor, -s",laboratory,Wir schicken die Probe ins Labor.,We send the sample to the laboratory.
"lächeln, lächelt, lächelte, hat gelächelt",to smile,Schauen Sie in die Kamera.,Look into the camera.
"lachen, lacht, lachte, hat gelacht",to laugh,Lachen ist gesund.,Laughing is healthy.
"der Laden, -""",shop,Dieses Kleid habe ich in einem Laden im Zentrum gekauft.,I bought this dress in a shop in the center.
"die Lage, -n","position, situation, place",Wir suchen eine Wohnung in zentraler Lage.,We are looking for an apartment in a central location.
"das Lager, -""",camp,"Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach.",I do not know if we have this shoe in your size. I'll check the camp.
"die Lampe, -n",lamp,Ich habe mir eine neue Lampe gekauft.,I bought a new lamp.
"das Land, -""er","land, country, state",Deutschland ist ein schönes Land.,Germany is a beautiful country.
"landen, landet, landete, ist gelandet",to land,Wir sind erst um 20 Uhr in München gelandet.,We landed at 8pm in Munich.
"die Landung, -en",landing,Bei der Landung müssen Sie sich anschnallen.,"When landing, you have to buckle up."
"die Landwirtschaft, -en",agriculture,Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.,"In rural areas, most people work in agriculture."
lang,long,Der Teppich ist 3 m lang und 2 m breit.,The carpet is 3 m long and 2 m wide.
"die Länge, -n",length,"Mein Schreibtisch hat die Maße: Länge: 1.20 m, Breite: 0,85 m, Höhe: 0,75 m.","My desk has the dimensions: Length: 1.20 m, width: 0.85 m, height: 0.75 m."
lang(e),long,Wie lange dauert die Fahrt von Hamburg nach Berlin?,How long does it take to travel from Hamburg to Berlin?
längst,long (time) ago,Wann reparierst du die Heizung? - Die habe ich schon längst repariert.,When do you fix the heating? - I have already repaired that.
langsam,slow,Könnten Sie bitte etwas langsamer sprechen?,Could you please speak a little slower please?
langweilig,boring,Der Film war sehr langweilig.,The movie was very boring.
der Lärm (Sg.),noise,Die Flugzeuge machen einen schrecklichen Lärm.,The planes make a terrible noise.
"lassen, lässt, ließ, hat gelassen","to leave, allow, stop, have something done",Ich habe mein Gepäck am Bahnhof gelassen.,I left my luggage at the station.
"der Laster, -","lorry, truck",Auf der Autobahn waren so viele Laster. Deshalb hat es so lange gedauert.,There were so many trucks on the highway. That's why it took so long.
"laufen, läuft, lief, ist gelaufen",to run,"Ich bin gestern 100 m in 10,4 Sekunden gelaufen.",Yesterday I ran 100m in 10.4 seconds.
"das Laufwerk, -e","(computer) drive, running gear",Für meinen Computer habe ich mir ein neues Laufwerk gekauft.,I bought a new drive for my computer.
"die Laune, -n",mood,"Heute geht es mir besser, aber gestern hatte ich richtig schlechte Laune.","I'm feeling better today, but yesterday I was in a really bad mood."
laut,loud,Lass uns gehen. Hier ist es mir zu laut.,Let's go. Here it is too loud for me.
"der Lautsprecher, -",loud speaker,Bitte achten Sie auch auf die Lautsprecher- Ansagen am Bahnhof.,Please also pay attention to the loudspeaker announcements at the station.
"leben, lebt, lebte, hat gelebt",to live,Leben Ihre Großeltern noch?,Are your grandparents still alive?
"das Leben, -",life,Ich habe mich an das Leben in Deutschland gewöhnt.,I got used to life in Germany.
"der Lebenslauf, -""e","curriculum vitae, CV",Ich soll beim Arbeitsamt meinen Lebenslauf abgeben.,I am to submit my CV to the employment office.
die Lebensmittel (Pl.),food,Lebensmittel werden immer teurer.,Food is becoming more and more expensive.
"das Leder, -",leather,Ist die Tasche aus Leder?,Is the bag made of leather?
ledig,single,Wie ist Ihr Familienstand? - Ledig.,What is your marital status? - Single.
leer,empty,Das Restaurant war fast leer.,The restaurant was almost empty.
"legen, legt, legte, hat gelegt","to lay, put, place, lie down",Ich habe Ihnen die Briefe auf den Schreibtisch gelegt.,I put the letters on your desk.
"die Lehre, -n",apprenticeship,Mein Cousin will eine dreijährige Lehre machen.,My cousin wants to do a three-year apprenticeship.
"der Lehrer, -",teacher,Meine Frau ist Lehrerin.,My wife is a teacher.
"der Lehrling, -e","apprentice, trainee",Als Lehrling verdient man nicht sehr viel Geld.,As an apprentice you do not earn a lot of money.
leicht,light,Der Koffer ist ganz leicht. Ich kann ihn allein tragen.,The suitcase is very light. I can carry him alone.
"leidtun, tut leid, tat leid, hat leidgetan","to hurt, to be sorry",Die Frau tut mir leid.,I am sorry for the woman.
"leiden, leidet, litt, hat gelitten",to suffer,Hans leidet an einer schweren Krankheit.,Hans suffers from a serious illness.
leider,unfortunately,Da kann ich Ihnen leider nicht helfen.,Unfortunately I can not help you with that.
"leihen, leiht, lieh, hat geliehen",to lend,Ich habe mir von meinem Bruder 50 Euro geliehen.,I borrowed 50 euros from my brother.
leise,quiet,Seid leise. Die anderen schlafen schon.,Be quiet. The others are already sleeping.
"leisten, leistet, leistete, hat geleistet","to supply, afford",So ein teures Auto kann ich mir leider nicht leisten.,"Unfortunately, I can not afford such an expensive car."
"die Leistung, -en","performance, achievement",Die Leistungen Ihrer Tochter sind im letzten Schuljahr besser geworden.,Your daughter's achievements improved in the last school year.
"leiten, leitet, leitete, hat geleitet","to lead, manage, direct",Wer leitet den Kurs?,Who leads the course?
"der Leiter, -","leader, head",Wie heißt der Leiter der Schule?,What is the head of the school called?
"die Leitung, -en",management,Ab 15. Juli übernimmt Herr Meier die Leitung der Abteilung.,"From July 15, Mr. Meier will take over the management of the department."
"die Leiter, -n",ladder,Haben Sie eine Leiter für mich? Ich will eine Lampe anschließen.,Do you have a ladder for me? I want to connect a lamp.
"lernen, lernt, lernte, hat gelernt",to learn,Meine Kinder haben sehr gut Deutsch gelernt.,My children have learned German very well.
"lesen, liest, las, hat gelesen",to read,"Ich habe gelesen, dass es ab heute Sonderangebote gibt.",I read that there are special offers starting today.
letzt,last,Was hast du letzte Woche gemacht?,What did you do last week?
die Leute (Pl.),people,Auf der Party waren nur wenige Leute.,There were only a few people at the party.
"das Licht, -er",light,Kannst du bitte Licht machen? Ich kann so nichts sehen.,Can you please turn on the light? I can not see anything like that.
"lieben, liebt, liebte, hat geliebt",to love,Ich liebe meine Familie.,I love my family.
lieb,"dear, sweet, nice",Liebe Frau Meier!,Dear Mrs. Meier!
"die Liebe, -n",love,Wir haben aus Liebe geheiratet.,We got married for love.
Lieblings-,favourite-,"z. B. Lieblingsfarbe, Lieblingsfilm, Lieblingsessen","z. Favorite color, favorite movie, favorite food"
"das Lied, -er",song,Zu deinem Geburtstag singen wir dir ein Lied.,For your birthday we sing you a song.
"liefern, liefert, lieferte, hat geliefert",to deliver,Wir liefern Ihnen das Regal direkt ins Haus.,We deliver the shelf directly to the house.
"die Lieferung, -en",delivery,Sie bezahlen erst bei Lieferung.,You pay only on delivery.
"liegen, liegt, lag, hat gelegen / ist gelegen",to lie (place/ location),Der Brief liegt schon auf Ihrem Schreibtisch.,The letter is already on your desk.
"der Lift, -e",lift,Im Büro ist leider der Lift kaputt.,"In the office, unfortunately, the lift is broken."
"die Limonade, -n",lemonade,Die Limonade ist sehr süß.,The lemonade is very sweet.
"die Linie, -n",line,Zum Hauptbahnhof können Sie mit der Linie 8 fahren.,You can take the number 8 train to the main train station.
links,left,An der Kreuzung müssen Sie nach links abbiegen.,At the crossroads you have to turn left.
link-,left,Er hat sich das linke Bein gebrochen.,He broke his left leg.
"die Lippe, -n",lip,Es ist sehr kalt. Meine Lippen sind ganz trocken.,It is very cold. My lips are completely dry.
"die Liste, -n",list,Was brauchen wir für die Party? - Mach doch eine Einkaufsliste.,What do we need for the party? - Make a grocery list.
"der LKW, -s (Lastkraftwagen)",truck (short for der Lastkraftwagen),Mein Mann ist LKW- Fahrer.,My husband is a truck driver.
"loben, lobt, lobte, hat gelobt",to praise,Ich habe alle Hausaufgaben gemacht. Der Lehrer hat mich heute gelobt.,I did all the homework. The teacher has praised me today.
"das Loch, -""er",hole,Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt.,I have a hole in the tooth. I have to go to the dentist.
locker,"loose, relaxed",Lassen Sie bitte die Arme ganz locker und atmen Sie tief ein.,Please keep your arms relaxed and take a deep breath.
"der Löffel, -",spoon,"Bitte, bringen Sie mir einen Löffel.","Please, bring me a spoon."
"der Lohn, -""e",salary,Wie hoch ist Ihr Lohn?,What is your salary?
"sich lohnen, lohnt sich, lohnte sich, hat sich gelohnt","be worth it, to be profitable",Für drei Tage zu meinen Eltern fahren lohnt sich nicht. Es ist zu weit.,It's not worth to drive to my parents for three days. It's too far.
"das Lokal, -e",pub,Gibt es hier in der Nähe ein gemütliches Lokal?,Is there a cozy restaurant nearby?
los,"go on, the matter",Los! Beeilt euch!,Come on! Hurry up!
"losfahren, fährt los, fuhr los, ist losgefahren",to leave,Wir fahren um 8 Uhr los. Sei bitte pünktlich.,We leave at 8 o'clock. Please be on time.
"löschen, löscht, löschte, hat gelöscht","to put out, erase, cancel",Du kannst die Datei löschen. Ich brauche sie nicht mehr.,You can delete the file. I do not need you anymore.
"lösen, löst, löste, hat gelöst",to solve,Wir müssen dieses Problem lösen.,We have to solve this problem.
"die Lösung, -en",solution,Wir fahren alle zusammen mit dem Zug. Das ist die beste Lösung.,We all travel together by train. This is the best solution.
"die Luft, -""e",air,Die Seeluft tut mir gut.,The sea air is good for me.
"lügen, lügt, log, hat gelogen",to lie,Du sollst nicht lügen.,You should not lie.
"die Lüge, -n",lie,Das ist eine Lüge!,That's a lie!
"die Lust, -""e",desire,Hast du Lust auf einen Tee?,Do you want a tea?
lustig,funny,Ich habe einen lustigen Film gesehen.,I saw a funny movie
"machen, macht, machte, hat gemacht","to make, do",Was machst du am Wochenende?,What are you doing this weekend?
"das Mädchen, -",girl,Wir haben zwei Mädchen und einen Jungen.,We have two girls and a boy.
"der Magen, -""",stomach,Mit tut der Magen weh. Ich habe Magenschmerzen.,My stomach hurts. I have a stomachache.
mager,lean,Bitte 1 kg mageres Fleisch.,Please 1 kg of lean meat.
"die Mahlzeit, -en",meal,Die Tropfen bitte immer nach den Mahlzeiten einnehmen.,Always take the drops after meals.
"die Mahnung, -en","warning, reminder","Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.","If you do not pay the bill on time, you will receive a reminder."
"der Makler, -",estate agents,Wir haben unsere Wohnung über einen Makler bekommen.,We got our apartment through a broker.
mal,"times, once",Sehen wir uns mal wieder?,Do we see each other once again?
"das Mal, -e",time,Das machen wir nächstes Mal.,We'll do that next time.
"malen, malt, malte, hat gemalt",to draw,Das Bild hat mein Vater gemalt.,The picture was painted by my father.
"der Maler, -",painter,Wir haben die Maler im Haus. - Wir lassen die Wände neu streichen.,We have the painters in the house. - We have the walls repainted.
"die Mama, -s",mum,"Mama hat gesagt, dass ich um 18 Uhr zu Hause sein muss.",Mom said that I have to be home by 6pm.
man,one,Wie schreibt man das?,How do you write this?
manch-,some,Manche Nachbarn sind unfreundlich.,Some neighbors are rude.
manchmal,sometimes,Manchmal gehe ich mit meiner Frau ins Café.,Sometimes I go to the cafe with my wife.
"der Mann, -""er",man,In unserer Firma arbeiten fast nur Männer.,Almost only men work in our company.
männlich,male,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,"Please tick: ""female"" or ""male""."
"die Mannschaft, -en",team,Unsere Mannschaft hat 0 zu 1 verloren.,Our team lost 0 to 1.
"der Mantel, -""","coat, jacket",Es ist sehr kalt. Zieh deinen Mantel an.,It is very cold. Put on your coat.
"das Märchen, -",fairytale,Meine Großmutter hat uns viele Märchen erzählt.,My grandmother told us many fairytales.
"die Margarine, -n",margarine,Meine Frau isst nur Margarine und keine Butter.,My wife only eats margarine and no butter.
"die Marke, -n","mark, brand, stamp",Ich habe meine Garderobenmarke verloren.,I lost my wardrobe brand.
"markieren, markiert, markierte, hat markiert",to mark,Hier ist unser Hotel. Ich markiere Ihnen auf dem Plan den Weg zum Bahnhof.,Here is our hotel. I mark the way to the station on the plan.
"der Markt, -""e",market,Ich gehe heute auf den Markt.,I go to the market today.
"die Marmelade, -n",jam,Bring bitte noch ein Glas Marmelade mit.,Please bring a jar of jam with you.
"die Maschine, -n",machine,Ich habe eine neue Kaffeemaschine.,I have a new coffee machine.
"die Maßnahme, -n",measure,Die Agentur für Arbeit fördert Maßnahmen für Arbeitslose.,The Employment Agency promotes measures for the unemployed.
"das Material, -ein",material,Aus welchem Material ist der Schrank? - Aus Holz.,What material is the cabinet made of? - Wooden.
die Mathematik (Sg.),mathematics,Mein Neffe ist in Mathematik sehr gut.,My nephew is very good at math.
"die Mauer, -n",wall,Die Kinder sind über die Mauer geklettert.,The children have climbed over the wall.
"die Maus, -""e",mouse,Du klickst einfach mit der Maus auf das Symbol.,You simply click on the symbol with the mouse.
maximal,maximum,Wie lange braucht ein Brief? - Maximal zwei Tage.,How long does a letter take? - Maximum two days.
"der Mechaniker, -",mechanic,Das kann nur ein Mechaniker reparieren.,Only a mechanic can fix that.
"das Medikament, -e",medicine,Dieses Medikament gibt es nur auf Rezept.,This drug is only available by prescription.
die Medizin (Sg.),medicine,Mein Sohn will Medizin studieren.,My son wants to study medicine.
"das Meer, -e",sea,Wir machen immer Urlaub am Meer.,We always go on vacation by the sea.
"das Mehl, -e",flour,Ich möchte einen Kuchen backen. Ist noch genug Mehl da?,I want to bake a cake. Is there enough flour left?
mehrere,several,Ich habe mehrere Leute gefragt. Aber niemand konnte mir helfen.,I asked several people. But nobody could help me.
"die Mehrheit, -en",majority,Die Mehrheit der Menschen in Deutschland besitzt ein Handy.,The majority of people in Germany own a cell phone.
die Mehrwertsteuer (Sg.),"value added tax, VAT",Zwei Wochen am Meer kosten 1.300 Euro plus Mehrwertsteuer.,"Two weeks by the sea cost 1,300 euros plus VAT."
"meinen, meint, meinte, hat gemeint","to mean, think",Dieser Film ist gut. Was meinst du?,This movie is good. What do you think?
"die Meinung, -en",opnion,"Ich bin der Meinung, dass du recht hast.",I think you are right.
meinetwegen,"on my account, as far as I'm concerned",Meinetwegen kannst du heute das Auto haben.,"All right, you can have the car today."
"meist-, die meisten",most,Wie gut kannst du Deutsch? - Das meiste verstehe ich.,How good is your german? - I understand most of it.
meistens (meist),mostly,Meistens trinke ich zum Frühstück nur einen Kaffee.,Mostly I only drink a coffee for breakfast.
"der Meister, -","master, champion","Ich weiß nicht, wie man das macht. - Dann frag doch den Meister.",I do not know how to do that. - Then ask the master.
"melden, meldet, meldete, hat gemeldet","to report, register, put one's hand up, volunteer",Ich habe schon zweimal angerufen. - Aber es meldet sich niemand.,I have already called twice. - But nobody answers.
"die Meldung, -en","announcement, report",Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.,Did you hear the message on the radio? There will be a strong storm.
"die Menge, -n","quantity, lot (of)","Diesen Preis gibt es nur, wenn Sie große Mengen kaufen.",This price is only available if you buy large quantities.
"der Mensch, -en","human being, person",Die Menschen sind hier ein bisschen anders als im Süden.,People are a bit different here than in the south.
menschlich,"human, humane",Fehler zu machen ist menschlich.,Making mistakes is human.
"merken, merkt, merkte, hat gemerkt",to notice,"Ich habe nicht gemerkt, dass es schon so spät ist. Ich muss gehen.",I did not realize it was so late. I have to go.
merkwürdig,odd,Das ist eine merkwürdige Geschichte.,That's a strange story.
"die Messe, -n","fair, show",Kommst du mit zur Automobilmesse?,Are you coming to the auto show?
"messen, misst, maß, hat gemessen",to measure,Haben Sie schon Fieber gemessen?,Have you already measured fever?
"das Messer, -",knife,Das Messer schneidet nicht gut.,The knife does not cut well.
"das Metall, -e",metal,Dieser Tisch hier ist ganz aus Metall.,This table here is made entirely of metal.
"die Methode, -n",method,"Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?",Do you know a good way to learn German quickly?
"die Metzgerei, -en",butcher's shop,Diese Metzgerei hat sehr gute Wurst.,This butcher has very good sausage.
"mieten, mietet, mietete, hat gemietet",to rent,Wir haben die Wohnung für drei Jahre gemietet.,We rented the apartment for three years.
"die Miete, -n","rental fee, rent",Unsere Miete ist sehr hoch.,Our rent is very high.
"der Mieter, -",tenant,Jeder Mieter muss zwei Monatsmieten als Kaution bezahlen.,Each renter has to pay two months rent as a deposit.
"der Migrant, -en",migrant,Viele Migranten kommen aus Osteuropa.,Many migrants come from Eastern Europe.
"die Migration, -en",migration,Der Verein berät zum Thema Migration.,The association advises on migration.
"der Migrationshintergrund, -""e",immigrant background,Dieser Kurs ist für Menschen mit Migrationshintergrund.,This course is for people with a migration background.
die Milch (Sg.),milk,Stellst du bitte die Milch in den Kühlschrank?,Will you please put the milk in the fridge?
mild,mild,"Möchten Sie die Soße scharf? - Nein, bitte ganz mild.","Would you like the sauce spicy? - No, please be very gentle."
"die Minderheit, -en",minority,Frauen sind in unserer Firma in der Minderheit.,Women are in the minority in our company.
mindestens,at least,Ein guter Fernsehapparat kostet mindestens 1000 Euro.,A good TV costs at least 1000 euros.
"das Mineralwasser, """,mineral water,Kann ich bitte ein Mineralwasser haben?,"Can I have a mineral water, please?"
"mischen, mischt, mischte, hat gemischt",to mix,Ich möchte ein gemischtes Eis mit Sahne.,I want a mixed ice cream with cream.
"missverstehen, missversteht, missverstand, hat missverstanden",misunderstand,Sie haben mich missverstanden.,You have misunderstood me.
"das Missverständnis, -se",misunderstanding,Das ist ein Missverständnis. Das habe ich nicht gesagt.,This is a misunderstanding. I did not say that.
mit,with,Ich gehe heute Abend mit Maria aus.,I'm going out with Maria tonight.
"der Mitarbeiter, -",employee,Unsere Firma hat sieben Mitarbeiter.,Our company has seven employees.
miteinander,"together, with one another",Sprechen Sie bitte miteinander.,Please talk to each other.
"das Mitglied, -er",member,Sind Sie Mitglied in unserem Verein?,Are you a member of our association?
"die Mitte, -n",middle,Wo möchten Sie sitzen? - In der Mitte.,Where would you like to sit? - In the middle.
"mitteilen, teilt mit, teilte mit, hat mitgeteilt",to take part,Den Prüfungstermin teilen wir Ihnen noch mit.,We will inform you about the exam date.
"das Mittel, -","medium, remedy",Haben Sie ein Mittel gegen Magenschmerzen?,Do you have a remedy for stomach ache?
mitten,in the middle of,Wir haben eine Wohnung mitten in der Stadt.,We have an apartment in the middle of the city.
mittler-,middle,In den mittleren Reihen sind noch Plätze frei.,There are still places available in the middle rows.
"die Möbel, -",furniture,Wir haben uns neue Möbel gekauft.,We bought new furniture.
möbliert,furnished,Ich suche ein möbliertes Zimmer.,I'm looking for a furnished room.
"das Mobiltelefon, -e",mobile telephone,Wir können Ihnen einen günstigen Vertrag für Ihr Mobiltelefon anbieten.,We can offer you a cheap contract for your mobile phone.
"die Mode, -n",fashion,Wie findest du die neue Mode?,How do you like the new fashion?
"das Modell, -e",model,Wie findest du dieses Auto? - Dieses Modell gefällt mir nicht.,What do you think of this car? - I do not like this model.
modern,modern,Die Wohnung ist modern eingerichtet.,The apartment is modern furnished.
"mögen, mag, mochte, hat gemocht",to like,Ich mag keinen Reis.,I do not like rice.
möglich,possible,Kann ich bitte sofort einen Termin haben? - Das ist leider nicht möglich.,Can I have an appointment now? - Unfortunately that is not possible.
"die Möglichkeit, -en",possibility,Sie wollen ans Meer? Da gibt es mehrere Möglichkeiten.,You want to go to the sea? There are different possibilities.
möglichst,as...as possible,"Sagen Sie mir bitte möglichst bald, ob Ihnen der Termin passt.","Please let me know as soon as possible, if the appointment will suit you."
"der Moment, -e",moment,Warten Sie bitte einen Moment.,Please wait a moment.
"der Mond, -e",moon,Bei Vollmond kann ich nicht schlafen.,I can not sleep at full moon.
"der Monitor, -e",monitor,Ich habe mir einen größeren Monitor gekauft. Der ist besser für meine Augen.,I bought a bigger monitor. He is better for my eyes.
"der Motor, -en",motor,Der Motor ist kaputt. Das Auto fährt nicht mehr.,The engine is broken. The car is not driving anymore.
"das Motorrad, -""er",motorbike,Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.,Oskar drives his motorcycle to work every day.
müde,tired,Ich bin müde. Ich gehe schlafen.,I am tired. I'm going to sleep.
"die Mühe, -n",effort,Vielen Dank für Ihre Mühe.,Thank you very much for your effort.
der Müll (Sg.),"rubbish, trash",Wirf doch bitte die Dosen in den Müll!,Please throw the cans in the trash!
"die Müllabfuhr, -en","garbage/ rubbish collection, collectors",Wann kommt die Müllabfuhr?,When will the garbage collection arrive?
"der Mülleimer, -","trashcan, waste basket",Wirf das bitte in den Mülleimer!,Please throw that in the bin!
"die Mülltonne, -n",dustbin,Die Mülltonne ist voll.,The garbage bin is full.
der Sperrmüll (Sg.),bulky waste,Das alte Sofa muss auf den Sperrmüll.,The old sofa has to go to the rubbish bin.
"der Mund, -""er",mouth,Sie haben Halsschmerzen? Bitte machen Sie mal den Mund auf.,You have a sore throat? Please open your mouth.
mündlich,oral,Die mündliche Prüfung ist erst nächste Woche.,The oral exam is not until next week.
"die Münze, -n",coin,Der Automat nimmt nur Münzen.,The machine only takes coins.
"das Museum, die Museen",museum,Wir waren mit unserer Klasse im Museum.,We were in the museum with our class.
"die Musik, -en",music,Wie findest du die Musik?,Do you like the music?
"der Musiker, -",muscician,Mein Bruder möchte Musiker werden.,My brother wants to become a musician.
"der Muskel, -n",muscle,Im Fitness- Studio trainieren wir unsere Muskeln.,"In the gym, we train our muscles."
"müssen, muss, musste, hat gemusst/…",to have to,Wie lange müssen Sie arbeiten?,How long do you have to work?
der Mut (Sg.),courage,"Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen.",It takes a lot of courage to start a new life in a foreign country.
mutig,brave,"Es war sehr mutig von dir, deine Meinung laut zu sagen.",It was very brave of you to speak out loud.
"die Mutter, -""",mother,Meine Mutter heißt Klara.,My mother's name is Klara.
nach,"to, after, according to",Ich fahre morgen nach Hamburg.,I'm going to Hamburg tomorrow.
"der Nachbar, -n",neighbours,Unsere neuen Nachbarn sind sehr nett.,Our new neighbors are very nice.
nachdem,after,"Nachdem wir gegessen hatten, sind wir spazieren gegangen.","After we had eaten, we went for a walk."
"nachdenken, denkt nach, dachte nach, hat nachgedacht",to reflect,"Ich weiß nicht, was ich machen soll. - Ich muss nachdenken.",I do not know what to do. - I have to think.
nachher,later,Ich rufe nachher noch mal an.,I'll call you later.
"nachholen, holt nach, holte nach, hat nachgeholt",catch up,Ich möchte gerne meine Familie nach Deutschland nachholen.,I would like to bring my family to Germany.
"die Nachricht, -en",news,Ich habe eine gute Nachricht für Sie. - Sie haben die Prüfung bestanden.,I have good news for you. - You passed the exam.
"nachschlagen, schlägt nach, schlug nach, hat nachgeschlagen",to look up,Ich kenne das Wort nicht. Das musst du im Wörterbuch nachschlagen.,I do not know the word. You have to look up that in the dictionary.
"die Nachspeise, -n",dessert,Was möchten Sie als Nachspeise?,What do you want as a dessert?
"der Nachteil, -e",disadvantage,Einen Nachteil hat die Wohnung. Sie liegt nicht zentral.,A disadvantage has the apartment. It is not central.
"der Nachtisch, -e",dessert,Was gibt es zum Nachtisch?,What is there for dessert?
"die Nadel, -n",needle,Hast du eine Nadel für mich? - Ich muss einen Knopf annähen.,Do you have a needle for me? - I have to sew a button.
