german_word,english_translation,german_sentence,english_sentence
"der Beamte, -n",official,Mein Mann ist Beamter.,My husband is a civil servant.
"beantragen, beantragt, beantragte, hat beantragt","to apply for, ask for",Hast du schon einen neuen Pass beantragt?,Did you already apply for a new passport?
"beantworten, beantwortet, beantwortete, hat beantwortet",to answer (a thing),Sie haben meine Frage leider nicht beantwortet.,"Unfortunately, you have not answered my question."
"sich bedanken, bedankt, bedankte, hat bedankt",to thank,Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.,I would like to thank you once again for your help.
"bedeuten, bedeutet, bedeutete, hat bedeutet",to mean,Was bedeutet dieses Wort?,What does that word mean?
"bedienen, bedient, bediente, hat bedient",to serve,Werden Sie schon bedient?,Are you already served?
"die Bedienungsanleitung, -en",operating instructions,Die Bedienungsanleitung verstehe ich nicht.,I do not understand the manual.
"die Bedingung, -en","conditions, terms","Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen.","If you accept our terms, we can make a contract."
"sich beeilen, beeilt sich, beeilte sich, hat sich beeilt",to hurry,Wir müssen uns beeilen. Sonst verpassen wir den Zug.,We are in a hurry. Otherwise we miss the train.
"beenden, beendet, beendete, hat beendet",to finish,Du musst deine Ausbildung auf jeden Fall beenden.,You definitely have to finish your education.
"sich befinden, befindet sich, befand sich, hat sich befunden",to be located,Das Bord-Bistro befindet sich in der Mitte des Zuges.,The on-board bistro is located in the middle of the train.
befreit,"free from, excepted from",Schüler und Studenten sind von den Rundfunk-Gebühren befreit.,Students and students are exempt from the broadcasting fees.
befriedigend,satisfying,Das Ergebnis ist befriedigend.,The result is satisfactory.
"begegnen, begegnet, begegnete, ist begegnet",to encounter,Sind wir uns nicht schon mal irgendwann begegnet?,Have not we met sometime before?
begeistert,excited,Es war ein tolles Konzert. Ich bin begeistert.,It was a great concert. I'm excited.
"beginnen, beginnt, begann, hat begonnen",begin,In zwei Wochen beginnen die Sommerferien.,In two weeks the summer holidays begin.
der Beginn (Sg.),beginning,Tut mir leid. Nach Beginn der Vorstellung können wie Sie nicht mehr hereinlassen.,I'm sorry. After the start of the performance you can not let in like you.
"begleiten, begleitet, begleitete, hat begleitet",to accompany,Ich begleite dich ein Stück.,I accompany you a bit.
begrenzt,"limited to, restricted to",Die Teilnehmerzahl ist auf zwölf begrenzt.,The number of participants is limited to twelve.
"begründen, begründet, begründete, hat begründet",to justify,Bitte begründen Sie Ihren Antrag.,Please explain your application.
"die Begründung, -en","reason, justification",Der Hausbesitzer hat mir ohne Begründung gekündigt.,The homeowner has terminated without explanation.
"begrüßen, begrüßt, begrüßte, hat begrüßt",to greet,"Ich glaube, ich habe Sie noch gar nicht begrüßt.",I think I have not welcomed you yet.
"behalten, behält, behielt, hat behalten",to keep,Darf ich den Prospekt behalten?,May I keep the prospectus?
"behandeln, behandelt, behandelte, hat behandelt",to treat,Welcher Arzt hat Sie bis jetzt behandelt?,Which doctor has treated you so far?
"behindern, behindert, behinderte, hat behindert, behindert sein",to block,"Bitte parken Sie so, dass Sie niemanden behindern.",Please park so that you do not hinder anyone.
"die Behörde, -n",authorities,Sie erhalten ein Schreiben von der Ausländerbehörde.,You will receive a letter from the immigration office.
bei,"near, at, on",Potsdam liegt bei Berlin.,Potsdam is located near Berlin.
beid-,both,Beide waren mit meinem Vorschlag einverstanden.,Both agreed with my proposal.
"das Bein, -e",leg,Andreas hat sich das Bein gebrochen.,Andreas broke his leg.
beinahe,"almost, nearly",Ich habe heute beinahe den Bus verpasst.,I almost missed the bus today.
"das Beispiel, -e",example,Können Sie mir ein Beispiel sagen?,Can you give me an example?
zum Beispiel,for example,"Mein Freund hat viele Hobbys wie zum Beispiel Kochen, Tanzen, Fußballspielen.","My friend has many hobbies such as cooking, dancing, playing football."
"der Beitrag, -""e","contribution, fee, subscription, premium",Die Krankenkasse hat die Beiträge erhöht.,The health insurance has increased the contributions.
bekannt,"well-known, famous",Ein Großonkel von mir ist ein bekannter Politiker.,A great-uncle of mine is a well-known politician.
"der Bekannte, -n","acquaintance, known person",In Hannover wohnen Bekannte von mir.,"In Hanover, acquaintances of mine live."
"bekannt geben, gibt bekannt, gab bekannt, hat bekannt gegeben",to announce publicly,Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.,We will announce the place of examination in good time.
"bekommen, bekommt, bekam, hat bekommen","to receive, get",Haben Sie meinen Brief bekommen?,Did you receive my letter?
"der Beleg, -e","receipt, documentary evidence",Brauchen Sie einen Beleg?,Do you need a receipt?
"beleidigen, beleidigt, beleidigte, hat beleidigt",to insult,Ich wollte Sie nicht beleidigen.,I did not mean to offend you.
beliebt,"loved, liked a lot",Dieses Spiel ist bei Jugendlichen sehr beliebt.,This game is very popular with teenagers.
"bemerken, bemerkt, bemerkte, hat bemerkt",to notice,Ich habe von dem Einbruch gar nichts bemerkt.,I did not notice anything about the break-in.
"benötigen, benötigt, benötigte, hat benötigt",to require,"Sagen Sie Bescheid, wenn Sie noch etwas benötigen.",Let me know if you need anything else.
"benutzen, benutzt, benutzte, hat benutzt",to use,Benutzen Sie bitte die öffentlichen Verkehrsmittel.,Please use public transport.
das Benzin (Sg.),"petrol (uk), gas (us)",Das Benzin soll wieder teurer werden.,The gasoline should be more expensive again.
"beobachten, beobachtet, beobachtete, hat beobachtet",to observe,Wer hat den Unfall beobachtet?,Who watched the accident?
bequem,comfortable,Meine Kinder ziehen am liebsten bequeme Sachen an.,My children prefer to wear comfortable clothes.
"beraten, berät, beriet, hat beraten",to advise,Sie sollten sich von einem Fachmann beraten lassen.,You should seek advice from a specialist.
"die Beratung, -en","advice, consultation",Kommen Sie einfach am Mittwoch in die Beratung.,Just come on Wednesday in the consultation.
"berechnen, berechnet, berechnete, hat berechnet",to calculate,Den Transport müssen wir Ihnen extra berechnen.,The transport we have to charge extra.
berechtigt,entitled,"Sie sind berechtigt, Wohngeld zu beantragen.",You are entitled to apply for housing benefit.
"der Bereich, -e",area,In welchem Bereich möchten Sie arbeiten?,In which area would you like to work?
bereit,ready,"Ich bin nicht bereit, noch mehr Überstunden zu machen.",I'm not ready to do any more overtime.
bereits,already,Haben Sie die Rechnung bereits bezahlt?,Did you already pay the bill?
"der Berg, -e",mountain,Die Zugspitze ist der höchste Berg in Deutschland.,The Zugspitze is the highest mountain in Germany.
"berichten, berichtet, berichtete, hat berichtet",to report,Alle Zeitungen haben über den Unfall berichtet.,All newspapers have reported on the accident.
"der Bericht, -e",report,Ich habe gestern einen interessanten Bericht gelesen.,Yesterday I read an interesting report.
"der Beruf, -e",profession,Was sind Sie von Beruf?,What's your occupation?
beruflich,professional/ vocational,Was machen Sie beruflich?,What do you do for a living?
berufstätig,employed,Sind Sie berufstätig?,Are you working?
"beruhigen, beruhigt, beruhigte, hat beruhigt",to calm down,Beruhigen Sie sich bitte. Es ist alles in Ordnung.,Calm down please. It's all right.
berühmt,famous,Michael Schumacher war ein berühmter Rennfahrer.,Michael Schumacher was a famous racing driver.
"beschädigen, beschädigt, beschädigte, hat beschädigt",to damage,"Bitte machen Sie eine Liste darüber, was die Einbrecher beschädigt haben.",Please make a list of what the burglars have damaged.
"beschäftigen, beschäftigt, beschäftigte, hat beschäftigt",employ,Womit haben Sie sich bei Ihrer Arbeit beschäftigt?,What did you do with your work?
"die Beschäftigung, -en","employment, occupation","Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe.",I am looking for a part-time job because I have a little child.
"der Bescheid, -e","information, directions",Den endgültigen Bescheid erhalten Sie in etwa vier Wochen.,You will receive the final decision in about four weeks.
Bescheid sagen,to let someone know (tell someone),Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.,I inquire about the dates and then let you know.
Bescheid geben,to let someone know (give someone information),Kannst du mir bis morgen Bescheid geben?,Can you let me know until tomorrow?
"die Bescheinigung, -en",certificate,Für den Kurs bekommen Sie eine Teilnahmebescheinigung.,You will receive a certificate of attendance for the course.
"beschließen, beschließt, beschloss, hat beschlossen",to decide on,"Wir haben beschlossen, uns ein kleineres Auto zu kaufen.",We decided to buy a smaller car.
"beschränken, beschränkt, beschränkte, hat beschränkt","to limit, restrict",Bitte beschränken Sie Ihren Wasserverbrauch auf das Nötigste.,Please limit your water consumption to the essentials.
"beschreiben, beschreibt, beschrieb, hat beschrieben","to describe, write on",Kannst du mir den Weg zum Flughafen beschreiben?,Can you describe the way to the airport for me?
"die Beschreibung, -en",description,Eine Beschreibung des Geräts liegt bei.,A description of the device is included.
"sich beschweren, beschwert sich, beschwerte sich, hat sich beschwert",to complain,Wo können wir uns beschweren?,Where can we complain?
"besetzen, besetzt, besetzte, hat besetzt",to occupy,Dieser Platz ist besetzt.,This place is occupied.
"besichtigen, besichtigt, besichtigte, hat besichtigt",to view something,Im Urlaub haben wir Schloss Schönbrunn besichtigt.,On vacation we visited Schloss Schönbrunn.
"besitzen, besitzt, besaß, hat besessen",to own,Besitzt Ihre Frau ein eigenes Auto?,Does your wife own a car?
besonder-,special,Meine Eltern wollten uns mit dieser Reise eine ganz besondere Freude machen.,My parents wanted to give us a very special pleasure with this trip.
besonders,particularly,Ich habe heute ein besonders günstiges Angebot gesehen.,Today I have seen a particularly favorable offer.
"besorgen, besorgt, besorgte, hat besorgt","to acquire, purchase, deal with, take care of",Soll ich die Eintrittskarten besorgen?,Should I get the tickets?
"besprechen, bespricht, besprach, hat besprochen",discuss,"Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen.",We still have to discuss exactly when to leave and what to take.
"die Besprechung, -en","meeting, discussion","Tut mir leid, Herr Schmidt ist noch in einer Besprechung.","I'm sorry, Mr Schmidt is still in a meeting."
die Besserung (Sg.),recovery,Gute Besserung!,Get well!
"bestätigen, bestätigt, bestätigte, hat bestätigt",to confirm,Lassen Sie sich den Termin schriftlich bestätigen.,Let us confirm the appointment in writing.
"die Bestätigung, -en",confirmation,Ich brauche eine schriftliche Bestätigung für das Amt.,I need a written confirmation for the office.
"bestellen, bestellt, bestellte, hat bestellt",to order,Wir haben Pizza bestellt.,We ordered pizza.
bestimmt,"certain, definite",Das hat Nancy bestimmt nicht so gemeint.,Nancy certainly did not mean it that way.
"bestrafen, bestraft, bestrafte, hat bestraft",to punish,Zu schnelles Fahren wird streng bestraft.,Too fast driving is severely punished.
"besuchen, besucht, besuchte, hat besucht",to visit,Besuchen Sie uns doch mal.,Come visit us.
"der Besuch, -e",visit,Wir bekommen Besuch.,We have visitors.
"sich beteiligen, beteiligt sich, beteiligte sich, hat sich beteiligt","to take part, participate",Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?,We want to buy a present for our teacher. Who wants to participate?
"der Betrag, -""e","amount, sum",Bitte überweisen Sie den Betrag auf unser Konto.,Please transfer the amount to our account.
"betreuen, betreut, betreute, hat betreut",to look after,Wer betreut bei Ihnen die Kinder?,Who cares for your children?
die Betreuung (Sg.),care,Für Mütter bieten wir Kurse mit Kinderbetreuung an.,For mothers we offer courses with childcare.
"der Betrieb, -e","firm, concern, plant, operation",In diesem Betrieb arbeiten zehn Leute.,There are ten people working in this business.
"der Betriebsrat, -""e",workers' council,Gibt es in Ihrer Firma einen Betriebsrat?,Is there a works council in your company?
"betrügen, betrügt, betrog, hat betrogen",cheat,"Frau Keller glaubt, dass ihr Mann sie betrügt.",Ms. Keller believes her husband is cheating on her.
"das Bett, -en",bed,Wir wollten uns neue Betten kaufen.,We wanted to buy new beds.
betrunken,drunk,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.","If you drive drunk, you lose your driver's license."
"die Bevölkerung, -en",population,Die Polizei bittet die Bevölkerung um Mithilfe.,The police asks the population for help.
bevor,before,"Lesen Sie sich alles genau durch, bevor Sie unterschreiben.",Read everything carefully before signing.
"bewegen, bewegt, bewegte, hat bewegt",to move,Ich kann mich vor Schmerzen kaum noch bewegen.,I can barely move in pain.
"die Bewegung, -en",movement,Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.,They need more exercise. You have to go for a walk regularly.
"beweisen, beweist, bewies, hat bewiesen",to prove,"Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind.",We can prove that you drove in red over the traffic lights.
"der Beweis, -e",proof,Haben Sie dafür Beweise?,Do you have proof for that?
"sich bewerben, bewirbt sich, bewarb sich, hat sich beworben",to apply for,Ich habe mich um diese Stelle beworben.,I applied for this job.
"die Bewerbung, -en",application,Wohin soll ich meine Bewerbung schicken?,Where should I send my application?
"der Bewohner, -",inhabitant,Ich kenne die anderen Hausbewohner nicht.,I do not know the other house dwellers.
"bezahlen, bezahlt, bezahlte, hat bezahlt",to pay,Hast du die Rechnung schon bezahlt?,Did you pay the bill?
"die Beziehung, -en","connection, relationship",Wir haben gute Beziehungen zu unseren Nachbarn.,We have good relations with our neighbors.
"die Bibliothek, -en",library,Sie finden das Buch in der Bibliothek.,You will find the book in the library.
"das Bier, -e",beer,"Ein Bier, bitte!",A beer please!
"der Biergarten, -""",beer garden,Im Sommer gehen wir sonntags gerne in einen Biergarten.,In summer we like to go to a beer garden on Sundays.
"bieten, bietet, bot, hat geboten",to offer,Er hat mir für den alten Wagen noch 800 Euro geboten.,He offered me 800 euros for the old car.
"das Bild, -er",picture,Hast du das Bild gemalt?,Did you paint the picture?
"der Bildschirm, -e",screen,Ich brauche einen größeren Bildschirm für meinen Computer.,I need a bigger screen for my computer.
billig,cheap,Dieses Buch ist nicht ganz billig.,This book is not cheap.
"biologisch, bio",biological,Biologische Lebensmittel gibt es jetzt auch im Supermarkt.,Organic food is now also available in the supermarket.
"die Birne, -n",pear,Magst du Birnen?,Do you like pears?
bis,until,Die Linie 8 fährt nur bis zum Hauptbahnhof.,Line 8 only goes to the main train station.
ein bisschen,a bit,"Wenn Sie ein bisschen warten, können wir zusammen gehen.","If you wait a bit, we can go together."
"bitten, bittet, bat, hat gebeten",to request,"Darf ich Sie bitten, kurz zuzuhören?",May I ask you to listen for a moment?
"die Bitte, -n",request,Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?,I have a request. Can I use your mobile phone?
bitte,you're welcome,Eine Tasse Kaffee bitte!,"A cup of coffee, please!"
bitter,"bitter, acridly",Hast du Zucker? Der Tee ist sehr bitter.,Do you have sugar? The tea is very bitter.
blass,pale,Du siehst ganz blass aus. Bist du krank?,You look very pale. Are you sick?
"das Blatt, -""er","leaf, sheet",Die Bäume bekommen schon gelbe Blätter.,The trees are already getting yellow leaves.
blau,blue,"Als wir abfuhren, war blauer Himmel.","When we left, there was blue sky."
"bleiben, bleibt, blieb, ist geblieben",to stay,Ich bleibe heute zu Hause.,I stay at home today.
"der Bleistift, -e",pencil,Hast du einen Bleistift für mich?,Do you have a pencil for me?
"der Blick, -e",view,Von hier hat man einen tollen Blick über die Stadt.,From here you have a great view over the city.
"der Blitz, -e",lightning,Was für ein Gewitter. Hast du den Blitz gesehen?,What a storm. Did you see the flash?
blond,blond,Mein Sohn ist blond.,My son is blond.
bloß,"only, merely",Ich möchte nichts kaufen. Ich möchte mich bloß umsehen.,I do not want to buy anything. I just want to look around.
"blühen, blüht, blühte, hat geblüht","to bloom, blossom",Die Bäume blühen schon. Es ist Frühling.,The trees are already blooming. It's spring.
"die Blume, -n",flower,Wir haben meiner Mutter zum Geburtstag Blumen geschenkt.,We gave my mother flowers for my birthday.
"die Bluse, -n",blouse,Ich hätte gerne eine weiße Bluse.,I would like a white blouse.
"bluten, blutet, blutete, hat geblutet",to bleed,Ich habe mich verletzt. Es blutet.,I got injured. It bleeds.
das Blut (Sg.),blood,Der Verletzte hat viel Blut verloren.,The injured person lost a lot of blood.
"der Boden, -""",floor,Die Bücher lagen alle auf dem Boden.,The books were all on the floor.
"der Bogen, -""","curve, arch, bow",Ich hätte gern drei Bögen Geschenkpapier.,I would like three sheets of wrapping paper.
"die Bohne, -n",bean,Ich esse gern Bohnen.,I like to eat beans.
"das Bonbon, -s",sweet,Unser Sohn isst sehr gerne Bonbons.,Our son likes to eat sweets.
"das Boot, -e",boat,An diesem See kann man Boote mieten.,At this lake you can rent boats.
"die Botschaft, -en",embassy,Das Visum habe ich von der Botschaft bekommen.,I got the visa from the embassy.
böse,"bad, evil, angry",Ich habe das Buch leider vergessen. - Hoffentlich bist du mir nicht böse.,"Unfortunately, I forgot the book. - I hope you are not angry with me."
"braten, brät, briet, hat gebraten",to fry,Das Fleisch muss zehn Minuten braten.,The meat has to fry for ten minutes.
"der Braten, -","roast, joint",Nehmen Sie noch etwas Soße zum Braten?,Do you take some sauce for frying?
"brauchen, braucht, brauchte, hat gebraucht",to need,Ich brauche ein Auto.,I need a car.
braun,brown,Meine Frau hat braune Augen.,My wife has brown eyes.
"brechen, bricht, brach, hat gebrochen",to break,Der Bleistift ist durchgebrochen.,The pencil has broken through.
breit,wide,Der Teppich ist zwei Meter lang und einen Meter breit.,The carpet is two meters long and one meter wide.
"die Breite, -n",width,"Welche Maße hat der Tisch? - Länge: 1 m, Breite: 80 cm, Höhe: 1,20 m.","Which dimensions does the table have? - Length: 1 m, width: 80 cm, height: 1.20 m."
"bremsen, bremst, bremste, hat gebremst",to brake,Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.,The man has suddenly crossed the street. I had to brake hard.
"die Bremse, -n",brake,Du musst unbedingt die Bremsen kontrollieren lassen.,You absolutely have to have the brakes checked.
"brennen, brennt, brannte, hat gebrannt",to burn,In diesem Haus hat es letztes Jahr gebrannt.,It burned in this house last year.
"der Brief, -e",letter,Ich schreibe nicht gern Briefe.,I do not like to write letters.
"der Briefkasten, """,letter box,Ist hier in der Nähe ein Briefkasten?,Is there a mailbox nearby?
"die Briefmarke, -n",stamp,Briefmarken bekommen Sie am Schalter 7.,Stamps are available at counter 7.
"der Briefträger, -",postman,War der Briefträger schon da?,Was the postman already there?
"der Briefumschlag, -""e",envelope,Ich hätte gern 50 Briefumschläge.,I would like 50 envelopes.
"die Brille, -n",glasses,Ich brauche eine neue Brille.,I need new glasses.
"bringen, bringt, brachte, hat gebracht",to bring,Bringen Sie mir bitte ein Glas Tee!,"Bring me a glass of tea, please!"
"die Broschüre, -n",brochure,In der Broschüre finden Sie die neuesten Informationen.,The brochure contains the latest information.
"das Brot, -e",bread,"Brot kaufe ich immer beim Bäcker, nicht im Supermarkt.","I always buy bread at the bakery, not in the supermarket."
"das Brötchen, -",bread roll,Ich hole nur schnell ein paar Brötchen zum Frühstück.,I'll just get a few rolls for breakfast.
"die Brücke, -n",bridge,Fahren Sie über die nächste Brücke und dann rechts.,Drive over the next bridge and then right.
"der Bruder, -""",brother,Mein jüngster Bruder geht noch zur Schule.,My youngest brother is still at school.
"die Brust, die Brüste","breast, chest",Ich habe Schmerzen in der Brust.,I have a pain in my chest.
"das Buch, -""er",book,Haben Sie ein Buch über die Geschichte von Berlin?,Do you have a book about the history of Berlin?
"die Buchhandlung, -en",bookshop,In der Buchhandlung in der Stadt haben sie das Buch sicher.,In the bookstore in the city they have the book for sure.
"die Bücherei, -en",library,Die Stadtbücherei hat bereits geschlossen.,The city library has already closed.
"buchen, bucht, buchte, hat gebucht",to book,Ich habe für morgen einen Flug nach Rom gebucht.,I booked a flight to Rome for tomorrow.
"buchstabieren, buchstabiert, buchstabierte, hat buchstabiert",to spell,Würden Sie Ihren Namen bitte buchstabieren?,Would you spell your name please?
"der Buchstabe, -n",letter (of the alphabet),Gibt es diesen Buchstaben auch in deiner Muttersprache?,Is this letter also available in your native language?
bunt,colourful,Das bunte Kleid gefällt mir gut.,I like the colorful dress well.
"der Bürger, -",citizen,"Wenn Sie deutscher Staatsbürger sind, dürfen Sie wählen.","If you are a German citizen, you are allowed to vote."
"das Bürgerbüro, -s",community office,"Wenn Sie Fragen zur Wahl haben, können Sie ins Bürgerbüro gehen.","If you have any questions about the election, you can go to the community office.."
"der Bürgersteig, -e",sidewalk,Hier ist Parken auf dem Bürgersteig erlaubt.,Parking is allowed on the sidewalk.
"das Büro, -s",office,Unser Büro bleibt samstags geschlossen.,Our office is closed on Saturdays.
"die Bürste, -n",brush,Hast du eine Bürste? Meine Schuhe sind so schmutzig.,Do you have a brush? My shoes are so dirty.
"die Zahnbürste, -n",toothbrush,Ich brauche eine neue Zahnbürste.,I need a new toothbrush.
"der Bus, -se",bus,Wann kommt der nächste Bus?,When comes the next bus?
die Butter (Sg.),butter,Ich möchte nur Butter aufs Brot.,I just want butter on the bread.
"das Café, -s",cafe,Hier in der Nähe ist ein Café. Lass uns einen Kaffee trinken.,Nearby is a cafe. Let's have a coffee.
das Camping (Sg.),camping,"Wir machen gern Camping- Urlaub, weil das nicht so teuer ist.",We like camping holidays because it's not that expensive.
"die CD, -s",CD,Ich habe mir eine neue CD gekauft. - Wie findest du die Musik?,I bought a new CD. - How do you like the music?
"die CD-ROM, -s",CD-ROM,Mein Computer hat ein CD-ROM-Laufwerk.,My computer has a CD-ROM drive.
"die Chance, -n",chance,"Mein Mann hat gute Chancen, die Stelle zu bekommen.",My husband has a good chance of getting the job.
chatten,to chat (internet),Meine Kinder chatten gern im Internet mit ihren Freunden.,My kids like to chat on the internet with their friends.
"der Chef, -s","head, boss","Das kann ich nicht allein entscheiden, da muss ich erst den Chef fragen.","I can not decide that alone, because I have to ask the boss first."
die Chemie (Sg.),chemistry,Mein Sohn ist gut in Chemie.,My son is good at chemistry.
circa,approximately,Von Mainz nach Frankfurt sind es circa 50 Kilometer.,From Mainz to Frankfurt it is about 50 kilometers.
"der Club, -s",club,Willst du Mitglied in unserem Club werden?,Do you want to become a member of our club?
"das Cola, -s",cola,"Bitte, zwei Cola und ein Mineralwasser.","Please, two coke and a mineral water."
"die Couch, -s",couch,Wir haben uns eine Couch und neue Sessel gekauft.,We bought a couch and new chairs.
"der Cousin, -s / die Cousine, -n",cousin,Meine Cousine wohnt jetzt in Brasilien.,My cousin lives in Brazil now.
der Computer,computer,Beschäftigst du dich viel mit dem Computer?,Do you spend a lot of time on the computer?
"die Creme, -s",cream,Ich hätte gern eine Creme für die Hände.,I would like a cream for the hands.
da,"there, here, then, so, as, since",Da drüben ist ein Getränkeautomat.,There's a vending machine over there.
da sein,to be there,Ist Herr Klein schon da?,Is Herr Klein already there?
dabei sein,to be there,"Schön, dass du da bist. Ist deine Tochter auch dabei?",Nice that you're here. Is your daughter also present?
"das Dach, -""er",roof,Wir müssen das Dach reparieren lassen.,We have to have the roof repaired.
dafür,for it,Mein Bruder interessiert sich für Politik. Ich interessiere mich nicht dafür.,My brother is interested in politics. I am not interested in it.
dafür sein,be for it,"Ich bin dafür, dass wir möglichst früh losfahren.",I am in favor of leaving as soon as possible.
dagegen sein,be against,"Ich bin dagegen, dass meine Kinder rauchen.",I am against my children smoking.
daher,"from there, from that, that's why",Sie haben die Rechnung noch nicht bezahlt. Daher haben wir Ihnen eine Mahnung geschickt.,"You have not paid the bill yet. Therefore, we have sent you a reminder."
dahin,"go towards there, until then",Stell die Blumen bitte dahin.,Please put the flowers there.
damals,at that time,Mit 15 wollte ich gerne Klavier spielen lernen. Aber damals hatte ich kein Geld dafür.,At 15 I wanted to learn to play the piano. But at that time I had no money for it.
"die Dame, -n",lady,Frau Weber ist eine nette alte Dame.,Mrs. Weber is a nice old lady.
damit,"with that, thereby","Mach schnell, damit wir nicht zu spät kommen.",Hurry up so we will not be late.
danach,afterwards,"Zuerst gehen wir einkaufen, danach grillen wir auf unserem Balkon.","First we go shopping, then we grill on our balcony."
daneben,beside it,"Du weißt doch, wo die Post ist. Gleich daneben ist die Bank.",You know where the post office is. Right next to it is the bank.
"danken, dankt, dankte, hat gedankt",to thank,Ich danke dir für die Einladung.,Thank you for the invitation.
der Dank (Sg.),thanks (noun),Vielen Dank für Ihre Mühe.,Thank you very much for your effort.
danke,thanks (thank you),"Soll ich Ihnen helfen? - Nein, danke, nicht nötig.","Can I help you? - No, thanks, not necessary."
dankbar,"grateful, thankful",Ich bin Ihnen sehr dankbar für Ihre Hilfe.,I am very grateful for your help.
dann,then,"Ich muss noch schnell zur Post, dann komme ich.","I have to go to the post office, then I'll come."
dass,that,"Rico hat mir gesagt, dass er auch zur Party kommt.",Rico told me that he's coming to the party too.
"die Datei, -en",data folder,Wo hast du die Datei gespeichert?,Where did you save the file?
"das Datum, die Daten",date(s),Welches Datum haben wir heute?,What is today's date?
Daten,data,Wir haben alle Ihre Daten im Computer.,We have all your data in the computer.
"dauern, dauert, dauerte, hat gedauert",to last,Wie lange dauert die Pause? - Eine halbe Stunde.,How long is the break? - Half an hour.
"die Decke, -n","ceiling, blanket",Im Wohnzimmer haben wir keine Lampe an der Decke.,In the living room we have no lamp on the ceiling.
"die Demokratie, -n",democracy,Wir leben in einer Demokratie.,We live in a democracy.
demokratisch,democratic,Der Betriebsrat wird demokratisch gewählt.,The works council is elected democratically.
"denken, denkt, dachte, hat gedacht",to think,Was denkst du gerade?,What are you thinking?
denn,then,Sie müssen gut Deutsch können. Denn bei der Arbeit müssen Sie mit deutschen Kunden sprechen.,You have to be good at German. Because at work you have to speak with German customers.
"derselbe, dieselbe, dasselbe",the same,Mein Freund und ich gehen in dieselbe Schule.,My friend and I are going to the same school.
deshalb,"therefore, that's why",Ich war krank. Deshalb war ich nicht im Büro.,I was sick. That's why I was not in the office.
je … desto,the ... the,"Je schneller wir arbeiten, desto früher sind wir zu Hause.","The faster we work, the sooner we are home."
deswegen,that is why,Ich habe falsch geparkt. Deswegen habe ich einen Strafzettel bekommen.,I parked wrong. That's why I got a traffic ticket.
deutlich,clearly,Schreiben Sie bitte deutlich!,Please write clearly!
"die Diät, -en",diet,Ich möchte abnehmen. Deshalb mache ich eine Diät.,I want to loose weight. That's why I'm dieting.
dicht,"dense, thick",Unsere Fenster sind nicht dicht. Es zieht immer.,Our windows are not tight. It always pulls.
dick,"fat, thick",Ich bin zu dick. Ich muss weniger essen.,I am too fat. I have to eat less.
"der Dieb, -e",thief,Ein Dieb hat mir auf dem Markt den Geldbeutel gestohlen.,A thief stole my purse on the market.
"der Dienst, -e",service,Als Krankenschwester habe ich oft Frühdienst.,"As a nurse, I often have early morning service."
dies,this,Wohin fährst du dieses Jahr in Urlaub?,Where are you going on holiday this year?
der Diesel (Sg.),diesel,Diesel ist jetzt fast so teuer wie Benzin.,Diesel is now almost as expensive as gasoline.
diesmal,this time,Die letzten Spiele haben wir verloren. Diesmal haben wir zum Glück gewonnen.,We lost the last games. Luckily we won this time.
digital,digital,Ich habe eine Digitaluhr gekauft. Die geht genauer als die anderen.,I bought a digital clock. It's more accurate than the others.
"das Ding, -e",thing,Gib mir bitte mal das Ding da drüben.,Give me that thing over there.
direkt,direct,Wir liefern Ihnen die Waren direkt ins Haus.,We deliver the goods directly to the house.
"der Direktor, -en",director,Ich möchte gern mit dem Direktor sprechen.,I would like to speak with the director.
"die Diskothek, -en / die Disko, -s",discotheque,Wir gehen heute Abend in die Disko.,We're going to the disco tonight.
"diskutieren, diskutiert, diskutierte, hat diskutiert",to discuss,Wir haben lange mit den Kollegen diskutiert.,We discussed with colleagues for a long time.
"die Diskussion, -en",discussion,"Es gab eine lange Diskussion, ob wir Überstunden machen sollen oder nicht.",There was a long discussion about whether we should work overtime or not.
doch,"after all, that's not true, nevertheless","Isst du kein Fleisch? - Doch, manchmal schon.","Do not you eat meat? - Yes, sometimes."
"der Doktor, -en",doctor,Ist Herr Dr. Müller da?,Is Dr. Müller there?
doppelt,double,Das Buch habe ich doppelt.,I have the book twice.
Doppel-,double,Wir hätten gern ein Doppelbett.,We would like a double bed.
"das Dorf, -""er",village,Unser Dorf liegt direkt an der Autobahn.,Our village is located directly on the highway.
dort,there,Dort drüben ist der Bahnhof.,Over there is the train station.
dorthin,there,Deine Tasche kannst du dorthin stellen.,You can put your bag there.
"die Dose, -n",can,Ich habe noch eine Dose Bohnen.,I still have a can of beans.
