german_word,english_translation,german_sentence,english_sentence
"die Umgebung, -en",surrounding,In der Umgebung von Berlin kann man schöne Ausflüge machen.,In the area of ​​Berlin you can make nice trips.
umgekehrt,"reverse, opposite, the other way around","Nein, umgekehrt: erst der Vorname, dann der Nachname.","No, vice versa: first the first name, then the last name."
"die Umleitung, -en",diversion,Sie müssen eine Umleitung fahren.,You have to drive a detour.
umso,so much the...,"Ich mag süßen Tee. Je süßer, umso besser.","I like sweet tea. The sweeter, the better."
umsonst,"in vain, for nothing",Ich musste nichts bezahlen. Die Reparatur war umsonst.,I did not have to pay anything. The repair was free.
"umsteigen, steigt um, stieg um, ist umgestiegen","to change (train, etc)",In Ulm müssen Sie umsteigen.,You have to change trains in Ulm.
"umtauschen, tauscht um, tauschte um, hat umgetauscht",to exchange,Ich möchte diese Bluse umtauschen. Sie passt mir nicht.,I want to exchange this blouse. She does not suit me.
"die Umwelt, -en",environment,Alte Autos sind ein Problem für die Umwelt.,Old cars are a problem for the environment.
"umziehen, zieht um, zog um, hat/ ist umgezogen",to move (house),Ich komme gleich. Ich muss mich nur schnell umziehen.,I'll be right back. I just have to change clothes quickly.
"der Umzug, -""e","move, removal",Der Umzug ist nächste Woche.,The move is next week.
unbedingt,absolutely,Ich muss unbedingt mit dir sprechen.,I have to talk to you.
unfreundlich,unfriendly,Die Verkäuferin war sehr unfreundlich.,The saleswoman was very rude.
und,and,Ich habe heute und morgen frei.,I have free today and tomorrow.
"der Unfall, -""e",accident,Ich hatte letzte Woche einen Unfall.,I had an accident last week.
ungefähr,"approximately, roughly","Wie weit ist es bis zum Bahnhof? Nicht weit, ungefähr zehn Minuten zu Fuß.","How far is it to the station? Not far, about ten minutes on foot."
ungewöhnlich,unusual,Haben Sie etwas Ungewöhnliches gesehen?,Have you seen anything unusual?
unglaublich,unbelievable,Es ist unglaublich. Schon wieder so ein Unglück.,It's incredible. Again such a misfortune.
"das Unglück, -e","misfortune, bad luck",Bei dem Eisenbahnunglück gab es viele Menschen mit Verletzungen.,In the railway accident there were many people with injuries.
unheimlich,"weird, uncanny",Die Prüfung war unheimlich schwer.,The exam was incredibly difficult.
unten,"downstairs, below","Wir wohnen im 3. Stock, meine Eltern unten im 1. Stock.","We live on the 3rd floor, my parents downstairs on the 1st floor."
unter,"under, underneath",Unter uns wohnt eine Familie mit drei Kindern.,Below us lives a family with three children.
unter-,lower,Mein Pass ist im unteren Regal.,My passport is on the lower shelf.
"unterbrechen, unterbricht, unterbrach, hat unterbrochen",to interrupt,Wir unterbrechen die Sendung für eine wichtige Nachricht.,We interrupt the broadcast for an important message.
"sich unterhalten, unterhält sich, unterhielt sich, hat sich unterhalten",talk,Wir haben uns über das Fußballspiel unterhalten.,We talked about the football game.
"die Unterhaltung, -en","entertainment, amusement",Wir wünschen Ihnen gute Unterhaltung.,We wish you lots of fun.
"die Unterkunft, -""e",accomodation,Ich komme drei Tage nach Hamburg und suche eine günstige Unterkunft.,I'm coming to Hamburg for three days and looking for a cheap place to stay.
die Unterlagen (Pl.),documents,Bitte bringen Sie alle Unterlagen zu dem Termin mit.,Please bring all documents to the appointment.
"unternehmen, unternimmt, unternahm, hat unternommen","to do (something), to undertake, to make",Wollen wir heute Abend noch etwas unternehmen?,Do we want to do something tonight?
"unterrichten, unterrichtet, unterrichtete, hat unterrichtet",to teach,Meine Frau unterrichtet Spanisch.,My wife teaches Spanish.
"der Unterricht, -e",lesson,Der Unterricht dauert von 17 bis 19 Uhr.,The lessons last from 5 to 7 pm.
"unterscheiden, unterscheidet, unterschied, hat unterschieden",to distinguish,Ihr seid euch sehr ähnlich. Auf dem Foto kann man euch beide nicht unterscheiden.,You are very similar. In the photo you can not distinguish both of you.
"der Unterschied, -e",difference,"Können Sie mir sagen, was der Unterschied ist? Welche Fahrkarte ist günstiger?",Can you tell me what the difference is? Which ticket is cheaper?
unterschiedlich,different,"Mein Bruder und ich sind sehr unterschiedlich. Er interessiert sich für Mathematik, ich für Sprachen.","My brother and I are very different. He is interested in mathematics, me in languages."
"unterschreiben, unterschreibt, unterschrieb, hat unterschrieben",to sign,Unterschreiben Sie bitte hier unten rechts.,Please sign below right here.
"die Unterschrift, -en",signature,Auf dem Schreiben fehlt die Unterschrift.,The letter is missing the signature.
"unterstreichen, unterstreicht, unterstrich, hat unterstrichen",to underline,Wir sollen alle wichtigen Wörter unterstreichen.,We should underline all the important words.
"unterstützen, unterstützt, unterstützte, hat unterstützt",to support,Meine Eltern unterstützen mich finanziell.,My parents support me financially.
"die Unterstützung, -en",support,Bekommen Sie eine staatliche Unterstützung?,Do you receive government support?
"untersuchen, untersucht, untersuchte, hat untersucht","to examine, investigate, to have a medical",Sie sollten sich vom Arzt untersuchen lassen.,You should be examined by the doctor.
"die Untersuchung, -en","examination, investigation, inquiry",Ich habe morgen eine Untersuchung im Krankenhaus.,I have an in-hospital exam tomorrow.
unterwegs,on the way,Warte auf mich. Ich bin unterwegs und komme gleich.,Wait for me. I'm on my way and I'll be right back.
"der Urlaub, -e",holiday,Ich habe noch drei Tage Urlaub.,I have three days left.
"die Ursache, -n",cause,Vielen Dank! - Keine Ursache!,Many Thanks! - Never mind!
ursprünglich,"original, originally",Ursprünglich wollte ich in einem Restaurant arbeiten. Aber dann bin ich Busfahrerin geworden.,Originally I wanted to work in a restaurant. But then I became a bus driver.
"das Urteil, -e","judgement, sentence",Dein Urteil ist für mich sehr wichtig.,Your judgment is very important to me.
"der Vater, -""",father,Mein Vater arbeitet in einem Restaurant.,My dad works in a restaurant.
vegetarisch,vegetarian,Ich mag kein Fleisch. Ich esse am liebsten vegetarisch.,I do not like meat. I like to eat vegetarian.
"verabreden, verabredet, verabredete, hat verabredet, verabredet sein",to arrange to meet,Wir haben uns mit Freunden verabredet. Wir wollen zusammen essen.,We have an appointment with friends. We want to eat together.
"verabschieden, verabschiedet, verabschiedete, hat verabschiedet",to say goodbye,Es ist schon 23 Uhr. Ich möchte mich verabschieden.,It is already 11 pm. I want to say goodbye.
"verändern, verändert, veränderte, hat verändert",to change,Wir haben uns lange nicht gesehen.,We have not seen each other for a long time.
"die Veranstaltung, -en","event, function",Am Samstag ist unser Lokal geschlossen. Wir haben eine Veranstaltung.,On Saturday our restaurant is closed. We have an event.
verantwortlich,responsible,Sie sind für Ihre Kinder verantwortlich.,You are responsible for your children.
"die Verantwortung, -en",responsibility,Sie tragen die Verantwortung für Ihre Kinder.,You are responsible for your children.
"verbessern, verbessert, verbesserte, hat verbessert",to improve,Ich habe mein Deutsch verbessert.,I improved my German.
"verbieten, verbietet, verbot, hat verboten",to forbid,Ich habe meinen Kindern das Rauchen verboten.,I have forbidden my children to smoke.
"das Verbot, -e","prohibition, ban",Hier ist Parkverbot.,Here is no parking.
"verbinden, verbindet, verband, hat verbunden","to connect, combine, bandage",Wir müssen die Wunde sofort verbinden.,We have to connect the wound immediately.
"der Verband, -""e",association,Der Arm ist gebrochen. Sie müssen einen Verband tragen.,The arm is broken. You have to wear a bandage.
"die Verbindung, -en",connection,Die Verbindung ist sehr gut. Ich kann direkt fahren und muss nicht umsteigen.,The connection is very good. I can drive directly and do not have to change.
"verbrauchen, verbraucht, verbrauchte, hat verbraucht",to need,Wie viel Benzin verbraucht dein Auto?,How much gas does your car use?
"der Verbraucher, -",consumer,Die Verbraucher sollten sich vor dem Kauf genau informieren.,Consumers should be well informed before purchasing.
"der Verbrecher, -",criminal,Die Polizei hat den Verbrecher verhaftet.,The police arrested the criminal.
"verbrennen, verbrennt, verbrannte, hat verbrannt","to burn, cremate",Der Herd war noch heiß. Ich habe mich verbrannt.,The stove was still hot. I burned myself.
"verbringen, verbringt, verbrachte, hat verbracht",to spend,Wie haben Sie Ihren Urlaub verbracht?,How did you spend your vacation?
"der Verdacht, -""e",suspicion,"Wer hat das Geld aus der Kasse genommen? - Ich weiß es nicht, aber ich habe einen Verdacht.","Who took the money from the cash register? - I do not know, but I have a suspicion."
verdächtig,suspicious,Haben Sie etwas Verdächtiges gesehen?,Have you seen something suspicious?
"verdienen, verdient, verdiente, hat verdient",to earn,Rita hat den Urlaub wirklich verdient.,Rita really deserves the holiday.
"der Verein, -e","club, association",Bist du auch Mitglied in einem Verein?,Are you also a member of an association?
"vereinbaren, vereinbart, vereinbarte, hat vereinbart",to agree upon,Können wir einen Termin vereinbaren?,Can we make an appointment?
"das Verfallsdatum, die Verfallsdaten",expiry date,Dieses Medikament dürfen Sie nach dem Verfallsdatum nicht mehr nehmen.,You must not take this medicine after the expiration date.
"die Vergangenheit, -en",the past,Das ist ein Teil meiner Vergangenheit.,That's part of my past.
"vergessen, vergisst, vergaß, hat vergessen",to forget,Ich habe den Termin ganz vergessen.,I completely forgot the appointment.
"vergleichen, vergleicht, verglich, hat verglichen",to compare,Vergleichen Sie die Angebote.,Compare the offers.
"der Vergleich, -e",comparison,Ein Vergleich ist schwer möglich.,A comparison is difficult.
"vergrößern, vergrößert, vergrößerte, hat vergrößert",to enlarge,Können Sie das Foto vergrößern?,Can you enlarge the photo?
"verhaften, verhaftet, verhaftete, hat verhaftet",to arrest,Die Polizei hat einen Mann verhaftet.,The police arrested a man.
"verhalten, verhält, verhielt, hat verhalten",to behave,Der Mann hat sich uns gegenüber merkwürdig verhalten.,The man behaved strangely to us.
"das Verhalten, -",behaviour,Die Kinder bekommen in der Schule auch Noten für ihr Sozialverhalten.,The children also get grades for their social behavior at school.
"das Verhältnis, -se",relationship,Ich habe ein gutes Verhältnis zu meinen Eltern.,I have a good relationship with my parents.
verheiratet,married,Ich bin mit einem Deutschen verheiratet.,I am married to a German.
"verhindern, verhindert, verhinderte, hat verhindert",to prevent,Wir konnten den Unfall nicht verhindern.,We could not prevent the accident.
"verkaufen, verkauft, verkaufte, hat verkauft",to sell,Ich habe unser altes Auto verkauft.,I sold our old car.
"der Verkäufer, -","seller, salesman",Wir suchen einen freundlichen Verkäufer.,We are looking for a friendly seller.
"der Verkehr, -e",traffic,Morgens ist hier immer viel Verkehr.,There is always a lot of traffic here in the morning.
"das Verkehrsmittel, -",transport,Es gibt kaum Parkplätze. Sie sollten mit öffentlichen Verkehrsmitteln fahren.,There is hardly any parking. You should go by public transport.
"verlangen, verlangt, verlangte, hat verlangt","to demand, want, ask for",Jeden Tag Überstunden? Das können Sie nicht verlangen.,Overtime every day? You can not ask for that.
"verlängern, verlängert, verlängerte, hat verlängert",to extend,Ich muss meinen Pass verlängern lassen.,I have to renew my passport.
"verlassen, verlässt, verließ, hat verlassen",to leave,Er hat um 17 Uhr das Haus verlassen.,He left the house at 5 pm
sich verlassen auf,rely on,Du kannst dich auf mich verlassen. Ich helfe dir auf jeden Fall.,You can count on me. I will definitely help you.
"sich verlaufen, verläuft sich, verlief sich, hat sich verlaufen",to get lost,Gestern haben wir uns im Wald verlaufen. Wir haben erst eine Stunde später den richtigen Weg gefunden.,Yesterday we lost our way in the woods. We found the right way only an hour later.
"verleihen, verleiht, verlieh, hat verliehen",to lend,Mein Auto habe ich verliehen.,I gave my car.
"verletzen, verletzt, verletzte, hat verletzt",to injure,Ich habe mich an der Hand verletzt.,I hurt my hand.
"die Verletzung, -en",injury,Keine Angst. Die Verletzung ist nicht so schlimm.,No fear. The injury is not that bad.
"verlieben, verliebt, verliebte, hat verliebt",fall in love,Ich habe mich verliebt.,I fell in love.
verliebt sein,be in love,Ich bin in Francesco verliebt.,I'm in love with Francesco.
"verlieren, verliert, verlor, hat verloren",to lose,Ich habe meine Brieftasche verloren.,I lost my wallet.
"der Verlust, -e","loss, casualty",Sie müssen den Verlust Ihrer Versicherung melden.,You must report the loss of your insurance.
"vermeiden, vermeidet, vermied, hat vermieden",to avoid,"Der Arzt sagt, ich soll Stress vermeiden.",The doctor says I should avoid stress.
"vermieten, vermietet, vermietete, hat vermietet",to rent,Bei uns im Haus ist ein Zimmer zu vermieten.,In our house is a room for rent.
"der Vermieter, -",landlord,Unsere Vermieterin ist eine sehr nette ältere Frau.,Our landlady is a very nice older woman.
"vermissen, vermisst, vermisste, hat vermisst",to miss,Ich vermisse meine Familie.,I miss my family.
"die Vermittlung, -en",agency,Die Zimmervermittlung ist am Bahnhof.,The room service is at the station.
vernünftig,"sensible, reasonable",Seien Sie doch vernünftig!,Be sensible!
"verpacken, verpackt, verpackte, hat verpackt",to pack,Hast Du die Pakete gut verpackt?,Did you pack the packages well?
"verpassen, verpasst, verpasste, hat verpasst",to miss (a scheduled thing),Ich habe den Zug verpasst.,I missed the train.
verpflichtet sein,be required,"Sie sind verpflichtet, den Unfall zu melden.",You are required to report the accident.
"verreisen, verreist, verreiste, ist verreist",to go away (for a journey),Frau Dr. Müller ist zurzeit verreist.,Miss Dr. Müller is currently away.
verrückt,crazy,Bist du verrückt geworden?,Are you crazy?
"verschieben, verschiebt, verschob, hat verschoben","to postpone, shift",Leider muss ich den Termin verschieben. Morgen kann ich nicht.,"Unfortunately, I have to postpone the appointment. Tomorrow I can not."
verschieden,different,Unsere beiden Kinder sind sehr verschieden.,Our two children are very different.
"verschreiben, verschreibt, verschrieb, hat verschrieben","to prescribe, use up",Die Ärztin hat mir Tabletten verschrieben.,The doctor prescribed me tablets.
"verschwinden, verschwindet, verschwand, ist verschwunden",to dissapear,Mein Ausweis ist verschwunden. - Hast du ihn vielleicht gesehen?,My ID has disappeared. - Did you maybe see him?
"versichern, versichert, versicherte, hat versichert","to insure, assure",Wollen Sie Ihr Gepäck versichern?,Do you want to insure your luggage?
"die Versichertenkarte, -n",insurance card,Haben Sie Ihre Versichertenkarte dabei?,Do you have your insurance card with you?
"die Versicherung, -en",insurance,Sie sollten eine Gepäckversicherung abschließen.,You should take out baggage insurance.
"versorgen, versorgt, versorgte, hat versorgt","supply, take care",Ich muss meine Kinder allein versorgen.,I have to take care of my children alone.
"die Verspätung, -en",delay,Unser Zug hatte 10 Minuten Verspätung.,Our train was 10 minutes late.
"versprechen, verspricht, versprach, hat versprochen",to promise,"Meine Mutter hat mir versprochen, mich abzuholen.",My mother promised to pick me up.
"verstecken, versteckt, versteckte, hat versteckt",to hide,Ich habe das Geld hinter dem Regal versteckt.,I hid the money behind the shelf.
"verstehen, versteht, verstand, hat verstanden",to understand,Ich kann Sie kaum verstehen. Sprechen Sie bitte lauter.,I can barely understand you. Please speak louder.
verständlich,understandable,Nach acht Stunden Schule haben die Kinder keine Lust mehr zu den Hausaufgaben. Ich finde das verständlich.,"After eight hours of school, the children are tired of their homework. I think that's understandable."
"das Verständnis, -se",understanding,Wir bitten um Ihr Verständnis.,We ask for your understanding.
"versuchen, versucht, versuchte, hat versucht",to try,Versuchen Sie doch mal meinen Apfelkuchen.,Try my apple pie.
"der Versuch, -e","attempt, experiment",In der Forschung werden viele Versuche gemacht.,Many attempts are made in research.
"verteilen, verteilt, verteilte, hat verteilt",to distribute,Kannst du bitte schon mal die Gläser verteilen?,Can you please ever distribute the glasses?
"der Vertrag, -""e",contract,Sie beide müssen den Vertrag unterschreiben.,They both have to sign the contract.
"vertrauen, vertraut, vertraute, hat vertraut",to trust,Ich kenne dich gut. Ich vertraue dir.,I know you well. I trust you.
das Vertrauen (Sg.),trust,Ich habe Vertrauen zu Ihnen.,I have faith in you.
"vertreten, vertritt, vertrat, hat vertreten",represent,"Wer vertritt Sie, wenn Sie Urlaub machen?",Who represents you when you go on vacation?
"der Vertreter, -","cover, replacement",Herr Dr. Müller war in Urlaub. Da bin ich zu seinem Vertreter gegangen.,Dr. Müller was on vacation. So I went to his representative.
"die Vertretung, -en","representation, advocacy",Herr Dr. Meyer macht für mich Vertretung.,Dr. Meyer makes representation for me.
"verurteilen, verurteilt, verurteilte, hat verurteilt","to condem, sentence",Das Gericht hat den Täter zu drei Jahren Gefängnis verurteilt.,The court sentenced the perpetrator to three years in prison.
"die Verwaltung, -en","management, administration",Meine Mutter arbeitet jetzt in der Verwaltung.,My mother is now working in administration.
verwandt,related (to),Sind Sie mit Frau Meyer verwandt?,Are you related to Mrs. Meyer?
"der Verwandte, -n","relative, relation",Ich wohne zurzeit bei Verwandten von meinem Mann.,I currently live with relatives of my husband.
"verwechseln, verwechselt, verwechselte, hat verwechselt",to confuse with,"Entschuldigen Sie, ich habe Sie mit jemand verwechselt.","Excuse me, I mistook you for someone."
"verwenden, verwendet, verwendete, hat verwendet",to use,Dieses Wort wird oft verwendet.,This word is often used.
verwitwet,widowed,Familienstand: verwitwet.,Marital status: Widowed.
die Verzeihung (Sg.),forgiveness,Verzeihung! Ich habe die falsche Nummer gewählt.,Forgiveness! I called the wrong number.
viel/viele,a lot,Ich habe schon viel gelernt.,I have learned a lot already.
vielleicht,maybe,Kommst du mit in die Stadt? - Ich weiß noch nicht. Vielleicht.,Are you going to come along to the city? - I do not know yet. Maybe.
"das Visum, die Visa",visa,Talal muss sein Visum bald verlängern.,Talal has to extend his visa soon.
"das Vitamin, -e",vitamin,"Der Arzt sagt, ich soll viele Vitamine essen.",The doctor says I should eat lots of vitamins.
"der Vogel, -""",bird,Unsere Katze hat einen Vogel gefangen.,Our cat has caught a bird.
voll,"full, complete",Die Flasche ist noch ganz voll.,The bottle is still full.
"die Vollzeit, -en",full time,Ich möchte gerne Vollzeit arbeiten.,I would like to work full time.
von,"from, by, of, about",Ich komme gerade vom Zahnarzt.,I have just come from the dentist.
voneinander,from each other,Wir haben lange nichts voneinander gehört.,We have not heard from each other in a long time.
vor,"before, in front of",Ich bin vor einer Woche zurückgekommen.,I came back a week ago.
voraus,"ahead, in advance",Ich danke Ihnen im Voraus für Ihre Mühe.,Thank you in advance for your effort.
voraussichtlich,expected,Der Zug hat voraussichtlich 20 Minuten Verspätung.,The train is expected to be delayed by 20 minutes.
vorbei,"by, past",Die Linie 8 fährt am Krankenhaus vorbei.,Line 8 passes the hospital.
"vorbereiten, bereitet vor, bereitete vor, hat vorbereitet",to prepare,Ich muss mich auf meine Prüfung vorbereiten.,I have to prepare for my exam.
"die Vorbereitung, -en",preparation,Nächste Woche beginnen wir mit der Prüfungsvorbereitung.,Next week we will start with the exam preparation.
vorder-,front,In den vorderen Reihen sind noch Plätze frei.,There are still places available in the front rows.
"die Vorfahrt, -en",right of way,Achtung! Rechts hat Vorfahrt.,Attention! Right has right of way.
vorgestern,the day before yesterday,Er hat mich vorgestern angerufen.,He called me the day before yesterday.
"vorhaben, hat vor, hatte vor, hat vorgehabt",to intend,Haben Sie morgen Abend schon etwas vor?,Do you have plans for tomorrow night?
vorher,before(hand),Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.,I'm coming to the café. But first I have to go to the bank.
vorhin,"not long ago, just now",Vorhin hat Heidrun angerufen. Du sollst sie zurückrufen.,"Earlier, Heidrun called. You should call her back."
vorig-,previous,Mirko durfte erst vorige Woche aus dem Krankenhaus.,Mirko was only allowed to leave the hospital last week.
"vorkommen, kommt vor, kam vor, ist vorgekommen","to occur, come forward",Tut mir leid. Ich habe den Termin vergessen. - Das kann vorkommen.,I'm sorry. I forgot the appointment. - That can happen.
vorläufig,"temporary, provisional",Ich habe noch keine Wohnung. Ich wohne vorläufig bei einem Freund.,I do not have a flat yet. I live with a friend for the time being.
"vorlesen, liest vor, las vor, hat vorgelesen",read out,Soll ich dir etwas vorlesen?,Should I read you something?
vorn/vorne,"ahead, in front",Bitte vorn beim Fahrer einsteigen!,Please get in front of the driver!
"sich vornehmen, nimmt sich vor, nahm sich vor, hat sich vorgenommen","to plan, to deal with something","Ich habe mir vorgenommen, nicht mehr zu rauchen.",I have decided not to smoke anymore.
"vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen",to suggest,"Ich schlage vor, dass wir eine Pause machen.",I suggest we take a break.
"der Vorschlag, -""e",suggestion,Ich mache dir einen Vorschlag: Du hilfst mir beim Deutschlernen und ich lade dich zum Essen ein.,I make you a suggestion: You help me learn German and I invite you to dinner.
"die Vorschrift, -en","regulations, rules, instructions",Beachten Sie bitte die Vorschriften.,Please observe the regulations.
die Vorsicht (Sg.),"caution, care",Vorsicht! Der Teller ist heiß.,Attention! The plate is hot.
vorsichtig,carefully,Sei vorsichtig!,Be careful!
"vorstellen, stellt vor, stellte vor, hat vorgestellt","to put forward, introduce, represent, imagine something",Ich möchte mich vorstellen: Mein Name ist Schuster.,I would like to introduce myself: my name is Schuster.
"die Vorstellung, -en","performance, introduction",Wann läuft der Film? - Die nächste Vorstellung ist um 15 Uhr.,When does the movie go? - The next performance is at 15 o'clock.
"der Vorteil, -e",advantage,"Der Vorteil von dieser Wohnung ist, dass sie direkt im Zentrum liegt.",The advantage of this apartment is that it is right in the center.
"die Vorwahl, -en",preliminary election,Wie ist die Vorwahl von Hamburg?,What is the area code of Hamburg?
vorwärts,forwards,Ich kann nicht vorbei. Bitte fahr noch ein Stück vorwärts.,I can not pass. Please continue for a while.
"der Vorwurf, -""e",reproach,Eva kann nichts dafür. Mach ihr keine Vorwürfe.,Eva can not help it. Do not blame her.
waagerecht,horizontal,Ziehen Sie bitte einen waagerechten Strich.,Please draw a horizontal line.
wach,awake,Bist du schon lange wach?,Have you been awake for a long time?
"wachsen, wächst, wuchs, ist gewachsen",to grow up,Mein Sohn ist sehr gewachsen. Er ist jetzt schon größer als ich.,My son has grown a lot. He is already taller than me.
"der Wagen, -""","wagon, goods van",Ich habe meinen Wagen in die Werkstatt gebracht.,I took my car to the workshop.
"wählen, wählt, wählte, hat gewählt","choose, vote",Sie können wählen: Als Vorspeise gibt es Suppe oder Salat.,You can choose: As an appetizer there is soup or salad.
"die Wahl, -en",choice,Sie haben die Wahl: mit Vollpension oder Halbpension?,You have the choice: with full board or half board?
wahnsinnig,"insane, mad, incredibly",Du fährst viel zu schnell. Bist du wahnsinnig!,You drive way too fast. Are you crazy!
wahr,true,"Was ich sage, ist wahr.",What I say is true.
"die Wahrheit, -en",truth,Sag mir bitte die Wahrheit. Hast du wieder geraucht?,Please tell me the truth. Did you smoke again?
während,"while, during","Während wir arbeiten, dürfen wir nicht rauchen.","While we work, we are not allowed to smoke."
wahrscheinlich,probably,Wahrscheinlich mache ich im Herbst noch einen Deutschkurs.,I'll probably do a German course in the fall.
"der Wald, -""er",forest,Hinter unserem Haus fängt der Wald an.,Behind our house begins the forest.
"die Wand, -""e",wall,Ich stelle das Regal rechts an die Wand.,I put the shelf to the right of the wall.
"wandern, wandert, wanderte, ist gewandert",to go for a walk,Wir gehen oft wandern.,We often go hiking.
"die Wanderung, -en","walk, trek",Wir haben in den Ferien eine schöne Wanderung gemacht.,We made a nice hike during the holidays.
wann,when,Wann kommst du?,When are you coming?
"die Ware, -n",goods,Wir liefern Ihnen die Ware direkt ins Haus.,We deliver the goods directly to the house.
warm,warm,Hier ist es sehr warm.,It is very warm in here.
die Wärme (Sg.),warmth,Von der trockenen Wärme bekommt man Kopfschmerzen.,The dry heat gives you a headache.
"warnen, warnt, warnte, hat gewarnt",to warn,Ich warne Sie. Der Hund ist gefährlich.,I'm warning you. The dog is dangerous.
"warten, wartet, wartete, hat gewartet",to wait,Können Sie ein paar Minuten warten?,Can you wait a few minutes?
warum,why,Warum besuchst du mich nicht?,Why do not you visit me?
was,what,Was ist das?,What's this?
was für ein-,"what a, what kind of",Ich will mir ein Auto kaufen. - Was denn für eins?,I want to buy a car. - What kind of one?
"waschen, wäscht, wusch, hat gewaschen",to wash,Ich habe die Bluse gerade frisch gewaschen.,I just washed the blouse fresh.
die Wäsche (Pl.),washing,Ich muss heute noch Wäsche waschen.,I have to do some laundry today.
"das Waschmittel, -",detergent,Diese Bluse darfst du nicht mit jedem Waschmittel waschen.,Do not wash this blouse with any detergent.
"das Wasser, -""",water,Kann ich bitte ein Glas Wasser haben?,"Can I have a glass of water, please?"
"das WC, -s",toilet (short for Wasserklossett),"Ich suche eine 3-Zimmer-Wohnung mit Küche, Bad und WC.","I'm looking for a 3-room apartment with kitchen, bathroom and toilet."
"wechseln, wechselt, wechselte, hat gewechselt",to change,Können Sie 50 Euro wechseln?,Can you change 50 euros?
"wecken, weckt, weckte, hat geweckt",to wake,Können Sie mich morgen früh um sechs wecken?,Can you wake me up at six tomorrow morning?
"der Wecker, -",alarm,Hast du den Wecker schon gestellt?,Did you already set the alarm clock?
weder ... noch,"still, yet",Für Urlaub haben wir weder Zeit noch Geld.,For vacation we have neither time nor money.
"der Weg, -e",way,Dieser Weg ist sehr schmutzig.,This path is very dirty.
weg/weg,"away, gone",Meine Handtasche ist weg!,My handbag is gone!
wegen,because of,Wegen Nebels konnte unser Flugzeug nicht landen.,"Due to fog, our plane could not land."
"weh tun, tut weh, tat weh, hat weh getan",hurt,Wo tut es weh?,Where does it hurt?
weiblich,female,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,"Please tick: ""female"" or ""male""."
weich,soft,Ich möchte zum Frühstück ein weiches Ei.,I want a soft egg for breakfast.
weil,because,Warum kommt dein Vater nicht? - Weil er arbeiten muss.,Why is not your dad coming? - Because he has to work.
"der Wein, -e",wine,In diesem Restaurant gibt es sehr guten Wein.,"In this restaurant, there is very good wine."
"weinen, weint, weinte, hat geweint",to cry,Bitte nicht weinen. Du bekommst eine neue Puppe.,Please do not cry. You get a new doll.
weiß,white,Es hat geschneit. Alles ist ganz weiß.,It has snowed. Everything is completely white.
weit,far,Wie weit ist es noch bis München?,How far is it to Munich?
weiter/weiter-,further,Ich möchte nicht stören. Bitte essen Sie ruhig weiter.,I do not want to disturb. Please continue to eat.
"sich weiterbilden, bildet sich weiter, bildete sich weiter, hat sich weitergebildet",to continue to educate yourself,Du musst dich weiterbilden.,You have to educate yourself.
"die Weiterbildung, -en",further education,Ich möchte eine Weiterbildung machen.,I would like to do a further education.
"welch-, welcher, welche, welches",which,Welcher Tag ist heute?,What day is today?
"die Welt, -en",world,Überall auf der Welt gibt es Probleme.,There are problems around the world.
"der Weltmeister, -",world champion,Wer wird der nächste Weltmeister?,Who will be the next World Champion?
"die Weltmeisterschaft, -en",world cup,Hast du die Weltmeisterschaft gesehen?,Did you see the World Cup?
weltweit,worldwide,Unsere Firma produziert für den weltweiten Markt.,Our company produces for the worldwide market.
"wenden, wendet, wendete, hat gewendet",to turn,"Sie müssen zurückfahren, aber hier dürfen Sie nicht wenden.","You have to drive back, but you are not allowed to turn here."
wenig/wenige,"little, a little",Essen Sie immer so wenig?,Do you always eat so little?
wenigstens,at least,"Ich habe keinen Hunger. - Ach, essen Sie wenigstens ein Stück Kuchen.","I'm not hungry. - Oh, at least eat a piece of cake."
wenn,if,"Kommst du zu der Party? - Vielleicht, wenn ich nicht arbeiten muss.",Are you coming to the party? - Maybe if I do not have to work.
wer,who,Wer ist das? Kennst du die Frau?,Who is this? Do you know the woman?
"die Werbung, -en",advertisment,Ich sehe gern die Werbung im Fernsehen.,I like to see the advertisement on TV.
"werden, wird, wurde, ist geworden",to become,Es wird kalt.,It gets cold.
"werfen, wirft, warf, hat geworfen",to throw,Die Kinder haben Steine ins Wasser geworfen.,The children threw stones into the water.
"das Werk, -e","work, job",Wir haben gestern das Werk besichtigt.,We visited the factory yesterday.
"die Werkstatt, -""en","workshop, garage",Mein Wagen ist zurzeit in der Werkstatt.,My car is currently in the workshop.
"das Werkzeug, -e",tools,Wir hatten kein Werkzeug für die Reparatur dabei.,We did not have any tools for the repair.
wert,worth,Das Auto ist vielleicht noch 1000 Euro wert.,The car is maybe worth 1000 euros.
"der Wert, -e",value,Das Haus hat einen Wert von ca. 1 Mio. Euro.,The house has a value of about 1 million euros.
weshalb,why,Weshalb rufst du nicht mal an?,Why do not you even call?
"der Westen, West, West- (Sg.)",west,Das Zimmer geht nach Westen.,The room faces west.
westlich,west,Das Dorf liegt westlich von Frankfurt.,The village is located west of Frankfurt.
"der Wettbewerb, -e",competition,Meine Tochter hat bei einem Malwettbewerb gewonnen.,My daughter won a painting contest.
