target_word,similar_words,similarity_count,rule_types
brièvement,bravement,1,"Rule5a_Skeleton, Rule5b_Structural"
broc,"broche, bloc, brio, bouc, berceau",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brocart,bureaucrate,1,"Rule5a_Skeleton, Rule5b_Structural"
broche,"brochet, bronche, brioche, brochette, brochure",5,"Rule5a_Skeleton, Rule5b_Structural"
brochet,"broche, brochette, bronche, brochure, broncher",5,"Rule2-4_EditDistance, Rule5b_Structural"
brochette,"brochet, broche, branchette, brouette, brochure",5,Rule5b_Structural
brochure,"broche, brochet, brochette, bronche, bravoure",5,"Rule2-4_EditDistance, Rule5b_Structural"
broder,"broderie, broyer, brider, border, broncher",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
broderie,"broder, bouderie, brider, bergerie, boiserie",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brodé,"broyé, bridé, bordé, bondé, bride",5,"Rule5a_Skeleton, Rule2-4_EditDistance"
bronche,"broncher, broche, bronchite, branche, brochet",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
broncher,"bronche, brancher, bronzer, bronchite, broche",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bronchite,"bronche, broncher, brochette, broche, brochure",5,"Rule2-4_EditDistance, Rule5b_Structural"
bronzage,"bronze, bronzer, bronche",3,Rule5b_Structural
bronze,"bronzer, bronzé, bronzage, brousse",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bronzer,"bronze, bronzé, broncher, bronzage",4,Rule5b_Structural
bronzé,"bronze, bronzer",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brosse,"brosser, brousse, bosse, brasse, bosser",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brosser,"brosse, bosser, brasser, bruisser, brousse",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brouette,"brochette, braguette, baguette, boulette, brouter",5,"Rule2-4_EditDistance, Rule5b_Structural"
brouillard,"brouiller, braillard",2,"Rule5a_Skeleton, Rule5b_Structural"
brouille,"brouiller, brouillé, broutille, brouillon, bouille",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brouiller,"brouille, brouillé, brouillon, brouillard, bredouiller",5,"Rule2-4_EditDistance, Rule5b_Structural"
brouillon,"brouille, brouillé, bouillon, brouiller, broutille",5,"Rule2-4_EditDistance, Rule5b_Structural"
brouillé,"brouille, brouiller, brouillon, broutille, bouille",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
broussaille,"broussailleux, brouille, broutille",3,Rule5b_Structural
broussailleux,broussaille,1,Rule5b_Structural
brousse,"brosse, brosser, brasse, brouette, brouille",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brouter,"brouiller, brouette, broncher, barboter",4,Rule5b_Structural
broutille,"brouille, brouiller, broussaille, brouillé, bouteille",5,"Rule2-4_EditDistance, Rule5b_Structural"
broyer,"broder, broncher, bruyère, bruire, barre",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
broyé,brodé,1,Rule2-4_EditDistance
brrr,"barrer, beurrer, bourrer, barrière",4,"Rule5a_Skeleton, Rule5b_Structural"
bruine,"brune, bruire, brun, bruni, brin",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bruire,"bruine, bruyère, brunir, brunâtre, brusque",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bruissant,"bruissement, brisant, bruyant",3,Rule5b_Structural
bruissement,"bruissant, brusquement, brutalement",3,"Rule2-4_EditDistance, Rule5b_Structural"
bruisser,"briser, brasser, brosser, baisser, brusquer",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bruit,"brut, bruni, brute, bruyant, béret",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brume,"brumeux, brune, brute, brame, baume",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brumeux,brume,1,Rule5b_Structural
brun,"brune, bruni, brut, brunir, brin",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brune,"brun, bruni, bruine, brume, brute",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bruni,"brunir, brun, brune, bruit, bruine",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brunir,"bruni, brun, bruire, berner, borner",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brunâtre,"brune, bruire, bruyère, bleuâtre, brute",5,"Rule2-4_EditDistance, Rule5b_Structural"
brusque,"brusquer, brusquerie, brume, brune, brute",5,Rule5b_Structural
brusquement,"bruissement, brutalement, baraquement",3,Rule2-4_EditDistance
brusquer,"brusque, brusquerie, braquer, briquer, bruisser",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brusquerie,"brusquer, brusque",2,"Rule5a_Skeleton, Rule5b_Structural"
brut,"brute, brun, bruit, brutal, bout",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
brutal,brut,1,Rule5b_Structural
brutalement,"bruissement, brusquement, bruyamment",3,"Rule2-4_EditDistance, Rule5b_Structural"
brute,"brut, brume, brune, bruit, butte",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bruyamment,"bruyant, brutalement",2,Rule5b_Structural
bruyant,"bruyamment, bruissant, brut, bruit",4,Rule5b_Structural
bruyère,"bruire, brunâtre, brume, brune, brute",5,"Rule5a_Skeleton, Rule5b_Structural"
brèche,"broche, brioche",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bréviaire,"bravoure, braver",2,"Rule5a_Skeleton, Rule5b_Structural"
brûlant,"branlant, brillant",2,Rule5b_Structural
brûler,"brûlure, barioler",2,"Rule5a_Skeleton, Rule5b_Structural"
brûlure,"brûler, barioler",2,"Rule5a_Skeleton, Rule5b_Structural"
brûlé,"bariolé, baril",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
buanderie,"bouderie, bander, banderole, bonder, bondir",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
buffet,"buffle, bouffe",2,Rule2-4_EditDistance
buffle,"buffet, bouffe",2,Rule2-4_EditDistance
buis,"bois, buse, bise",3,Rule2-4_EditDistance
buisson,"boisson, bassin, bassine",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bulbe,"bulle, bulgare, boule",3,"Rule2-4_EditDistance, Rule5b_Structural"
bulgare,"bulbe, bulle, blaguer",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bulle,"bulbe, balle, bille, bouille, boule",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bure,"bureau, burette, buse, buée, bref",5,"Rule2-4_EditDistance, Rule5b_Structural"
bureau,"bure, bourreau",2,Rule5b_Structural
bureaucrate,brocart,1,"Rule5a_Skeleton, Rule5b_Structural"
burette,"buvette, barrette, bure, boulette, baguette",5,"Rule2-4_EditDistance, Rule5b_Structural"
burin,"brin, butin, bruine, baron, brun",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
buse,"buste, bouse, bure, buée, base",5,"Rule2-4_EditDistance, Rule5b_Structural"
busqué,basque,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
buste,"buse, butte, buter, brute, bouse",5,"Rule2-4_EditDistance, Rule5b_Structural"
buter,"butte, boiter, buste, brute, boutoir",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
butin,"butiner, burin, bouton, bâton, béton",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
butiner,"butin, boudiner",2,Rule5b_Structural
butte,"buste, buter, botte, brute, battue",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
buté,"buée, bout, brut",3,Rule2-4_EditDistance
buvard,bavard,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
buvette,"burette, boulette, baguette, brouette",4,"Rule2-4_EditDistance, Rule5b_Structural"
buveur,"baver, bavure",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
buée,"bouée, bure, buse, buté, béer",5,"Rule2-4_EditDistance, Rule5b_Structural"
bâche,"biche, boche, bêche, bûche, bouche",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bâcler,"boucler, bouclier",2,"Rule5a_Skeleton, Rule5b_Structural"
bâfrer,beau-frère,1,"Rule5a_Skeleton, Rule5b_Structural"
bâiller,"briller, bâillonner, brailler, bouillir, bouilloire",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bâillon,"bouillon, ballon",2,"Rule5a_Skeleton, Rule5b_Structural"
bâillonner,"bouillonner, bâiller",2,"Rule5a_Skeleton, Rule5b_Structural"
bâti,bâtir,1,Rule5b_Structural
bâtiment,"boniment, bêtement, bâtonnet",3,"Rule5a_Skeleton, Rule2-4_EditDistance"
bâtir,"bâti, boutoir, buter, boiter",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bâton,"béton, bouton, butin",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bâtonnet,"bonnet, bâtiment",2,"Rule2-4_EditDistance, Rule5b_Structural"
béant,"béat, bénit, bonté, benêt",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
béat,"béant, bath",2,"Rule2-4_EditDistance, Rule5b_Structural"
bébête,bête,1,Rule5b_Structural
bécane,boucan,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
béer,buée,1,Rule2-4_EditDistance
bégayer,"bouger, bougeoir, bougre",3,"Rule5a_Skeleton, Rule5b_Structural"
béguin,"bougon, bagne, beigne",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bélier,"boulier, biler, balayer, bouler, balayeur",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bénin,"bénir, bénit, banane, benne, bonne",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bénir,"bénin, bénit, bénitier",3,"Rule2-4_EditDistance, Rule5b_Structural"
bénit,"bénin, bénir, béant, benêt, bonté",5,"Rule5a_Skeleton, Rule2-4_EditDistance"
bénitier,"bénir, bénéficier, bien-être",3,"Rule5a_Skeleton, Rule5b_Structural"
bénédictin,bénédiction,1,"Rule5a_Skeleton, Rule5b_Structural"
bénédiction,bénédictin,1,"Rule5a_Skeleton, Rule5b_Structural"
bénéfice,"bénéficier, bénéfique, bénévole",3,"Rule2-4_EditDistance, Rule5b_Structural"
bénéficiaire,bénéficier,1,"Rule5a_Skeleton, Rule5b_Structural"
bénéficier,"bénéfice, bénéficiaire, bénitier",3,"Rule5a_Skeleton, Rule5b_Structural"
bénéfique,bénéfice,1,Rule5b_Structural
bénévole,bénéfice,1,Rule2-4_EditDistance
béquille,"bouille, brouille, bouillie",3,"Rule2-4_EditDistance, Rule5b_Structural"
béret,"brut, bruit, brute",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
béton,"bâton, bouton, butin",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bêche,"bêcher, bêcheur, biche, boche, bâche",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bêcher,"bêche, bêcheur, bicher, bûcher, boucher",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bêcheur,"bêcher, bêche, bicher, bûcher, boucher",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bête,"bébête, bite",2,"Rule2-4_EditDistance, Rule5b_Structural"
bêtement,"battement, bâtiment",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bûche,"bûcher, biche, boche, bâche, bêche",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bûcher,"bûche, bûcheron, bicher, bêcher, boucher",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
bûcheron,bûcher,1,Rule5b_Structural
cabane,"cabanon, cabine",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cabanon,"cabane, canon",2,Rule5b_Structural
cabine,"cabinet, carabine, cabane, canine",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cabinet,"cabine, carabine, cabriolet",3,Rule5b_Structural
cabosser,"casser, caresser, carabosse, cabrer, carrosse",5,"Rule2-4_EditDistance, Rule5b_Structural"
cabrer,"cambrer, cadrer, carrer, chambrer, cabosser",5,"Rule2-4_EditDistance, Rule5b_Structural"
cabriolet,"carriole, cabinet",2,Rule5b_Structural
caca,"casa, coca, clac, crac",4,Rule2-4_EditDistance
cacahuète,"cachette, cachet, cachot",3,"Rule5a_Skeleton, Rule5b_Structural"
cache,"cacher, cachet, caché, cachette, coche",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cachemire,"cachette, cauchemar",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cacher,"cache, cachet, cacheter, cracher, cocher",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cachet,"cache, cacher, cacheter, cachette, cachot",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cacheter,"cachette, cacher, cachet, crachoter, cahoter",5,"Rule2-4_EditDistance, Rule5b_Structural"
cachette,"cacheter, cachet, cache, clochette, couchette",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cachot,"cachet, cahot, cacahuète",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caché,"cache, craché, couché, coche, couche",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cadastral,cadastre,1,Rule5b_Structural
cadastre,"cadastral, cadavre, cadre",3,Rule5b_Structural
cadavre,"cadastre, caddie, cadence",3,"Rule2-4_EditDistance, Rule5b_Structural"
caddie,"cadi, cadavre, cadence",3,Rule5b_Structural
cadeau,caveau,1,Rule2-4_EditDistance
cadenasser,carnassier,1,Rule2-4_EditDistance
cadence,"cadencé, carence, cadre, caddie, cadavre",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cadencé,cadence,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
cadet,cadre,1,Rule2-4_EditDistance
cadi,"caddie, caïd, chai",3,"Rule2-4_EditDistance, Rule5b_Structural"
cador,"cadre, céder, cidre, cèdre, coudre",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cadran,carcan,1,Rule2-4_EditDistance
cadre,"cadrer, cidre, cèdre, cadastre, cadet",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cadrer,"cadre, cabrer, carrer, coudrier",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cafard,canard,1,Rule2-4_EditDistance
cafetier,"cafetière, canotier, cacheter, captiver, chantier",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cafetière,"cafetier, cimetière",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cage,"cageot, cake, cale, came, cape",5,"Rule2-4_EditDistance, Rule5b_Structural"
cageot,cage,1,Rule5b_Structural
cagna,"canal, cogne, cygne",3,"Rule5a_Skeleton, Rule2-4_EditDistance"
cagoule,"cage, coaguler, cigale",3,"Rule5a_Skeleton, Rule5b_Structural"
cahier,"chier, casier, cacher, chiner, chiper",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cahot,"cahoter, cachot, calot, canot, capot",5,"Rule2-4_EditDistance, Rule5b_Structural"
cahoter,"cahot, crachoter, cacheter, canotier, clapoter",5,Rule5b_Structural
cahute,"chute, chahuter, cahot, chahut, chuter",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caillasse,"caille, caisse, calebasse",3,"Rule2-4_EditDistance, Rule5b_Structural"
caille,"cailler, caillé, canaille, caillot, caillou",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cailler,"caille, ciller, caillé, cuiller, cisailler",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caillot,"caillou, caille, caillé, carillon, collet",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caillou,"caillot, caille, caillé, carillon, couille",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caillé,"caille, cailler, caillot, caillou, couille",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caisse,"casse, caisson, caissier, cuisse, caillasse",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caissier,"caisse, casier, casser, cerisier, crisser",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caisson,"caisse, cuisson, chausson, coussin",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cake,"cage, cale, came, cape, case",5,Rule2-4_EditDistance
calamité,"capacité, calciné, climat",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
calcaire,"calvaire, claire, calibre, calciner, calice",5,"Rule2-4_EditDistance, Rule5b_Structural"
calciner,"calciné, calculer, caler, coltiner, calmer",5,"Rule2-4_EditDistance, Rule5b_Structural"
calciné,"calciner, calamité, caleçon",3,"Rule2-4_EditDistance, Rule5b_Structural"
calcul,calculer,1,Rule5b_Structural
calculer,"calcul, calciner, caler, circuler, calmer",5,"Rule2-4_EditDistance, Rule5b_Structural"
cale,"caler, calme, cavale, cage, cake",5,"Rule2-4_EditDistance, Rule5b_Structural"
calebasse,caillasse,1,Rule2-4_EditDistance
calendrier,cendrier,1,Rule5b_Structural
caler,"cale, calmer, calter, cavaler, caser",5,"Rule2-4_EditDistance, Rule5b_Structural"
caleçon,calciné,1,Rule2-4_EditDistance
calibre,"calcaire, calvaire, cale, célèbre, calme",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
calice,"calife, calicot, clic, calcaire, calotte",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
calicot,"calice, calmant",2,"Rule2-4_EditDistance, Rule5b_Structural"
calife,"calice, calcaire, calotte, calèche, calvaire",5,"Rule2-4_EditDistance, Rule5b_Structural"
calmant,"calmement, charmant, calot, calicot, clément",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
calme,"calmer, cale, came, caler, calibre",5,"Rule2-4_EditDistance, Rule5b_Structural"
calmement,"campement, calmant, camembert",3,"Rule2-4_EditDistance, Rule5b_Structural"
calmer,"calme, caler, calter, clamer, calciner",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
calomnie,"colonie, calotte, calvitie, calme",4,"Rule2-4_EditDistance, Rule5b_Structural"
calot,"calotte, cahot, canot, capot, culot",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
calotte,"calot, carotte, culotte, camelote, calomnie",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
calter,"caler, calmer, capter, calciner, calculer",5,"Rule2-4_EditDistance, Rule5b_Structural"
calvaire,"calcaire, claire, calvitie, calibre, calice",5,"Rule2-4_EditDistance, Rule5b_Structural"
calvitie,"calvaire, calomnie, calice, calife, calibre",5,"Rule2-4_EditDistance, Rule5b_Structural"
calèche,"cloche, cale, calme, calife, calibre",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
camarade,camaraderie,1,Rule5b_Structural
camaraderie,camarade,1,Rule5b_Structural
cambouis,"cambuse, campus, chamois, cramoisi",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cambrer,"chambrer, cabrer, cambré, chambre, campeur",5,"Rule2-4_EditDistance, Rule5b_Structural"
cambriolage,cambrioleur,1,Rule2-4_EditDistance
cambrioleur,cambriolage,1,Rule2-4_EditDistance
cambrousse,cambuse,1,Rule5b_Structural
cambré,"cambrer, chambrée",2,Rule5b_Structural
cambuse,"cambrousse, cambouis, came",3,"Rule5a_Skeleton, Rule5b_Structural"
came,"camp, calme, cage, cake, cale",5,"Rule2-4_EditDistance, Rule5b_Structural"
camelot,camelote,1,"Rule5a_Skeleton, Rule5b_Structural"
camelote,"camelot, calotte, camisole",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
camembert,"campement, calmement",2,Rule2-4_EditDistance
camion,champion,1,Rule5b_Structural
camionnette,chansonnette,1,Rule5b_Structural
camionneur,"capitonner, cramponner, claironner",3,Rule2-4_EditDistance
camisole,"carriole, camelote",2,Rule2-4_EditDistance
camouflage,camoufler,1,Rule5b_Structural
camoufler,"camouflage, chambouler",2,Rule5b_Structural
camp,"came, camper, campus, champ, cape",5,"Rule2-4_EditDistance, Rule5b_Structural"
campagne,"champagne, campanile, compagnie",3,"Rule5a_Skeleton, Rule5b_Structural"
campanile,"campagne, compagnie, champagne",3,"Rule2-4_EditDistance, Rule5b_Structural"
campement,"calmement, camembert",2,Rule2-4_EditDistance
camper,"campeur, camp, calmer, capter, crampe",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
campeur,"camper, clameur, compteur, cambrer, charmeur",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
camping,champion,1,Rule5b_Structural
campus,"camp, cambouis, compas, composé",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
canadien,"canadienne, candide, canaille",3,"Rule2-4_EditDistance, Rule5b_Structural"
canadienne,canadien,1,Rule5b_Structural
canaille,"caille, cannelle, cailler, canicule, chenille",5,"Rule2-4_EditDistance, Rule5b_Structural"
canal,cagna,1,Rule2-4_EditDistance
canaliser,"cavalier, canotier",2,Rule5b_Structural
canard,"canari, cafard",2,Rule2-4_EditDistance
canari,"canard, couiner",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cancan,"cancer, cancre, carcan, caneton",4,"Rule2-4_EditDistance, Rule5b_Structural"
cancer,"cancre, canner, cancan, coincer, canotier",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cancre,"cancer, cancan, candide, canette, cantine",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
candeur,"chanteur, conduire, cendre, cendré, ceindre",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
candidat,candide,1,Rule5b_Structural
candide,"candidat, canadien, canne, cancre, canaille",5,Rule5b_Structural
caneton,"canton, cantine, cancan, contenu, continu",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
canette,"cachette, carpette, cassette, causette, cornette",5,Rule5b_Structural
caniche,"canicule, corniche, cinoche, canne, canaille",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
canicule,"caniche, canine, canaille, cannelle, calculer",5,"Rule2-4_EditDistance, Rule5b_Structural"
canine,"cantine, canne, cabine, canner, chanoine",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caniveau,"caveau, convoi",2,"Rule5a_Skeleton, Rule5b_Structural"
canne,"canner, canine, cannelle, carne, canon",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cannelle,"canne, canaille, chandelle, canicule, canette",5,"Rule2-4_EditDistance, Rule5b_Structural"
canner,"canne, cancer, cantonner, canine, canotier",5,"Rule2-4_EditDistance, Rule5b_Structural"
canon,"canot, canton, cabanon, canne, canine",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
canonnade,"cantonade, colonnade, cotonnade, cantonner",4,Rule2-4_EditDistance
canot,"canon, cahot, calot, capot, chant",5,Rule2-4_EditDistance
canotier,"cocotier, cafetier, chantier, cantonnier, cahoter",5,"Rule2-4_EditDistance, Rule5b_Structural"
cantine,"canine, cantique, canton, centaine, chanoine",5,"Rule5a_Skeleton, Rule5b_Structural"
cantique,"cantine, critique, chaotique, conique, cynique",5,"Rule2-4_EditDistance, Rule5b_Structural"
canton,"caneton, canon, carton, cantine, chaton",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cantonade,"canonnade, cantonner, cotonnade, cantine",4,"Rule2-4_EditDistance, Rule5b_Structural"
cantonnement,"couronnement, contentement, consentement",3,Rule2-4_EditDistance
cantonner,"cantonnier, chantonner, cartonner, capitonner, canner",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
cantonnier,"cantonner, chansonnier, chantonner, cartonner, canotier",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
capable,"cartable, coupable, capitale, cape, capote",5,"Rule5a_Skeleton, Rule5b_Structural"
capacité,"captivité, calamité",2,"Rule2-4_EditDistance, Rule5b_Structural"
cape,"carpe, chape, cage, cake, cale",5,"Rule2-4_EditDistance, Rule5b_Structural"
capeline,"capitaine, caprice, chapelle, calciner, chapelet",5,"Rule2-4_EditDistance, Rule5b_Structural"
capitaine,"capitale, capitalisme, capitaliste, capeline",4,Rule5b_Structural
capital,capitale,1,"Rule5a_Skeleton, Rule5b_Structural"
capitale,"capital, capitaine, capitalisme, capitaliste, capituler",5,"Rule5a_Skeleton, Rule5b_Structural"
capitalisme,"capitaliste, capitale, capitaine",3,"Rule2-4_EditDistance, Rule5b_Structural"
capitaliste,"capitalisme, capitale, capitaine",3,"Rule2-4_EditDistance, Rule5b_Structural"
capiteux,"capitale, capricieux, copieux, chapiteau, chapitre",5,"Rule2-4_EditDistance, Rule5b_Structural"
capitonner,"capitonné, cantonner, cartonner, capituler, chantonner",5,"Rule2-4_EditDistance, Rule5b_Structural"
capitonné,capitonner,1,Rule5b_Structural
capitulation,circulation,1,Rule5b_Structural
capituler,"capitale, capitonner, capturer, capter, captiver",5,Rule5b_Structural
capot,"capote, cahot, calot, canot",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
capote,"capot, capter, clapoter, capable, caprice",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caprice,"cape, capote, capeline, capable, capsule",5,"Rule2-4_EditDistance, Rule5b_Structural"
capricieux,capiteux,1,Rule5b_Structural
capsule,"crapule, capitale, cape, capote, caprice",5,"Rule2-4_EditDistance, Rule5b_Structural"
capter,"calter, captiver, capturer, capture, capote",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
captiver,"capter, capturer, cultiver, capituler, cafetier",5,"Rule2-4_EditDistance, Rule5b_Structural"
captivité,capacité,1,Rule5b_Structural
capture,"capturer, capter, créature, cape, capote",5,"Rule5a_Skeleton, Rule5b_Structural"
capturer,"capture, capter, captiver, capituler, clôturer",5,"Rule2-4_EditDistance, Rule5b_Structural"
carabine,"carabinier, cabine, caravane, carabosse, carbone",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
carabinier,"carabine, carboniser",2,"Rule2-4_EditDistance, Rule5b_Structural"
carabosse,"carrosse, cabosser, carabine, carcasse, caresse",5,Rule5b_Structural
caracoler,"carreler, crachoter, cercler, circuler, circulaire",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
caractère,"cratère, carrière, caricature, cataracte",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
carafe,"carabine, carapace, caravane, carcasse, carbone",5,Rule5b_Structural
