chinese_word,french_translation,chinese_sentence,french_sentence
起来,se lever,快点起来吧,Lève-toi vite
气候,climat,这里的气候很好,Le climat ici est très bon
千,mille,这本书要一千元,Ce livre coûte mille yuans
千万,dix millions; surtout,你千万别忘了带护照。,Surtout n'oublie pas ton passeport.
前面,devant; en avant,商店就在前面的路口。,Le magasin est au prochain carrefour.
敲,frapper; cogner,有人在敲门。,Quelqu'un frappe à la porte.
巧克力,chocolat,这个巧克力蛋糕很好吃。,Ce gâteau au chocolat est délicieux.
清楚,clair; net,我现在明白得很清楚了。,Je comprends très clairement maintenant.
晴,ensoleillé,今天天气很晴朗。,Il fait beau aujourd'hui.
情况,situation; circonstance,请告诉我具体情况。,Explique-moi la situation précise.
秋,automne,秋天是我最喜欢的季节。,L'automne est ma saison préférée.
区别,différence,这两种颜色没有太大区别。,Il n'y a pas beaucoup de différence entre ces deux couleurs.
取,prendre; retirer,我要去银行取钱。,Je vais retirer de l'argent à la banque.
去,aller,我想去法国旅游。,Je veux aller voyager en France.
去年,l'année dernière,去年我在巴黎学习。,"L'année dernière, j'ai étudié à Paris."
全部,tout; entier,我把作业全部做完了。,J'ai terminé tous mes devoirs.
缺点,défaut; inconvénient,每个人都有缺点。,Tout le monde a des défauts.
缺少,manquer; faire défaut,我们缺少一些重要信息。,Il nous manque quelques informations importantes.
却,cependant,他很累却还在工作,Il est fatigué mais continue quand même à travailler
群,groupe,一群鸟飞过天空,Un groupe d'oiseaux vole dans le ciel
裙子,jupe,这条裙子很漂亮,Cette jupe est très belle
然而,pourtant,天气很冷，然而他没穿外套,"Il fait froid, pourtant il ne porte pas de manteau"
然后,ensuite,我先吃饭，然后去上课,"Je mange d'abord, ensuite je vais en cours"
人,personne,房间里有三个人,Il y a trois personnes dans la pièce
任何,n'importe quel,你可以选择任何一本书,Tu peux choisir n'importe quel livre
仍然,encore,虽然下雨了，他仍然去跑步,"Même s'il pleut, il va encore courir"
日,jour,今日天气很好,Le temps est beau aujourd'hui
容易,facile,这个题目很容易,Cet exercice est très facile
如果,si,如果明天下雨，我就在家,"Si il pleut demain, je reste à la maison"
入口,entrée,商场的入口在这里,L'entrée du centre commercial est ici
三,trois,我有三本书,J'ai trois livres
散步,se promener,我每天晚上去散步,Je me promène tous les soirs
森林,forêt,这片森林很大,Cette forêt est très grande
商店,magasin,这个商店卖衣服很便宜,Ce magasin vend des vêtements pas chers
商量,discuter,我们需要商量一下这件事,Nous devons discuter de cette affaire
上,sur,书在桌子上,Le livre est sur la table
上班,aller au travail,我每天八点上班,Je vais au travail à huit heures tous les jours
上网,surfer sur Internet,他喜欢在家上网,Il aime surfer sur Internet à la maison
上午,matin,上午我去买菜,"Le matin, je vais faire les courses"
稍微,un peu,这个题目稍微难一点,Cet exercice est un peu difficile
少,peu,我的钱太少了,J'ai trop peu d'argent
社会,société,我们生活在一个现代社会,Nous vivons dans une société moderne
深,profond,这个湖很深,Ce lac est très profond
身体,corps,要注意保护身体,Il faut prendre soin de son corps
什么,quoi,你想吃什么？,Que veux-tu manger ?
甚至,même,他很忙，甚至没时间吃饭,"Il est très occupé, même pas le temps de manger"
生病,tomber malade,她昨天生病了,Elle est tombée malade hier
生活,vie,在北京生活很贵,La vie est chère à Pékin
生命,la vie,生命是宝贵的。,La vie est précieuse.
生气,être fâché,请不要生气。,"S'il vous plaît, ne soyez pas fâché."
生日,anniversaire,明天是我的生日。,C'est mon anniversaire demain.
声音,"voix, son",你的声音很好听。,Ta voix est très belle.
省,économiser,我们要省钱。,Nous devons économiser de l'argent.
剩,rester,还剩五个苹果。,Il reste cinq pommes.
失望,déçu,他对结果很失望。,Il est déçu du résultat.
十,dix,我有十本书。,J'ai dix livres.
十分,très,这个电影十分有趣。,Ce film est très intéressant.
食品,aliments,超市卖很多食品。,Le supermarché vend beaucoup d'aliments.
使,"faire, utiliser",他使我很开心。,Il me rend heureux.
使用,utiliser,我会使用这个软件。,Je sais utiliser ce logiciel.
是,être,她是老师。,Elle est professeur.
适合,convenir,这件衣服很适合你。,Ce vêtement te convient bien.
世界,monde,这是一个美丽的世界。,C'est un beau monde.
事情,affaire,这件事情很重要,Cette affaire est très importante
收,recevoir,我收到了你的信,J'ai reçu ta lettre
收入,revenu,他的月收入很高,Son revenu mensuel est élevé
收拾,ranger,请帮我收拾房间,Aide-moi à ranger la chambre
手表,montre,这是一个漂亮的手表,C'est une belle montre
手机,téléphone portable,我的手机没电了,Mon téléphone portable n'a plus de batterie
首都,capitale,北京是中国的首都,Pékin est la capitale de la Chine
首先,d'abord,首先我们要学习法语,"D'abord, nous devons étudier le français"
瘦,maigre,她变得很瘦,Elle est devenue très maigre
受不了,insupportable,我受不了这个噪音,Je ne supporte pas ce bruit
受到,recevoir,他受到了表扬,Il a reçu des compliments
舒服,confortable,这张沙发很舒服,Ce canapé est très confortable
叔叔,oncle,我的叔叔住在巴黎,Mon oncle habite à Paris
熟悉,familier,我很熟悉这个地方,Je suis très familier avec cet endroit
数量,quantité,商品的数量不够,La quantité de marchandises n'est pas suffisante
数学,mathématiques,我喜欢学习数学,J'aime étudier les mathématiques
数字,chiffre,请输入六位数字,Veuillez saisir six chiffres
双,paire,我买了一双新鞋,J'ai acheté une paire de nouvelles chaussures
水,eau,我每天喝八杯水,Je bois huit verres d'eau par jour
水果,fruit,她最爱吃水果,Elle adore manger des fruits
水平,niveau,他的中文水平很高,Son niveau de chinois est très élevé
司机,chauffeur,我爸爸是出租车司机,Mon père est chauffeur de taxi
死,mourir,这条路死胡同,Cette rue est une impasse
四,quatre,我家在四楼,J'habite au quatrième étage
送,offrir,我要送她一本书,Je veux lui offrir un livre
速度,vitesse,这辆车速度很快,Cette voiture va très vite
塑料袋,sac plastique,请给我一个塑料袋,"Donnez-moi un sac plastique, s'il vous plaît"
酸,acide,这个柠檬很酸,Ce citron est très acide
算,calculer,让我算一下价格,Laissez-moi calculer le prix
虽然,bien que,虽然很累，我还要工作,"Bien que je sois fatigué, je dois continuer à travailler"
随便,comme on veut,你随便选一个吧。,Choisis celui que tu veux.
随着,avec,随着时间的推移，他的中文越来越好。,"Avec le temps, son chinois s'améliore."
所以,donc,他病了，所以没来上课。,"Il était malade, donc il n'est pas venu en cours."
所有,tout,所有的学生都来了。,Tous les étudiants sont venus.
他,il,他是我的朋友。,Il est mon ami.
她,elle,她在图书馆学习。,Elle étudie à la bibliothèque.
它,il/elle (pour chose),它是一只可爱的猫。,C'est un chat mignon.
台,comptoir/scène,这台电脑很贵。,Cet ordinateur est très cher.
抬,soulever,请帮我抬一下这张桌子。,Aide-moi à soulever cette table.
太,trop,这个房间太小了。,Cette pièce est trop petite.
太阳,soleil,今天太阳很大。,Le soleil est fort aujourd'hui.
趟,fois/voyage,我去过北京三趟。,Je suis allé trois fois à Pékin.
糖,sucre,这个茶太苦了，需要加糖。,"Ce thé est trop amer, il faut ajouter du sucre."
特别,particulièrement,这个菜特别好吃。,Ce plat est particulièrement délicieux.
特点,caractéristique,中国菜的特点是很多样。,La caractéristique de la cuisine chinoise est sa diversité.
踢足球,jouer au football,我每个周末都去踢足球,Je joue au football tous les weekends
提高,augmenter,我们需要提高工作效率,Nous devons augmenter notre efficacité au travail
提供,fournir,饭店提供免费早餐,L'hôtel fournit le petit-déjeuner gratuit
提前,à l'avance,他提前到了机场,Il est arrivé à l'aéroport à l'avance
提醒,rappeler,请提醒我买牛奶,Rappelle-moi d'acheter du lait
体育,sport,我的孩子很喜欢体育课,Mon enfant aime beaucoup les cours de sport
天气,temps,今天天气很好,Il fait beau aujourd'hui
甜,sucré,这个蛋糕太甜了,Ce gâteau est trop sucré
填空,remplir les blancs,学生们正在填空练习,Les étudiants font un exercice à trous
条,article,这条裤子很合适,Ce pantalon me va bien
条件,condition,工作条件很好,Les conditions de travail sont bonnes
跳舞,danser,她喜欢跳舞,Elle aime danser
听,écouter,我在听音乐,J'écoute de la musique
停止,arrêter,雨停止了,La pluie s'est arrêtée
通知,informer,老师通知我们明天考试,Le professeur nous a informés que l'examen est demain
同情,compassion,我很同情他的处境。,J'ai de la compassion pour sa situation.
同事,collègue,他是我的新同事。,C'est mon nouveau collègue.
同学,camarade de classe,她是我的高中同学。,C'est ma camarade de classe du lycée.
同意,être d'accord,我同意你的想法。,Je suis d'accord avec ton idée.
突然,soudain,他突然站了起来。,Il s'est levé soudainement.
推,pousser,请推门进来。,Poussez la porte pour entrer.
脱,enlever,请脱鞋进屋。,Veuillez enlever vos chaussures avant d'entrer.
袜子,chaussettes,这双袜子很舒服。,Ces chaussettes sont très confortables.
外,dehors,外面下雨了。,Il pleut dehors.
玩,jouer,孩子们在公园玩。,Les enfants jouent dans le parc.
完,terminé,作业做完了。,Les devoirs sont terminés.
完成,accomplir,我完成了这个任务。,J'ai accompli cette tâche.
完全,complètement,我完全明白了。,J'ai complètement compris.
碗,bol,这个碗很漂亮。,Ce bol est très joli.
晚上,soir,晚上我们去看电影。,"Ce soir, nous allons voir un film."
万,dix mille,这座城市有十万人口。,Cette ville a cent mille habitants.
往,vers/aller vers,他往学校走去。,Il va vers l'école.
往往,souvent,他往往迟到。,Il arrive souvent en retard.
网球,tennis,我每周打网球。,Je joue au tennis chaque semaine.
网站,site web,这个网站很有用。,Ce site web est très utile.
喂,allô,喂，你好吗？,"Allô, comment vas-tu?"
位,personne (classificateur),这位老师很好。,Ce professeur est très bon.
味道,goût/saveur,这个菜的味道很好。,Le goût de ce plat est excellent.
文化,culture,中国文化很有趣。,La culture chinoise est très intéressante.
文章,article/texte,这篇文章写得很好。,Cet article est bien écrit.
我,je/moi,我是学生。,Je suis étudiant.
握手,serrer la main,他们友好地握手。,Ils se serrent la main amicalement.
无,sans/ne pas avoir,这里无人。,Il n'y a personne ici.
无聊,ennuyeux,这部电影很无聊。,Ce film est très ennuyeux.
五,cinq,我有五本书。,J'ai cinq livres.
西,ouest,我家在西边。,Ma maison est à l'ouest.
西瓜,pastèque,夏天吃西瓜很爽。,C'est agréable de manger de la pastèque en été.
希望,espérer,我希望明天是晴天。,J'espère qu'il fera beau demain.
吸引,attirer,这本书很吸引人。,Ce livre est très attirant.
洗,laver,我要洗衣服。,Je dois laver les vêtements.
洗衣机,machine à laver,我买了新洗衣机。,J'ai acheté une nouvelle machine à laver.
洗澡,prendre une douche,我每天早上洗澡。,Je prends une douche tous les matins.
夏,été,夏天很热。,L'été fait très chaud.
下,bas,请往下看。,"Regardez en bas, s'il vous plaît."
下午,après-midi,下午我去看电影。,Je vais voir un film cet après-midi.
下雨,pleuvoir,今天下雨了。,Il pleut aujourd'hui.
先,d'abord,让我先想想。,Laisse-moi d'abord réfléchir.
先生,monsieur,王先生是我的老师。,Monsieur Wang est mon professeur.
咸,salé,这个汤太咸了。,Cette soupe est trop salée.
羡慕,envier,我很羡慕你的工作。,J'envie ton travail.
限制,limiter,政府限制了进口商品的数量。,Le gouvernement a limité la quantité de produits importés.
香,parfumé,这些花真香。,Ces fleurs sont vraiment parfumées.
香蕉,banane,我每天早上吃一根香蕉。,Je mange une banane chaque matin.
相反,contraire,他的想法和我的相反。,Son idée est contraire à la mienne.
相同,identique,这两本书的内容是相同的。,Le contenu de ces deux livres est identique.
相信,croire,我相信你会成功的。,Je crois que tu vas réussir.
响,sonner,电话响了三次。,Le téléphone a sonné trois fois.
想,penser,我想去旅游。,Je pense partir en voyage.
向,vers,他向学校走去。,Il marche vers l'école.
像,ressembler,他很像他的父亲。,Il ressemble beaucoup à son père.
消息,nouvelle,我收到了一个好消息。,J'ai reçu une bonne nouvelle.
小,petit,这是一个小房间。,C'est une petite chambre.
小姐,mademoiselle,王小姐是我的老师。,Mademoiselle Wang est mon professeur.
小心,faire attention,过马路要小心。,Il faut faire attention en traversant la rue.
笑,rire,这个笑话让大家都笑了。,Cette blague a fait rire tout le monde.
效果,effet,这个新药的效果很好,L'effet de ce nouveau médicament est très bon
些,quelques,我买了些水果,J'ai acheté quelques fruits
鞋,chaussures,这双鞋很舒服,Ces chaussures sont très confortables
写,écrire,我正在写一封信,Je suis en train d'écrire une lettre
新,nouveau,这是一家新餐厅,C'est un nouveau restaurant
辛苦,pénible,这份工作很辛苦,Ce travail est très pénible
心情,humeur,今天我的心情很好,Je suis de bonne humeur aujourd'hui
信,lettre,我收到了一封信,J'ai reçu une lettre
信任,faire confiance,我完全信任你,Je te fais entièrement confiance
信心,confiance,他对未来充满信心,Il a confiance en l'avenir
信用卡,carte de crédit,我用信用卡付款,Je paie avec ma carte de crédit
星期,semaine,下星期我去北京,"La semaine prochaine, je vais à Pékin"
行,aller,这样做行不行？,Est-ce que ça va si on fait comme ça ?
行李箱,valise,我的行李箱很重,Ma valise est très lourde
醒,se réveiller,我每天七点醒,Je me réveille tous les jours à sept heures
姓,nom de famille,我姓王，你呢？,"Mon nom de famille est Wang, et vous ?"
性别,sexe,请在表格上填写你的性别。,Veuillez indiquer votre sexe sur le formulaire.
性格,caractère,她的性格很开朗。,Elle a un caractère très enjoué.
幸福,bonheur,他们是一个幸福的家庭。,Ils sont une famille heureuse.
兴趣,intérêt,我对音乐很有兴趣。,Je suis très intéressé par la musique.
熊猫,panda,熊猫是中国的国宝。,Le panda est un trésor national chinois.
修,réparer,我需要修一下我的自行车。,J'ai besoin de réparer mon vélo.
休息,se reposer,工作了一天后要好好休息。,Il faut bien se reposer après une journée de travail.
需要,avoir besoin,我需要买些食物。,J'ai besoin d'acheter de la nourriture.
学生,étudiant,教室里有很多学生。,Il y a beaucoup d'étudiants dans la classe.
学校,école,我的学校在市中心。,Mon école est au centre-ville.
雪,neige,今天下雪了。,Il neige aujourd'hui.
血,sang,他的血型是A型。,Son groupe sanguin est A.
研究生,étudiant en master,他是一名医学研究生。,Il est étudiant en master de médecine.
演出,spectacle,今晚有一场精彩的演出。,Il y a un magnifique spectacle ce soir.
眼睛,les yeux,他的眼睛很漂亮。,Ses yeux sont beaux.
阳光,le soleil,今天阳光很好。,Le soleil est beau aujourd'hui.
羊肉,le mouton,这个餐厅的羊肉很好吃。,Le mouton dans ce restaurant est délicieux.
养成,développer,要养成好习惯。,Il faut développer de bonnes habitudes.
要求,demander,老师要求我们做作业。,Le professeur nous demande de faire nos devoirs.
要,vouloir,我要去商店。,Je veux aller au magasin.
也,aussi,我也喜欢看电影。,J'aime aussi regarder des films.
叶子,la feuille,树上的叶子是绿色的。,Les feuilles sur l'arbre sont vertes.
一,un,我有一本书。,J'ai un livre.
衣服,les vêtements,这件衣服很漂亮。,Ces vêtements sont beaux.
医生,le médecin,医生说我需要休息。,Le médecin dit que j'ai besoin de repos.
医院,l'hôpital,医院在街道的尽头。,L'hôpital est au bout de la rue.
一定,certainement,我一定会来。,Je viendrai certainement.
一共,au total,这些书一共多少钱？,Combien coûtent ces livres au total?
一会儿,un moment,请等一会儿。,"Attendez un moment, s'il vous plaît."
一切,tout,一切都会好起来的,Tout ira bien
以,avec/par,以这种方式学习很有效,Apprendre de cette façon est très efficace
以后,après/désormais,从现在以后我要好好学习,"À partir de maintenant, je vais bien étudier"
以前,avant/autrefois,他以前住在巴黎,Il habitait à Paris avant
椅子,chaise,这把椅子很舒服,Cette chaise est très confortable
一般,ordinaire/général,这家餐厅的菜一般,La cuisine de ce restaurant est ordinaire
一起,ensemble,我们一起去看电影吧,Allons au cinéma ensemble
一直,toujours/sans cesse,他一直在学习法语,Il étudie toujours le français
意思,sens/signification,这个词的意思是什么？,Quelle est la signification de ce mot ?
阴,nuageux/sombre,今天天气很阴,Le temps est nuageux aujourd'hui
因此,donc/par conséquent,他生病了，因此没来上课,"Il était malade, donc il n'est pas venu en cours"
引起,provoquer/causer,这个新闻引起了很多关注,Cette nouvelle a provoqué beaucoup d'attention
印象,impression,这个城市给我留下了深刻的印象,Cette ville m'a laissé une forte impression
影响,influence/effet,熬夜会影响健康,Le manque de sommeil affecte la santé
硬,dur/ferme,这张床太硬了,Ce lit est trop dur
勇敢,courageux/brave,他是一个勇敢的消防员。,C'est un pompier courageux.
用,utiliser,我用筷子吃饭。,Je mange avec des baguettes.
幽默,humoristique,这个老师很幽默。,Ce professeur est très humoristique.
由,par/de,这本书是由他写的。,Ce livre est écrit par lui.
由于,en raison de,由于下雨，我们取消了野餐。,"En raison de la pluie, nous avons annulé le pique-nique."
尤其,particulièrement,我喜欢水果，尤其是苹果。,"J'aime les fruits, particulièrement les pommes."
游泳,nager,周末我喜欢去游泳。,J'aime aller nager le weekend.
有,avoir/il y a,桌子上有一本书。,Il y a un livre sur la table.
有名,célèbre,这家餐厅很有名。,Ce restaurant est très célèbre.
有趣,intéressant,这个故事很有趣。,Cette histoire est très intéressante.
友好,amical,他们是友好的邻居。,Ce sont des voisins amicaux.
又,encore/aussi,他又迟到了。,Il est encore en retard.
愉快,joyeux/agréable,祝你度过愉快的一天。,Je te souhaite une agréable journée.
于是,donc/alors,天气很好，于是我们去公园。,"Il fait beau, donc nous allons au parc."
与,avec/et,我与我的朋友去购物。,Je vais faire les courses avec mon ami.
羽毛球,badminton,我每周都打羽毛球,Je joue au badminton chaque semaine
遇到,rencontrer,我在街上遇到了我的老师,J'ai rencontré mon professeur dans la rue
元,yuan,这本书二十元,Ce livre coûte vingt yuans
原来,à l'origine,原来他是医生,"À l'origine, il était médecin"
原因,raison,请告诉我迟到的原因,Dis-moi la raison de ton retard
愿意,vouloir bien,我愿意帮助你,Je veux bien t'aider
越,de plus en plus,他跑得越来越快,Il court de plus en plus vite
月,mois/lune,下个月我去北京,"Le mois prochain, je vais à Pékin"
月亮,lune,今晚的月亮很圆,La lune est très ronde ce soir
云,nuage,天上有白云,Il y a des nuages blancs dans le ciel
在,être à/dans,他在学校,Il est à l'école
再,encore,请再说一遍,Répète encore une fois s'il te plaît
早上,matin,早上好！,Bonjour! (le matin)
怎么,comment,你怎么去学校？,Comment vas-tu à l'école?
增加,augmenter,工资增加了,Le salaire a augmenté
窄,étroit,这条路太窄了，车子过不去。,"Cette route est trop étroite, la voiture ne peut pas passer."
站,station/se tenir debout,请在这里站一会儿。,Veuillez vous tenir debout ici un moment.
丈夫,mari,我丈夫在医院工作。,Mon mari travaille à l'hôpital.
招聘,recruter,这家公司正在招聘新员工。,Cette entreprise recrute de nouveaux employés.
着急,s'inquiéter,别着急，我们还有时间。,"Ne t'inquiète pas, nous avons encore du temps."
找,chercher,我在找我的钥匙。,Je cherche mes clés.
照片,photo,这张照片拍得很好。,Cette photo est très bien prise.
照相机,appareil photo,我买了一个新的照相机。,J'ai acheté un nouvel appareil photo.
着,en train de,他正在看书。,Il est en train de lire.
真,vraiment,这个故事真有趣。,Cette histoire est vraiment intéressante.
真正,véritable,这是真正的中国茶。,C'est du véritable thé chinois.
整理,ranger,我需要整理我的房间。,J'ai besoin de ranger ma chambre.
正常,normal,一切都很正常。,Tout est normal.
正好,justement,我正好有时间。,J'ai justement du temps.
正确,correct,你的答案是正确的。,Ta réponse est correcte.
正式,officiel,这是一个正式的会议,C'est une réunion officielle
正在,être en train de,他正在看书,Il est en train de lire
之,de (littéraire),天之骄子,L'enfant prodige du ciel
只,classificateur d'animaux,一只鸟,Un oiseau
支持,soutenir,我支持你的决定,Je soutiens ta décision
知道,savoir,我知道这个答案,Je connais la réponse
直接,direct,请直接告诉我,Dis-le-moi directement
植物,plante,这是一种罕见的植物,C'est une plante rare
指,pointer,他指着黑板,Il pointe vers le tableau
只,seulement,我只有一本书,J'ai seulement un livre
只好,être obligé de,我只好同意,Je suis obligé d'accepter
只要,tant que,只要你努力就能成功,Tu réussiras tant que tu fais des efforts
至少,au moins,至少还有三天,Il reste au moins trois jours
制造,fabriquer,这个工厂制造手机,Cette usine fabrique des téléphones
中国,Chine,我来自中国,Je viens de Chine
中文,le chinois,我正在学习中文。,J'apprends le chinois.
中午,midi,中午我们一起吃饭。,Nous déjeunons ensemble à midi.
种,semer/planter,他在花园里种了很多花。,Il a planté beaucoup de fleurs dans le jardin.
重点,point essentiel,这是考试的重点。,C'est le point essentiel de l'examen.
重要,important,这个会议很重要。,Cette réunion est très importante.
周末,week-end,周末我想去公园。,Je veux aller au parc ce week-end.
猪,cochon,农场里有很多猪。,Il y a beaucoup de cochons dans la ferme.
主要,principal,这是主要问题。,C'est le problème principal.
主意,idée,我有一个好主意。,J'ai une bonne idée.
住,habiter,我住在巴黎。,J'habite à Paris.
祝,souhaiter,祝你生日快乐！,Je te souhaite un joyeux anniversaire !
著名,célèbre,这是一个著名的作家。,C'est un écrivain célèbre.
注意,faire attention,请注意安全。,Faites attention à la sécurité.
撞,heurter,车撞到了树上。,La voiture a heurté l'arbre.
准确,précis,这个答案很准确。,Cette réponse est très précise.
桌子,table,这张桌子很漂亮。,Cette table est très belle.
字,caractère,我不认识这个字。,Je ne connais pas ce caractère.
字典,dictionnaire,我需要一本字典。,J'ai besoin d'un dictionnaire.
自己,soi-même,我喜欢自己做饭。,J'aime cuisiner moi-même.
自然,nature,这是自然现象。,C'est un phénomène naturel.
走,marcher,我们一起走回家。,Nous rentrons à pied ensemble.
租,louer,我想租一套公寓。,Je veux louer un appartement.
嘴,bouche,他的嘴在笑。,Sa bouche sourit.
最,le plus,这是最好的选择。,C'est le meilleur choix.
最好,meilleur,你最好现在出发。,Tu ferais mieux de partir maintenant.
最后,final,这是最后一次机会。,C'est la dernière chance.
最近,récemment,你最近怎么样？,Comment vas-tu récemment ?
尊重,respecter,我们要互相尊重。,Nous devons nous respecter mutuellement.
昨天,hier,昨天我去了商店。,"Hier, je suis allé au magasin."
坐,s'asseoir,请坐在这里。,Veuillez vous asseoir ici.
做,faire,我每天都要做作业。,Je dois faire mes devoirs tous les jours.
做生意,faire des affaires,我的父母在中国做生意。,Mes parents font des affaires en Chine.
座,siège,这个公园有很多石座。,Ce parc a beaucoup de sièges en pierre.
座位,place assise,这趟火车上没有空座位了。,Il n'y a plus de places assises dans ce train.
作用,"effet, fonction",运动对健康有好的作用。,L'exercice a un bon effet sur la santé.
作者,auteur,这本书的作者是法国人。,L'auteur de ce livre est français.
